"","Tag","Experiment","Fraction","Lot","Peptide_microgram","UPLC_fractions","Set","Iteration"
"126_rep1","126","TbBSF_211118","1 to 4 pooled","TG267692/ TI271201","peptide not quantified (30 microg protein starting)",17,"11-plex",1
"127N_rep1","127N","TbBSF_211118","5 and 6 pooled","TG267692/ TI271201","peptide not quantified (30 microg protein starting)",17,"11-plex",1
"127C_rep1","127C","TbBSF_211118","7","TG267692/ TI271201","peptide not quantified (30 microg protein starting)",17,"11-plex",1
"128N_rep1","128N","TbBSF_211118","8","TG267692/ TI271201","peptide not quantified (30 microg protein starting)",17,"11-plex",1
"128C_rep1","128C","TbBSF_211118","9","TG267692/ TI271201","peptide not quantified (30 microg protein starting)",17,"11-plex",1
"129N_rep1","129N","TbBSF_211118","10","TG267692/ TI271201","peptide not quantified (30 microg protein starting)",17,"11-plex",1
"129C_rep1","129C","TbBSF_211118","11","TG267692/ TI271201","peptide not quantified (30 microg protein starting)",17,"11-plex",1
"130N_rep1","130N","TbBSF_211118","12","TG267692/ TI271201","peptide not quantified (30 microg protein starting)",17,"11-plex",1
"130C_rep1","130C","TbBSF_211118","13 and 14 pooled","TG267692/ TI271201","peptide not quantified (30 microg protein starting)",17,"11-plex",1
"131N_rep1","131N","TbBSF_211118","15 to 20 pooled","TG267692/ TI271201","peptide not quantified (30 microg protein starting)",17,"11-plex",1
"131C_rep1","131C","TbBSF_211118","soluble","TG267692/ TI271201","peptide not quantified (30 microg protein starting)",17,"11-plex",1
"126_rep2","126","TbBSF_160519","1 to 3 pooled","TG267692/ TI271201","40",19,"11-plex",2
"127N_rep2","127N","TbBSF_160519","4","TG267692/ TI271201","40",19,"11-plex",2
"127C_rep2","127C","TbBSF_160519","5","TG267692/ TI271201","40",19,"11-plex",2
"128N_rep2","128N","TbBSF_160519","6 to 8 pooled","TG267692/ TI271201","40",19,"11-plex",2
"128C_rep2","128C","TbBSF_160519","9 to 11 pooled","TG267692/ TI271201","40",19,"11-plex",2
"129N_rep2","129N","TbBSF_160519","12 to 14 pooled","TG267692/ TI271201","40",19,"11-plex",2
"129C_rep2","129C","TbBSF_160519","15 and 16 pooled","TG267692/ TI271201","40",19,"11-plex",2
"130N_rep2","130N","TbBSF_160519","17","TG267692/ TI271201","40",19,"11-plex",2
"130C_rep2","130C","TbBSF_160519","18 and 19 pooled","TG267692/ TI271201","40",19,"11-plex",2
"131N_rep2","131N","TbBSF_160519","20 to 22 pooled","TG267692/ TI271201","40",19,"11-plex",2
"131C_rep2","131C","TbBSF_160519","soluble","TG267692/ TI271201","40",19,"11-plex",2
"126_rep3","126","TbBSF_300519","1 to 3 pooled","UD280817","27",19,"11-plex",3
"127N_rep3","127N","TbBSF_300519","4","UD280817","27",19,"11-plex",3
"127C_rep3","127C","TbBSF_300519","5 and 6 pooled","UD280817","27",19,"11-plex",3
"128N_rep3","128N","TbBSF_300519","7 and 8 pooled","UD280817","27",19,"11-plex",3
"128C_rep3","128C","TbBSF_300519","9","UD280817","27",19,"11-plex",3
"129N_rep3","129N","TbBSF_300519","10 and 11 pooled","UD280817","27",19,"11-plex",3
"129C_rep3","129C","TbBSF_300519","12  to 14 pooled","UD280817","27",19,"11-plex",3
"130N_rep3","130N","TbBSF_300519","15","UD280817","27",19,"11-plex",3
"130C_rep3","130C","TbBSF_300519","16 and 17 pooled","UD280817","27",19,"11-plex",3
"131N_rep3","131N","TbBSF_300519","18 to 22 pooled","UD280817","27",19,"11-plex",3
"131C_rep3","131C","TbBSF_300519","soluble","UD280817","27",19,"11-plex",3
