"","Tag","Experiment","Fraction","Lot","Peptide_microgram","UPLC_fractions","Set","Iteration"
"126_rep1","126","TbPCF_280519","1 to 3 pooled","TG267692/ TI271201",20,19,"11-plex",1
"127N_rep1","127N","TbPCF_280519","4","TG267692/ TI271201",20,19,"11-plex",1
"127C_rep1","127C","TbPCF_280519","5","TG267692/ TI271201",20,19,"11-plex",1
"128N_rep1","128N","TbPCF_280519","6 and 7 pooled","TG267692/ TI271201",20,19,"11-plex",1
"128C_rep1","128C","TbPCF_280519","8 and 9 pooled","TG267692/ TI271201",20,19,"11-plex",1
"129N_rep1","129N","TbPCF_280519","10 and 11 pooled","TG267692/ TI271201",20,19,"11-plex",1
"129C_rep1","129C","TbPCF_280519","12","TG267692/ TI271201",20,19,"11-plex",1
"130N_rep1","130N","TbPCF_280519","13","TG267692/ TI271201",20,19,"11-plex",1
"130C_rep1","130C","TbPCF_280519","14 to 17 pooled","TG267692/ TI271201",20,19,"11-plex",1
"131N_rep1","131N","TbPCF_280519","18 to 20 pooled","TG267692/ TI271201",20,19,"11-plex",1
"131C_rep1","131C","TbPCF_280519","soluble","TG267692/ TI271201",20,19,"11-plex",1
"126_rep2","126","TbPCF_060619","1 and 2 pooled","UD280817",35,19,"11-plex",2
"127N_rep2","127N","TbPCF_060619","3","UD280817",35,19,"11-plex",2
"127C_rep2","127C","TbPCF_060619","4 and 5 pooled","UD280817",35,19,"11-plex",2
"128N_rep2","128N","TbPCF_060619","6 to 9 pooled","UD280817",35,19,"11-plex",2
"128C_rep2","128C","TbPCF_060619","10 to 12 pooled","UD280817",35,19,"11-plex",2
"129N_rep2","129N","TbPCF_060619","13 and 14 pooled","UD280817",35,19,"11-plex",2
"129C_rep2","129C","TbPCF_060619","15 to 16 pooled","UD280817",35,19,"11-plex",2
"130N_rep2","130N","TbPCF_060619","17","UD280817",35,19,"11-plex",2
"130C_rep2","130C","TbPCF_060619","18","UD280817",35,19,"11-plex",2
"131N_rep2","131N","TbPCF_060619","19 to 21 pooled","UD280817",35,19,"11-plex",2
"131C_rep2","131C","TbPCF_060619","soluble","UD280817",35,19,"11-plex",2
"126_rep3","126","TbPCF_190619","1 to 3 pooled","TG267692/ TI271201",55.9,19,"11-plex",3
"127N_rep3","127N","TbPCF_190619","4 and 5 pooled","TG267692/ TI271201",55.9,19,"11-plex",3
"127C_rep3","127C","TbPCF_190619","6 to 8 pooled","TG267692/ TI271201",55.9,19,"11-plex",3
"128N_rep3","128N","TbPCF_190619","9 to 11 pooled","TG267692/ TI271201",55.9,19,"11-plex",3
"128C_rep3","128C","TbPCF_190619","12","TG267692/ TI271201",55.9,19,"11-plex",3
"129N_rep3","129N","TbPCF_190619","13 to 15 pooled","TG267692/ TI271201",55.9,19,"11-plex",3
"129C_rep3","129C","TbPCF_190619","16 to 17 pooled","TG267692/ TI271201",55.9,19,"11-plex",3
"130N_rep3","130N","TbPCF_190619","18 to 19 pooled","TG267692/ TI271201",55.9,19,"11-plex",3
"130C_rep3","130C","TbPCF_190619","20","TG267692/ TI271201",55.9,19,"11-plex",3
"131N_rep3","131N","TbPCF_190619","21 to 23 pooled","TG267692/ TI271201",55.9,19,"11-plex",3
"131C_rep3","131C","TbPCF_190619","soluble","TG267692/ TI271201",55.9,19,"11-plex",3
