"","Tag","Experiment","Fraction","Lot","Peptide_microgram","UPLC_fractions","Set","Iteration"
"126_rep1","126","TcBSF_241019","1 and 2 pooled","UD280817",36,19,"11-plex",1
"127N_rep1","127N","TcBSF_241019","3 and 4 pooled","UD280817",36,19,"11-plex",1
"127C_rep1","127C","TcBSF_241019","5","UD280817",36,19,"11-plex",1
"128N_rep1","128N","TcBSF_241019","6 and 7 pooled","UD280817",36,19,"11-plex",1
"128C_rep1","128C","TcBSF_241019","8","UD280817",36,19,"11-plex",1
"129N_rep1","129N","TcBSF_241019","9 and 10 pooled","UD280817",36,19,"11-plex",1
"129C_rep1","129C","TcBSF_241019","11","UD280817",36,19,"11-plex",1
"130N_rep1","130N","TcBSF_241019","12 and 13 pooled","UD280817",36,19,"11-plex",1
"130C_rep1","130C","TcBSF_241019","14 to 16 pooled","UD280817",36,19,"11-plex",1
"131N_rep1","131N","TcBSF_241019","17 to 20 pooled","UD280817",36,19,"11-plex",1
"131C_rep1","131C","TcBSF_241019","soluble","UD280817",36,19,"11-plex",1
"126_rep2","126","TcBSF_200120","1 and 2 pooled","UD280817",33,19,"11-plex",2
"127N_rep2","127N","TcBSF_200120","3 and 4 pooled","UD280817",33,19,"11-plex",2
"127C_rep2","127C","TcBSF_200120","5 and 6 pooled","UD280817",33,19,"11-plex",2
"128N_rep2","128N","TcBSF_200120","7","UD280817",33,19,"11-plex",2
"128C_rep2","128C","TcBSF_200120","8","UD280817",33,19,"11-plex",2
"129N_rep2","129N","TcBSF_200120","9","UD280817",33,19,"11-plex",2
"129C_rep2","129C","TcBSF_200120","10 and 11 pooled","UD280817",33,19,"11-plex",2
"130N_rep2","130N","TcBSF_200120","12 and 13 pooled","UD280817",33,19,"11-plex",2
"130C_rep2","130C","TcBSF_200120","14 to 16 pooled","UD280817",33,19,"11-plex",2
"131N_rep2","131N","TcBSF_200120","17 to 20 pooled","UD280817",33,19,"11-plex",2
"131C_rep2","131C","TcBSF_200120","soluble","UD280817",33,19,"11-plex",2
"126_rep3","126","TcBSF_220120","2 and 3 pooled","UD280817",45,19,"11-plex",3
"127N_rep3","127N","TcBSF_220120","4","UD280817",45,19,"11-plex",3
"127C_rep3","127C","TcBSF_220120","5","UD280817",45,19,"11-plex",3
"128N_rep3","128N","TcBSF_220120","6","UD280817",45,19,"11-plex",3
"128C_rep3","128C","TcBSF_220120","7 to 10 pooled","UD280817",45,19,"11-plex",3
"129N_rep3","129N","TcBSF_220120","11 to 13 pooled","UD280817",45,19,"11-plex",3
"129C_rep3","129C","TcBSF_220120","14 and 15 pooled","UD280817",45,19,"11-plex",3
"130N_rep3","130N","TcBSF_220120","16 and 17 pooled","UD280817",45,19,"11-plex",3
"130C_rep3","130C","TcBSF_220120","18 and 19 pooled","UD280817",45,19,"11-plex",3
"131N_rep3","131N","TcBSF_220120","20 to 23 pooled","UD280817",45,19,"11-plex",3
"131C_rep3","131C","TcBSF_220120","soluble","UD280817",45,19,"11-plex",3
