"Protein ID","Protein Description (TAIR10)","Gene name","Subcellular localisation marker (known localisation)","PepNumber_Gradient A","PepNumber_Gradient B","misssing_values_Gradient A","misssing_values_Gradient B",A_1,A_2,A_3,A_4,A_5,A_6,A_7,A_8,A_9,A_10,B_1,B_2,B_3,B_4,B_5,B_6,B_7,B_8,B_9,B_10
AT1G78900,"Encodes catalytic subunit A of the vacuolar ATP synthase.  Mutants are devoid of vacuolar ATPase activity as subunit A is encoded only by this gene and show strong defects in male gametophyte development and in Golgi stack morphology.",VHA-A," ",26,27,0,0,0.217010244,0.193995746,0.143693434,0.100155478,0.092429668,0.086029986,0.046005515,0.045992504,0.038617915,0.03606951,0.243164128,0.178810729,0.133956827,0.109268317,0.096064482,0.084496081,0.043007816,0.042161679,0.032741197,0.036328744
AT1G56340,"Encodes one of three Arabidopsis calreticulins.   In CRT-deficient mouse fibroblasts, this protein restores ER Ca2+ levels.",CRT1a,ER,9,10,0,0,0.14113379,0.15707324,0.122372238,0.110417569,0.103801488,0.088652992,0.074482043,0.077319084,0.060940805,0.06380675,0.132060157,0.15089188,0.154084552,0.135569023,0.124150525,0.109498389,0.04397732,0.054106692,0.050856369,0.044805091
AT5G28540,"Encodes the luminal binding protein BiP, an ER-localized member of the HSP70 family.  BiP is composed of an N-terminal ATP binding domain and a C-terminal domain that binds to hydrophobic patches on improperly/incompletely folded proteins in an ATP-dependent manner. Involved in polar nuclei fusion during proliferation of endosperm nuclei.",BIP1,ER,3,3,0,0,0.135616329,0.192897389,0.169204815,0.132581404,0.109885088,0.107239569,0.044873723,0.041664078,0.036558415,0.02947919,0.150483818,0.153453306,0.136988284,0.125763978,0.109243009,0.08798389,0.113677047,0.045227406,0.042260325,0.034918938
AT5G42020,"Luminal binding protein (BiP2) involved in polar nuclei fusion during proliferation of endosperm nuclei.",BIP2,ER,4,4,0,0,0.148911356,0.169558468,0.166649372,0.126127139,0.115782477,0.091805352,0.053662401,0.045831742,0.045249397,0.036422298,0.160293554,0.156246484,0.136460586,0.110578874,0.093787013,0.075890521,0.122767135,0.058167439,0.048983299,0.036825096
AT5G53560,"Encodes a cytochrome b5 isoform that can be reduced by AtCBR, a cytochrome b5 reductase.",CB5-E," ",5,5,0,0,0.120656977,0.158275162,0.164754402,0.120507453,0.095750243,0.087165633,0.067793851,0.070152231,0.059844297,0.055099752,0.124416401,0.168555149,0.166627785,0.148000022,0.114905709,0.089711589,0.050257147,0.047190726,0.050205189,0.040130284
AT4G38510,"One of three genes encoding the vacuolar ATP synthase subunit B1.  The protein binds to and co-localizes with F-actin, bundles F-actin to form higher-order structure, and stabilizes actin filaments in vitro.",VAB2," ",3,3,0,0,0.263976578,0.199324534,0.118787539,0.09065375,0.077283302,0.058587133,0.057857221,0.04931425,0.044605406,0.039610287,0.319176842,0.192420748,0.111551928,0.085037353,0.069878787,0.057448031,0.045768382,0.042987234,0.037714768,0.038015927
AT1G18210,"Calcium-binding EF-hand family protein; FUNCTIONS IN: calcium ion binding; INVOLVED IN: biological_process unknown; LOCATED IN: plasma membrane, vacuole; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: EF-Hand 1, calcium-binding site (InterPro:IPR018247), EF-HAND 2 (InterPro:IPR018249), EF-hand-like domain (InterPro:IPR011992), Calcium-binding EF-hand (InterPro:IPR002048), EF-hand (InterPro:IPR018248); BEST Arabidopsis thaliana protein match is: EF hand calcium-binding protein family (TAIR:AT1G73630.1); Has 26408 Blast hits to 16156 proteins in 1551 species: Archae - 2; Bacteria - 177; Metazoa - 9876; Fungi - 6429; Plants - 6014; Viruses - 0; Other Eukaryotes - 3910 (source: NCBI BLink)."," "," ",9,9,0,0,0.173578591,0.148091667,0.125258602,0.114912603,0.103222904,0.091624135,0.060051512,0.060505627,0.057274358,0.065480001,0.164707186,0.166409122,0.150299867,0.124396208,0.108635203,0.099736342,0.03819318,0.058195821,0.053154175,0.036272896
AT3G49870,"A member of ARF-like GTPase family. A thaliana has 21 members, in two subfamilies, ARF and ARF-like (ARL) GTPases.",ARLA1C," ",2,2,0,0,0.369362986,0.230609175,0.131741146,0.088820941,0.059556994,0.054836403,0.017364216,0.01656593,0.016022565,0.015119644,0.387519019,0.205199043,0.129092681,0.083419318,0.065478905,0.049461065,0.036147508,0.014036699,0.013113133,0.016532631
AT5G67560,"A member of ARF-like GTPase family. A thaliana has 21 members, in two subfamilies, ARF and ARF-like (ARL) GTPases. Possible pseudogene because it lacks an N-terminal part that is conserved among the other ARL8 proteins.",ARLA1D," ",2,2,1,0,0.328829567,0.245272264,0.189437485,0.072932733,0,0.067144645,0.03047293,0.027054502,0.01995717,0.018898703,0.390066147,0.199409304,0.115891229,0.090823621,0.0546809,0.045353943,0.050137601,0.018770829,0.016615268,0.018251158
AT2G30490,"Encodes a cinnamate-4-hydroxylase. Mutations in this gene impact phenylpropanoid metabolism, growth and development.",C4H,ER,20,22,0,0,0.145821154,0.151580574,0.159592416,0.120041793,0.107017046,0.093116991,0.065368869,0.058421414,0.048497709,0.050542034,0.128526773,0.144728816,0.138650575,0.120215968,0.114699492,0.103871461,0.080123683,0.06285092,0.052662675,0.053669636
AT1G74020,"Encodes AtSS-2 strictosidine synthase.",SS2," ",9,10,0,0,0.077685165,0.12495695,0.119080949,0.093856799,0.111855233,0.097918481,0.102863256,0.098581191,0.083674234,0.08952774,0.088061748,0.111631668,0.119695486,0.118336226,0.090298065,0.112388203,0.106799696,0.092417061,0.083750841,0.076621006
AT5G09810,"Member of Actin gene family.Mutants are defective in germination and root growth.",ACT7," ",4,4,0,0,0.106728747,0.094450777,0.096970899,0.075766395,0.07348761,0.081563547,0.104097277,0.118410036,0.12254137,0.125983343,0.111918802,0.100083204,0.082606654,0.074586906,0.079825495,0.083001798,0.110824461,0.116801929,0.125598454,0.114752296
AT1G21750,"Encodes a protein disulfide isomerase-like (PDIL) protein, a member of a multigene family within the thioredoxin (TRX) superfamily; isoform contains non-consensus GA donor splice site at intron 9. Transcript levels for this gene are up-regulated in response to three different chemical inducers of ER stress (dithiothreitol, beta-mercaptoethanol, and tunicamycin). Neither AtIRE1-2 nor AtbZIP60 appear to be required for this response.",PDIL1-1,ER,14,17,0,0,0.151799783,0.179507327,0.145515063,0.113721229,0.108464179,0.100936999,0.052789879,0.054744481,0.046003309,0.046517752,0.142932036,0.145243512,0.139586176,0.117987513,0.110205389,0.108661275,0.063280009,0.058404399,0.050160041,0.06353965
AT2G21160,"Translocon-associated protein (TRAP), alpha subunit; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast thylakoid membrane, endoplasmic reticulum, plasma membrane, vacuole; EXPRESSED IN: 27 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Translocon-associated protein (TRAP), alpha subunit (InterPro:IPR005595); BEST Arabidopsis thaliana protein match is: Translocon-associated protein (TRAP), alpha subunit (TAIR:AT2G16595.1); Has 246 Blast hits to 246 proteins in 95 species: Archae - 0; Bacteria - 0; Metazoa - 141; Fungi - 24; Plants - 60; Viruses - 0; Other Eukaryotes - 21 (source: NCBI BLink)."," "," ",4,4,0,0,0.125635232,0.131647439,0.130772658,0.114959995,0.09871658,0.084133965,0.087274783,0.082572629,0.074262991,0.070023728,0.114881715,0.134770422,0.136098297,0.121162036,0.107697546,0.087689933,0.08066936,0.075339602,0.073480266,0.068210822
AT4G11150,"Encodes a vacuolar H+-ATPase subunit E isoform 1 which is required for Golgi organization and vacuole function in embryogenesis.",TUF," ",6,6,0,0,0.276385181,0.194790352,0.12991277,0.110036744,0.069499392,0.061368721,0.102609658,0.012588713,0.030079149,0.01272932,0.309012401,0.247480662,0.135359244,0.101570279,0.048506149,0.028484164,0.068772944,0.018076315,0.018689888,0.024047955
AT1G15690,"Encodes a H(+)-translocating (pyrophosphate-energized) inorganic pyrophosphatase (H(+)-PPase; EC 3.6.1.1) located in the vacuolar membrane. Expression is found in all tissues examined, including meristems and floral organ primordium. Expression is particularly enhanced in pollen, and is repressed by light. Over expression and loss of function phenotypes suggest AVP1 is involved in regulation of apoplastic pH and auxin transport. The effect on auxin transport likely involves effects of extracellular pH on subcellular localization of auxin efflux carriers such as PIN1.",AVP1,Vacuole,11,12,0,0,0.20998851,0.211531995,0.123175767,0.102939502,0.083724616,0.083130123,0.048369686,0.054720925,0.038496462,0.043922414,0.266474119,0.198989269,0.132468519,0.102915336,0.085366166,0.075265314,0.042746936,0.037298058,0.030863192,0.02761309
AT5G48810,"Encodes a cytochrome b5 isoform that localizes to the ER. The C-terminal portion of the protein appears to be capable of inserting into a plant microsomal membrane in vitro and the protein appears to be subject to glycosylation.",CB5-D,ER,5,6,0,0,0.125130336,0.163991782,0.168483899,0.130493874,0.117711349,0.097870135,0.038832676,0.055246476,0.049548744,0.052690727,0.127518219,0.140468477,0.159799424,0.146072785,0.121452631,0.099292106,0.049508651,0.054574217,0.055776803,0.045536687
AT1G09210,"Encodes one of three Arabidopsis calreticulins.",CRT1b,ER,7,8,0,0,0.157838106,0.138718455,0.111614588,0.114109076,0.094748503,0.081960386,0.088539985,0.078410857,0.059235386,0.07482466,0.127956983,0.162139949,0.162729689,0.140674275,0.115448052,0.095072106,0.061186787,0.046386509,0.044764425,0.043641224
AT1G33120,"Ribosomal protein L6 family; FUNCTIONS IN: structural constituent of ribosome, rRNA binding; INVOLVED IN: translation; LOCATED IN: in 7 components; EXPRESSED IN: fruit, cultured cell, leaf; CONTAINS InterPro DOMAIN/s: Ribosomal protein L6 (InterPro:IPR000702), Ribosomal protein L6, alpha-beta domain (InterPro:IPR020040), Ribosomal protein L6, conserved site-2 (InterPro:IPR002359); BEST Arabidopsis thaliana protein match is: Ribosomal protein L6 family (TAIR:AT1G33140.1); Has 1644 Blast hits to 1643 proteins in 495 species: Archae - 312; Bacteria - 169; Metazoa - 422; Fungi - 179; Plants - 339; Viruses - 0; Other Eukaryotes - 223 (source: NCBI BLink)."," ",Ribosome,4,4,0,0,0.167890083,0.118723024,0.122120359,0.14078763,0.114953642,0.098196262,0.059428466,0.062571678,0.062905678,0.052423179,0.16014957,0.140584127,0.123394878,0.12719473,0.111726345,0.084737716,0.075114736,0.072990651,0.053228522,0.050878724
AT4G24190,"encodes an ortholog of GRP94, an ER-resident HSP90-like protein and is involved in regulation of meristem size and organization. Single and double mutant analyses suggest that SHD may be required for the correct folding and/or complex formation of CLV proteins. Lines carrying recessive mutations in this locus exhibits expanded shoot meristems, disorganized root meristems, and defective pollen tube elongation. Transcript is detected in all tissues examined and is not induced by heat.  Endoplasmin supports the protein secretory pathway and has a role in proliferating tissues.",SHD,ER,23,25,0,0,0.117097354,0.167502749,0.148100124,0.109757551,0.106314978,0.09558712,0.075483763,0.072039992,0.054931519,0.053184851,0.110759237,0.141631626,0.141624776,0.125440318,0.113744664,0.103091978,0.070653812,0.068106495,0.064277645,0.060669449
AT3G16460,"Mannose-binding lectin superfamily protein; FUNCTIONS IN: copper ion binding; INVOLVED IN: response to cold; LOCATED IN: cytosol, nucleus, membrane; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Mannose-binding lectin (InterPro:IPR001229); BEST Arabidopsis thaliana protein match is: myrosinase-binding protein 1 (TAIR:AT1G52040.1); Has 154784 Blast hits to 42550 proteins in 2542 species: Archae - 433; Bacteria - 67678; Metazoa - 26922; Fungi - 9328; Plants - 12326; Viruses - 2371; Other Eukaryotes - 35726 (source: NCBI BLink).",JAL34," ",18,18,0,0,0.120905182,0.122801686,0.11403938,0.102924876,0.103117378,0.101630995,0.093721713,0.08679635,0.078167436,0.075895005,0.132384513,0.113412294,0.105433073,0.095940297,0.097999781,0.090772158,0.102249798,0.09207386,0.085901755,0.08383247
AT1G12840,"Encodes subunit C of the vacuolar H(+)-ATPase (V-ATPase).  Bound and phosphorylated by AtWNK8.",DET3," ",14,16,0,0,0.325254532,0.188954016,0.098588638,0.079844586,0.062450778,0.056345043,0.044910091,0.060259357,0.040770647,0.042622312,0.322839004,0.20733576,0.119427155,0.095835797,0.066915462,0.05334333,0.043806145,0.03031401,0.030735169,0.029448166
AT3G16450,"Mannose-binding lectin superfamily protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: response to zinc ion, response to cold; LOCATED IN: nucleus; EXPRESSED IN: 6 plant structures; EXPRESSED DURING: LP.04 four leaves visible, seedling growth; CONTAINS InterPro DOMAIN/s: Mannose-binding lectin (InterPro:IPR001229); BEST Arabidopsis thaliana protein match is: myrosinase-binding protein-like protein-300B (TAIR:AT3G16440.1); Has 1665 Blast hits to 784 proteins in 42 species: Archae - 0; Bacteria - 2; Metazoa - 0; Fungi - 2; Plants - 1654; Viruses - 0; Other Eukaryotes - 7 (source: NCBI BLink).",JAL33," ",9,9,0,0,0.09756578,0.091300837,0.080470742,0.085299681,0.09034286,0.090175663,0.100561195,0.116925633,0.113641323,0.133716286,0.102750654,0.089924241,0.086624398,0.082626907,0.088961754,0.105059469,0.097444499,0.105924182,0.11824642,0.122437475
AT3G28710,"ATPase, V0/A0 complex, subunit C/D; FUNCTIONS IN: hydrogen ion transmembrane transporter activity, proton-transporting ATPase activity, rotational mechanism; INVOLVED IN: proton transport, ATP synthesis coupled proton transport; LOCATED IN: vacuolar membrane, plasma membrane, vacuole, plant-type vacuole; EXPRESSED IN: cultured cell, callus; CONTAINS InterPro DOMAIN/s: ATPase, V0/A0 complex, subunit C/D (InterPro:IPR002843), ATPase, V0 complex, subunit D (InterPro:IPR016727); BEST Arabidopsis thaliana protein match is: ATPase, V0/A0 complex, subunit C/D (TAIR:AT3G28715.1); Has 631 Blast hits to 630 proteins in 306 species: Archae - 16; Bacteria - 2; Metazoa - 293; Fungi - 153; Plants - 74; Viruses - 0; Other Eukaryotes - 93 (source: NCBI BLink)."," "," ",2,2,0,1,0.297427198,0.190910209,0.131834297,0.097270019,0.081730984,0.072854991,0.031352234,0.038265709,0.028007061,0.030347299,0.358490266,0.185437142,0.10690396,0.095864992,0.082582574,0.064492234,0,0.033952227,0.032714664,0.03956194
