"Protein ID","Protein name","Protein Description (TAIR10)","Subcellular localisation marker (known localisation)","Localisation Method",PMID
AT1G27980,DPL1,"dihydrosphingosine phosphate lyase (DPL1); FUNCTIONS IN: pyridoxal phosphate binding, carboxy-lyase activity, catalytic activity; INVOLVED IN: sphingolipid catabolic process, cellular amino acid metabolic process; LOCATED IN: endoplasmic reticulum, membrane; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Pyridoxal phosphate-dependent transferase, major domain (InterPro:IPR015424), Pyridoxal phosphate-dependent decarboxylase (InterPro:IPR002129), Pyridoxal phosphate-dependent transferase, major region, subdomain 1 (InterPro:IPR015421); BEST Arabidopsis thaliana protein match is: glutamate decarboxylase (TAIR:AT5G17330.1); Has 6215 Blast hits to 6205 proteins in 1686 species: Archae - 244; Bacteria - 4383; Metazoa - 292; Fungi - 491; Plants - 296; Viruses - 3; Other Eukaryotes - 506 (source: NCBI BLink).",ER,CFP,17635905
AT4G36480,LCB1,"Encodes the LCB1 subunit of serine palmitoyltransferase. Together with the LCB2 subunit, forms a functional serine palmitoyltransferase complex, which catalyzes the first reaction of sphingolipid biosynthesis. Knockout of LCB1 was embryo lethal. Partial suppression of LCB1 expression led to smaller plants due to reduced cell expansion.",ER,EYFP,17194770
AT4G24190,SHD,"encodes an ortholog of GRP94, an ER-resident HSP90-like protein and is involved in regulation of meristem size and organization. Single and double mutant analyses suggest that SHD may be required for the correct folding and/or complex formation of CLV proteins. Lines carrying recessive mutations in this locus exhibits expanded shoot meristems, disorganized root meristems, and defective pollen tube elongation. Transcript is detected in all tissues examined and is not induced by heat.  Endoplasmin supports the protein secretory pathway and has a role in proliferating tissues.",ER,GFP,18931141
AT5G60640,PDIL1-4,"Encodes a protein disulfide isomerase-like (PDIL) protein, a member of a multigene family within the thioredoxin (TRX) superfamily. Unlike several other PDI family members, transcript levels for this gene are not up-regulated in response to three different chemical inducers of ER stress (dithiothreitol, beta-mercaptoethanol, and tunicamycin). However, the level of transcripts for this gene is slightly elevated in atbzip60 mutants.",ER,GFP,18931141
AT3G15950,NAI2,"Similar to TSK-associating protein 1 (TSA1), contains 10 EFE repeats, a novel repeat sequence unique to plants.  Expressed preferentially in the roots.Protein is localized to ER bodies- an endoplasmic reticulum derived structure. Loss of function mutations lack ER bodies.",ER,GFP,18780803
AT2G30490,C4H,"Encodes a cinnamate-4-hydroxylase. Mutations in this gene impact phenylpropanoid metabolism, growth and development.",ER,GFP,23175744
AT3G54960,PDIL1-3,"Encodes a protein disulfide isomerase-like (PDIL) protein, a member of a multigene family within the thioredoxin (TRX) superfamily. Transcript levels for this gene are up-regulated in response to three different chemical inducers of ER stress (dithiothreitol, beta-mercaptoethanol, and tunicamycin). Neither AtIRE1-2 nor AtbZIP60 appear to be required for this response.",ER,GFP,12837943
AT3G44330," ","INVOLVED IN: protein processing; LOCATED IN: mitochondrion, endoplasmic reticulum, plasma membrane, vacuole; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Nicalin (InterPro:IPR016574), EF-Hand 1, calcium-binding site (InterPro:IPR018247), Nicastrin (InterPro:IPR008710); Has 245 Blast hits to 243 proteins in 99 species: Archae - 6; Bacteria - 10; Metazoa - 139; Fungi - 0; Plants - 46; Viruses - 0; Other Eukaryotes - 44 (source: NCBI BLink).",ER,GFP,16618929
AT1G21750,PDIL1-1,"Encodes a protein disulfide isomerase-like (PDIL) protein, a member of a multigene family within the thioredoxin (TRX) superfamily; isoform contains non-consensus GA donor splice site at intron 9. Transcript levels for this gene are up-regulated in response to three different chemical inducers of ER stress (dithiothreitol, beta-mercaptoethanol, and tunicamycin). Neither AtIRE1-2 nor AtbZIP60 appear to be required for this response.",ER,GFP,18931141
AT1G11680,CYP51G1,"putative obtusifoliol 14-alpha demethylase involved in sterol biosynthesis.",ER,GFP,21515817
