Majority protein IDs,Lead protein ID,Protein names,Gene names,Class,nRatio H/L AP4B1_1_03K,nRatio H/L AP4B1_1_06K,nRatio H/L AP4B1_1_12K,nRatio H/L AP4B1_1_24K,nRatio H/L AP4B1_1_80K,nRatio H/L AP4B1_2_03K,nRatio H/L AP4B1_2_06K,nRatio H/L AP4B1_2_12K,nRatio H/L AP4B1_2_24K,nRatio H/L AP4B1_2_80K,nRatio H/L AP4E1_1_03K,nRatio H/L AP4E1_1_06K,nRatio H/L AP4E1_1_12K,nRatio H/L AP4E1_1_24K,nRatio H/L AP4E1_1_80K,nRatio H/L AP4E1_2_03K,nRatio H/L AP4E1_2_06K,nRatio H/L AP4E1_2_12K,nRatio H/L AP4E1_2_24K,nRatio H/L AP4E1_2_80K,nRatio H/L WT_1_03K,nRatio H/L WT_1_06K,nRatio H/L WT_1_12K,nRatio H/L WT_1_24K,nRatio H/L WT_1_80K,nRatio H/L WT_2_03K,nRatio H/L WT_2_06K,nRatio H/L WT_2_12K,nRatio H/L WT_2_24K,nRatio H/L WT_2_80K
Q92887,Q92887,Canalicular multispecific organic anion transporter 1,ABCC2,Plasma membrane,0.930282615,0.947163437,0.873513514,1.537374489,3.656420639,0.921042348,1.053583855,0.836193107,1.292749433,2.992127565,0.835762863,0.937917204,0.914745382,1.580385409,3.52096971,0.919400824,0.999432582,0.909222987,1.620960391,3.18555877,0.997434717,0.966845107,0.8549817,1.741464961,3.963216205,1.082548081,1.030835302,0.96226166,1.885096714,3.677046646
P78536;P78536-2,P78536,Disintegrin and metalloproteinase domain-containing protein 17,ADAM17,Plasma membrane,0.883187326,0.852392509,0.962696029,2.529812818,6.246150071,0.771690466,0.857560004,0.931687669,1.978602013,10.78659127,0.793607051,0.80177625,1.011496634,2.744361396,9.103490797,0.820787006,0.902732567,1.013300226,2.202252477,6.565198302,0.745307445,0.769651531,1.038337831,2.638057992,3.619388887,0.815367147,0.893994703,1.087667374,2.959290955,7.287721868
Q13443;Q13443-2,Q13443,Disintegrin and metalloproteinase domain-containing protein 9,ADAM9,Plasma membrane,1.147377257,0.965235415,0.854761428,1.438205033,2.342965826,0.940044883,1.019867098,0.813591116,1.169990254,2.169761619,1.110239497,0.972554075,0.877818056,1.380719062,2.270658148,1.101617317,1.033268628,0.903253074,1.370306113,1.951277173,1.038909785,0.986726374,0.877474213,1.538949371,2.535985472,1.033993141,0.968549137,0.859278901,1.410854992,2.273134103
P05187,P05187,"Alkaline phosphatase, placental type",ALPP,Plasma membrane,0.690271709,0.816455089,0.836329663,1.593157308,6.848027486,0.692196903,0.816720564,0.874987053,1.635182934,2.934426476,0.825626369,0.997994557,0.90463663,1.961853219,4.88921539,0.858302166,1.005883231,1.013300226,1.631428823,4.121739522,0.631251009,0.797176072,0.755177641,1.695662897,5.441271466,0.704866029,0.969207644,0.952898591,1.926020552,5.323313689
Q4KMQ2;Q4KMQ2-3;Q4KMQ2-2;Q4KMQ2-4,Q4KMQ2,Anoctamin-6,ANO6,Plasma membrane,0.774704578,0.841991901,0.896256256,2.028511219,4.552549236,0.739948865,0.854408012,0.844663099,1.666502404,4.878300879,0.806035512,0.875791434,0.966863456,2.060898236,4.716315313,0.809674695,0.927534717,0.917187273,1.748934043,4.36771775,0.791243355,0.843648351,0.932973493,2.440052144,6.845100979,0.7857285,0.913392026,0.980294645,2.133579027,5.02260813
Q9H6X2;Q9H6X2-5;Q9H6X2-4;Q9H6X2-6;Q9H6X2-2;Q9H6X2-3,Q9H6X2,Anthrax toxin receptor 1,ANTXR1,Plasma membrane,1.068425924,0.919369472,0.835542209,1.669021941,3.147677772,1.001261625,0.917693452,0.839162207,1.528959558,2.851236559,1.025641375,0.929866781,0.995242534,1.76967436,3.089637802,0.940990456,0.82175601,0.918692959,1.569441586,2.582152225,0.89912876,0.83688026,0.849096085,1.849698763,3.604519361,0.853129499,0.833412068,0.811088251,1.707609347,2.77934698
O95782;O95782-2,O95782,AP-2 complex subunit alpha-1,AP2A1,Plasma membrane,0.60450433,0.883284527,1.102088755,2.121358622,3.868703601,0.555874373,1.037455483,1.303987571,2.559107286,4.18548642,0.560645025,1.039091821,1.316264457,2.557042836,4.405278831,0.551983389,1.062042706,1.567894549,3.056429559,4.313231039,0.575053967,1.113073793,1.341047728,2.577740197,3.990030105,0.583150921,1.167833369,1.572027418,2.793899861,4.28647813
O94973-2;O94973-3,O94973,AP-2 complex subunit alpha-2,AP2A2,Plasma membrane,0.604073843,0.869254771,1.036930264,1.994917565,2.979201178,0.542018824,1.000627669,1.272915588,2.309537107,3.271400832,0.56303249,1.012963759,1.236927326,2.394288492,3.818887825,0.544185722,1.053665821,1.427363861,2.819301908,3.524299497,0.57780462,1.1089896,1.244659692,2.456399958,3.269711263,0.58052886,1.132975449,1.484007966,2.783273229,3.504318211
Q96CW1;Q96CW1-2,Q96CW1,AP-2 complex subunit mu,AP2M1,Plasma membrane,0.583510909,0.877412978,0.971411411,2.046237759,3.237990061,0.582882088,0.995415285,1.272225099,2.197619282,3.427143595,0.556947865,1.023162871,1.267861212,2.372220106,3.869787089,0.574055612,1.038524713,1.482572346,2.539241921,3.382228777,0.591773155,1.135347229,1.327324485,2.349857309,3.702146331,0.601294642,1.149094553,1.515364896,2.396983845,3.336587974
P53680;P53680-2,P53680,AP-2 complex subunit sigma,AP2S1,Plasma membrane,0.588676754,0.919546504,1.104798131,2.226354283,3.926253144,0.548315786,1.023769563,1.402497267,2.514099237,3.633362268,0.525146829,1.033161438,1.281367167,2.46495987,4.092668145,0.55249138,1.021412573,1.493534796,2.651571735,3.483096736,0.596413387,1.146505827,1.293652261,2.447098615,3.677160652,0.531938803,1.03485792,1.433616829,2.630995851,3.598702793
