Protein.ID,Loc.Predicted,Loc.Confirmed,Loc.Assigned,M1F1A,M1F4A,M1F7A,M1F11A,M1F2B,M1F5B,M1F8B,M1F11B,M2F1A,M2F4A,M2F7A,M2F11A,M2F2B,M2F5B,M2F8B,M2F11B
At2g01470,"known ER","known ER",ER,0.304043,0.318,0.202652,0.175435,0.41475,0.241667,0.178167,0.165833,0.259875,0.34275,0.240625,0.156687,0.3147,0.2937,0.2225,0.1693
At5g42020,"known ER","known ER",ER,0.2925,0.30075,0.216,0.19075,0.422667,0.215667,0.189,0.173333,0.29625,0.316,0.22375,0.164,0.3445,0.32775,0.20175,0.12575
At4g37640,"known ER","known ER",ER,0.2855,0.2885,0.234,0.1915,0.3635,0.2499,0.2011,0.1855,0.2675,0.32575,0.23725,0.16925,0.3092,0.2784,0.2094,0.2026
At5g61790,"known ER","known ER",ER,0.289648,0.308815,0.207259,0.194167,0.394452,0.242935,0.187839,0.174903,0.251718,0.346564,0.237205,0.164615,0.321056,0.299056,0.210944,0.169
At5g17770,"known ER","known ER",ER,0.244222,0.271611,0.258111,0.2265,0.362769,0.236231,0.213308,0.188,0.2086,0.302667,0.255933,0.2328,0.2518,0.2627,0.2381,0.2477
At4g01320,"known ER","known ER",ER,0.3015,0.315,0.203167,0.1805,0.392286,0.242143,0.189714,0.176143,0.2345,0.34825,0.24375,0.173417,0.31275,0.308625,0.20425,0.1745
At2g39630,"predicted ER","predicted ER",ER,0.279,0.294,0.195,0.231,0.335333,0.242,0.215333,0.208333,0.209,0.332,0.250333,0.209,0.247333,0.245,0.251,0.256667
At3g57220,"predicted ER","predicted ER",ER,0.26,0.312,0.226,0.202,0.363,0.236,0.189,0.212,0.2728,0.3354,0.2384,0.1534,0.334667,0.341333,0.193,0.131667
At5g07340,"predicted ER","predicted ER",ER,0.284091,0.321333,0.206485,0.18797,0.398471,0.253412,0.178824,0.169294,0.256,0.363692,0.230077,0.150077,0.293375,0.3015,0.237375,0.16775
At1g56340,"predicted ER","predicted ER",ER,0.336733,0.303267,0.201133,0.1588,0.487167,0.201833,0.165333,0.145333,0.387833,0.326833,0.152667,0.133,0.416333,0.305667,0.147333,0.131
At1g09210,"predicted ER","predicted ER",ER,0.32325,0.2755,0.216,0.18525,0.465667,0.199667,0.174333,0.160333,0.370667,0.317444,0.154333,0.157444,0.3795,0.333,0.161,0.127
At1g11680,"predicted ER","predicted ER",ER,0.2862,0.328933,0.198333,0.186667,0.408444,0.245111,0.185778,0.160444,0.287286,0.360357,0.212143,0.140214,0.3523,0.2814,0.2053,0.1609
At2g30490,"predicted ER","predicted ER",ER,0.352414,0.295776,0.180621,0.171138,0.45085,0.221625,0.170375,0.157075,0.325971,0.322853,0.202176,0.149029,0.3615,0.273179,0.204893,0.1605
At4g24190,"predicted ER","predicted ER",ER,0.368452,0.290032,0.196419,0.14529,0.520579,0.204842,0.144526,0.129842,0.421281,0.304594,0.146437,0.127656,0.429524,0.290333,0.150095,0.129857
At1g67730,"predicted ER","predicted ER",ER,0.271923,0.278808,0.227731,0.221731,0.332,0.259692,0.204923,0.203538,0.210667,0.328083,0.27175,0.189333,0.259444,0.279222,0.255889,0.205889
