,"Protein.Description","Peptides","PSMs","X113","X114","X115","X116","X117","X118","X119","X121","n113","n114","n115","n116","n117","n118","n119","n121","GOannotation","Training"
"sp|Q62261|SPTB2_MOUSE","Spectrin beta chain, brain 1 (multiple isoforms)",42,42,70233.88132,46181.76508,10589.62567,85502.5486,112344.9288,180504.4992,44245.21434,12237.80404,0.1250068488,0.0821973215,0.0188481074,0.15218302,0.1999588413,0.3212736961,0.0787505221,0.0217816429,"PLM-SKE",
"sp|Q9JHU4|DYHC1_MOUSE","Cytoplasmic dynein 1 heavy chain 1",33,33,12884.70072,12300.92499,4884.829384,13804.65847,15708.252,78125.01345,38814.48911,8343.280486,0.0696974585,0.0665396293,0.0264236012,0.0746738036,0.0849709485,0.4226031323,0.2099599597,0.045131467,"SKE",
"sp|Q9QXS1|PLEC_MOUSE","Isoform PLEC-1I of Plectin",33,33,70231.25859,39040.63436,12281.0666,33988.99908,38038.14871,70081.02105,48172.27702,13365.48382,0.2159640175,0.1200515612,0.0377647864,0.1045175743,0.1169688765,0.2155020308,0.1481317391,0.0410994141,"null",
"sp|P16546|SPTA2_MOUSE","Spectrin alpha chain, brain (multiple isoforms)",32,32,50245.2678,31250.60001,13004.87826,53606.67221,70990.85473,114548.7033,40756.19106,14753.162,0.1291133254,0.0803034607,0.0334181337,0.1377509966,0.1824224595,0.2943513818,0.1047296112,0.037910631,"PLM-SKE-CYT",
"sp|Q69ZN7|MYOF_MOUSE","Myoferlin (multiple isoforms)",28,28,141845.5559,258004.6646,59353.82696,170667.3731,63314.11936,42231.32537,14586.03811,7698.21957,0.1872051546,0.3405098089,0.0783340887,0.2252436586,0.0835608097,0.0557361261,0.0192503847,0.0101599685,"VES",
"sp|P30999|CTND1_MOUSE","Catenin delta-1 (multiple isoforms)",24,24,231045.6781,139413.4521,45303.44466,157698.7518,112367.4611,69907.36859,22775.94304,32705.90407,0.2848133019,0.1718569503,0.0558462022,0.1943975,0.1385169715,0.0861758101,0.0280762297,0.0403170343,"PLM-NUC","PLM"
"sp|Q03265|ATPA_MOUSE","ATP synthase subunit alpha, mitochondrial",23,23,237734.14,265835.2832,143048.185,1230619.421,5058653.135,3121568.703,929915.572,30948.50079,0.0215762545,0.0241266556,0.0129827548,0.1116884509,0.4591128035,0.2833070622,0.084397197,0.0028088214,"null","MIT"
"sp|P58252|EF2_MOUSE","Elongation factor 2",22,22,192791.4514,189965.9436,44312.69346,211189.7391,184636.7356,240707.5061,528313.7804,495827.0153,0.0923443543,0.0909909763,0.0212251479,0.1011568715,0.0884383617,0.1152954607,0.2530547622,0.2374940653,"null",
"sp|P63038|CH60_MOUSE","60 kDa heat shock protein, mitochondrial (multiple isoforms)",21,21,547358.8618,659702.4092,231867.1828,3340151.171,12768486.88,7606794.673,1356037.607,239599.4769,0.0204620149,0.0246617739,0.0086679326,0.1248654725,0.4773266434,0.2843661745,0.0506929979,0.0089569904,"PLM-MIT-VES",
"sp|P52480|KPYM_MOUSE","Pyruvate kinase isozymes M1/M2 (multiple isoforms)",20,20,309046.6195,279594.7014,78560.85305,265573.7255,197300.032,718331.3684,525848.4284,2136073.192,0.0685197521,0.0619898696,0.0174179876,0.0588812324,0.0437440452,0.1592636327,0.116587601,0.4735958795,"MIT-NUC",
"sp|Q62318|TIF1B_MOUSE","Transcription intermediary factor 1-beta (multiple isoforms)",20,20,46058.35894,56244.25099,13983.93601,96602.16951,103152.6189,598553.7561,343281.3648,578727.2094,0.0250780067,0.0306240546,0.0076140194,0.0525982668,0.056164877,0.3259025165,0.1869109658,0.3151072932,"NUC","NUC"
"sp|P08113|ENPL_MOUSE","Endoplasmin",19,19,271870.4297,395225.6332,105721.4408,875671.2949,669847.1566,505567.5693,98851.18046,22212.33559,0.0923169686,0.1342037543,0.0358990234,0.2973450238,0.2274548908,0.1716717241,0.0335661415,0.0075424734,"PLM-ERT-MEL",
"sp|P56480|ATPB_MOUSE","ATP synthase subunit beta, mitochondrial",19,19,68246.93359,89840.43284,20459.53139,418555.8857,1684931.793,1053202.824,167384.572,83.51923554,0.0194840627,0.0256488686,0.0058410653,0.1194950265,0.4810372431,0.3006826656,0.047787224,2.38442072097076E-005,"null",
"sp|Q6PB66|LPPRC_MOUSE","Leucine-rich PPR motif-containing protein, mitochondrial",19,19,8935.592378,11248.36496,4691.219891,35256.66153,133285.8187,87235.57568,22565.75758,13040.75826,0.0282539666,0.035566856,0.0148334396,0.1114800781,0.4214441425,0.2758352144,0.0713519746,0.0412343281,"MIT",
"sp|Q8BTM8|FLNA_MOUSE","Filamin-A (multiple isoforms)",18,18,73992.37913,62544.21972,16802.08629,76760.31943,82894.18351,195765.8293,77094.58491,21902.88024,0.1217467543,0.1029100002,0.0276460832,0.1263011118,0.1363937463,0.322112285,0.1268511108,0.0360389085,"PLM-GOL-NUC-SKE",
"sp|P07901|HS90A_MOUSE","Heat shock protein HSP 90-alpha",17,17,156434.5391,121560.2542,27519.68359,79569.53654,42727.5836,38582.71485,19653.29193,1394308.097,0.0831941207,0.0646474782,0.0146353605,0.0423162152,0.0227231388,0.0205188384,0.0104519012,0.7415129469,"MEL-CYT",
"tr|D4AFX7|D4AFX7_MOUSE","Receptor mediated endocytosis-8",17,17,16036.51501,57598.12266,10419.93756,66598.88262,20974.81643,13533.03706,5664.747565,7351.501077,0.0809199337,0.2906389738,0.0525787963,0.3360566283,0.1058385038,0.0682874341,0.0285842028,0.0370955273,"null",
"sp|Q61543|GSLG1_MOUSE","Golgi apparatus protein 1",16,16,38582.76617,59619.59746,26187.90133,133070.6691,69396.53281,51765.79915,26370.24971,18167.88882,0.0911774225,0.140890915,0.0618863182,0.3144678784,0.1639954213,0.1223310978,0.0623172374,0.0429337095,"PLM-GOL",
"sp|Q9CQN1|TRAP1_MOUSE","Heat shock protein 75 kDa, mitochondrial",16,16,169882.1058,166049.2916,80762.57435,133608.477,174891.8117,108081.0589,55371.88037,1920940.009,0.0604651478,0.0591009566,0.0287453524,0.0475544865,0.0622482232,0.0384686614,0.0197081907,0.6837089815,"CYT","MIT"
"sp|P38647|GRP75_MOUSE","Stress-70 protein, mitochondrial",15,15,37259.32322,46813.07004,13502.46476,202161.652,823090.688,529146.7158,93759.60345,7323.280058,0.0212539167,0.0267036813,0.0077022403,0.1153195106,0.4695174105,0.3018423114,0.0534834944,0.0041774346,"null",
"sp|P43247|MSH2_MOUSE","DNA mismatch repair protein Msh2",15,15,14848.11846,16820.81249,6616.322184,18577.34087,20978.41262,131522.9678,52160.36628,84411.59814,0.042921584,0.0486240676,0.0191258596,0.0537016794,0.0606424782,0.3801945766,0.1507804204,0.2440093343,"null",
"sp|P80318|TCPG_MOUSE","T-complex protein 1 subunit gamma",15,15,133678.3766,128765.8262,23796.05412,120460.5,91725.48483,194059.3181,170309.3868,496795.2818,0.0983225488,0.0947092907,0.0175023721,0.0886005926,0.067465537,0.1427336811,0.125265233,0.3654007446,"COM",
