prot.id,markers
AT1G08190,ER/Vacuole
AT1G30400,ER/Vacuole
AT1G75220,ER/Vacuole
AT2G07680,ER/Vacuole
AT2G34660,ER/Vacuole
AT4G09720,ER/Vacuole
AT5G11150,ER/Vacuole
AT1G07810,ER/Vacuole
AT1G33170,ER/Vacuole
AT1G47290,ER/Vacuole
AT1G54990,ER/Vacuole
AT1G69460,ER/Vacuole
AT1G76400,ER/Vacuole
AT1G76490,ER/Vacuole
AT2G26260,ER/Vacuole
AT2G45750,ER/Vacuole
AT3G01380,ER/Vacuole
AT3G14610,ER/Vacuole
AT3G44330,ER/Vacuole
AT4G01320,ER/Vacuole
AT4G29330,ER/Vacuole
AT4G32130,ER/Vacuole
AT4G36220,ER/Vacuole
AT5G02040,ER/Vacuole
AT5G42020,ER/Vacuole
AT5G61790,ER/Vacuole
AT2G38960,ER/Vacuole
AT2G45510,ER/Vacuole
AT3G12500,ER/Vacuole
AT4G11220,ER/Vacuole
AT5G39040,ER/Vacuole
AT5G49890,ER/Vacuole
AT1G63010,ER/Vacuole
AT4G37640,ER/Vacuole
AT5G58860,ER/Vacuole
AT1G29470,GA/Chloroplast
AT1G31850,GA/Chloroplast
AT2G20370,GA/Chloroplast
AT3G18480,GA/Chloroplast
AT3G56000,GA/Chloroplast
AT4G00740,GA/Chloroplast
AT5G14950,GA/Chloroplast
AT5G22740,GA/Chloroplast
AT1G13280,GA/Chloroplast
AT1G16790,GA/Chloroplast
AT1G77590,GA/Chloroplast
AT3G20320,GA/Chloroplast
AT3G46740,GA/Chloroplast
AT3G55610,GA/Chloroplast
AT4G01150,GA/Chloroplast
AT4G13200,GA/Chloroplast
AT4G39980,GA/Chloroplast
AT5G05000,GA/Chloroplast
AT5G16150,GA/Chloroplast
AT5G19620,GA/Chloroplast
AT5G64290,GA/Chloroplast
AT1G49710,GA/Chloroplast
AT1G80300,GA/Chloroplast
AT1G19580,Mitochondrion
AT1G22840,Mitochondrion
AT2G05710,Mitochondrion
AT2G21870,Mitochondrion
AT2G37410,Mitochondrion
AT2G47380,Mitochondrion
AT3G02090,Mitochondrion
AT3G10370,Mitochondrion
AT3G20000,Mitochondrion
AT3G27080,Mitochondrion
AT4G05020,Mitochondrion
AT4G16450,Mitochondrion
AT4G29480,Mitochondrion
AT5G27540,Mitochondrion
AT5G37510,Mitochondrion
AT5G40930,Mitochondrion
AT5G46800,Mitochondrion
AT5G58270,Mitochondrion
AT5G63510,Mitochondrion
ATMG00070,Mitochondrion
AT1G27390,Mitochondrion
AT1G61570,Mitochondrion
AT2G43350,Mitochondrion
AT3G03100,Mitochondrion
AT3G13160,Mitochondrion
AT3G22370,Mitochondrion
AT3G47930,Mitochondrion
AT5G23300,Mitochondrion
ATMG00510,Mitochondrion
ATMG00640,Mitochondrion
ATMG00160,Mitochondrion
ATMG00270,Mitochondrion
AT1G01620,PM
AT1G03870,PM
AT1G05150,PM
AT1G06400,unknown
AT1G06840,PM
AT1G12110,PM
AT1G13210,PM
AT1G16860,PM
AT1G21880,PM
AT1G32090,PM
AT1G35160,unknown
AT1G43890,PM
AT1G49340,PM
AT1G56140,PM
AT1G59870,PM
AT1G64990,PM
AT1G66150,PM
AT1G74740,PM
AT1G74790,PM
AT1G75270,PM
AT2G04780,PM
AT2G17120,PM
AT2G18730,PM
AT2G18960,PM
AT2G26730,PM
AT2G31390,PM
AT2G36380,PM
AT2G36850,PM
AT2G36910,PM
AT2G37050,PM
AT2G37180,PM
AT2G37280,PM
AT2G44060,unknown
AT2G44790,PM
AT2G45820,PM
AT2G47000,PM
AT3G02880,PM
AT3G05050,PM
AT3G08510,PM
AT3G11820,PM
AT3G19930,PM
AT3G21630,PM
AT3G23750,PM
AT3G24550,PM
AT3G25290,PM
AT3G25610,PM
AT3G25800,PM
AT3G27390,PM
AT3G28860,PM
AT3G46290,PM
AT3G47200,PM
AT3G47210,PM
AT3G51550,PM
AT3G51850,PM
AT3G52400,PM
AT3G60330,PM
AT3G60900,PM
AT3G63080,PM
AT3G63260,PM
AT4G00430,PM
AT4G00710,PM
AT4G02600,PM
AT4G03550,PM
AT4G08620,PM
AT4G08850,PM
AT4G12730,PM
AT4G22120,PM
AT4G23400,PM
AT4G23850,PM
AT4G25240,PM
AT4G26690,PM
AT4G29900,PM
AT4G30190,PM
AT4G30360,PM
AT4G31750,PM
AT4G39400,PM
AT5G01550,PM
AT5G04930,PM
AT5G07910,PM
AT5G08080,PM
AT5G12080,PM
AT5G14880,PM
AT5G20920,unknown
AT5G41260,PM
AT5G50000,PM
AT5G55480,PM
AT5G55730,PM
AT5G57110,PM
AT5G57350,PM
AT5G58300,PM
AT5G59520,PM
AT5G60790,PM
AT5G62630,PM
AT1G01340,PM
AT1G30440,PM
AT1G56145,PM
AT1G79340,PM
AT2G25060,PM
AT2G37710,PM
AT3G06035,PM
AT3G53480,PM
AT3G58760,PM
AT4G04720,PM
AT4G24400,PM
AT5G16590,PM
AT5G22140,PM
AT5G41300,PM
AT5G45480,PM
AT5G48380,PM
AT5G58090,PM
AT5G61900,PM
AT5G62670,PM
AT5G66210,PM
AT1G04690,PM
AT1G30230,PM
AT1G70530,PM
AT1G73080,PM
AT2G32450,PM
AT3G17020,PM
AT3G62150,PM
