,1_114/115,1_114/116,1_114/117,1_115/116,1_115/117,1_116/117,2_114/115,2_114/116,2_114/117,2_115/116,2_115/117,2_116/117,3_114/115,3_114/116,3_114/117,3_115/116,3_115/117,3_116/117,input.markers,pd,pd.curated,
AT1G30400,0.187,0.117,0.153,0.124,0.162,0.258,0.03,0.031,0.163,0.069,0.359,0.347,0.075,0.069,0.185,0.103,0.273,0.295,ER/Vacuole,ER/Vacuole,ER/Vacuole,
AT1G54990,0.195,0.128,0.123,0.163,0.156,0.236,0.043,0.034,0.138,0.078,0.315,0.392,0.05,0.043,0.213,0.059,0.294,0.341,ER/Vacuole,ER/Vacuole,ER/Vacuole,
AT1G69460,0.209,0.116,0.136,0.127,0.148,0.265,0.039,0.034,0.148,0.076,0.329,0.375,0.055,0.043,0.139,0.091,0.294,0.377,ER/Vacuole,ER/Vacuole,ER/Vacuole,
AT1G76400,0.156,0.124,0.152,0.151,0.185,0.233,0.05,0.049,0.198,0.077,0.311,0.316,0.057,0.057,0.201,0.085,0.3,0.301,ER/Vacuole,ER/Vacuole,ER/Vacuole,
AT2G02040,0.152,0.142,0.136,0.191,0.183,0.196,0.052,0.043,0.171,0.074,0.297,0.363,0.111,0.108,0.228,0.106,0.222,0.226,ER/Vacuole,ER/Vacuole,ER/Vacuole,
AT2G34660,0.179,0.116,0.147,0.132,0.167,0.258,0.043,0.036,0.156,0.072,0.313,0.379,0.046,0.041,0.182,0.07,0.311,0.349,ER/Vacuole,ER/Vacuole,ER/Vacuole,
AT3G44330,0.14,0.092,0.122,0.149,0.197,0.3,0.038,0.037,0.166,0.074,0.336,0.349,0.062,0.049,0.226,0.058,0.267,0.337,ER/Vacuole,ER/Vacuole,ER/Vacuole,
AT4G36220,0.183,0.114,0.176,0.105,0.162,0.26,0.046,0.047,0.177,0.086,0.324,0.321,0.066,0.071,0.223,0.091,0.285,0.264,ER/Vacuole,ER/Vacuole,ER/Vacuole,
AT5G02040,0.217,0.132,0.144,0.131,0.142,0.234,0.047,0.04,0.173,0.071,0.309,0.361,0.071,0.058,0.201,0.077,0.267,0.325,ER/Vacuole,ER/Vacuole,ER/Vacuole,
AT5G61790,0.14,0.107,0.128,0.166,0.199,0.26,0.033,0.028,0.168,0.055,0.33,0.387,0.066,0.051,0.181,0.078,0.273,0.35,ER/Vacuole,ER/Vacuole,ER/Vacuole,
AT1G08820,0.168,0.126,0.154,0.144,0.175,0.233,0.043,0.046,0.169,0.092,0.336,0.314,0.038,0.032,0.114,0.091,0.327,0.397,unknown,ER/Vacuole,unknown,
AT1G09740,0.186,0.126,0.19,0.105,0.159,0.235,0.044,0.048,0.2,0.079,0.327,0.302,0.06,0.05,0.235,0.057,0.271,0.328,unknown,ER/Vacuole,unknown,
AT1G12640,0.183,0.113,0.148,0.126,0.165,0.266,0.047,0.048,0.202,0.075,0.316,0.312,0.059,0.052,0.164,0.093,0.295,0.336,unknown,ER/Vacuole,unknown,
AT1G17340,0.157,0.134,0.156,0.156,0.182,0.214,0.026,0.034,0.204,0.062,0.38,0.293,0.072,0.067,0.22,0.082,0.27,0.288,unknown,ER/Vacuole,unknown,
AT1G19450,0.164,0.113,0.147,0.137,0.179,0.259,0.037,0.038,0.171,0.075,0.343,0.336,0.047,0.039,0.146,0.084,0.311,0.373,unknown,ER/Vacuole,unknown,
AT1G20575,0.177,0.141,0.14,0.167,0.166,0.209,0.051,0.052,0.19,0.087,0.316,0.304,0.055,0.043,0.207,0.057,0.278,0.36,unknown,ER/Vacuole,unknown,
AT1G32050,0.182,0.151,0.174,0.139,0.16,0.193,0.045,0.046,0.22,0.066,0.314,0.309,0.044,0.045,0.2,0.072,0.322,0.316,unknown,ER/Vacuole,unknown,
AT1G34130,0.158,0.099,0.124,0.145,0.182,0.291,0.038,0.033,0.164,0.064,0.322,0.379,0.076,0.064,0.189,0.091,0.267,0.314,unknown,ER/Vacuole,unknown,
AT1G35720,0.18,0.126,0.147,0.142,0.166,0.239,0.068,0.075,0.189,0.115,0.29,0.264,0.052,0.041,0.161,0.074,0.294,0.378,unknown,ER/Vacuole,unknown,
AT1G48830,0.153,0.094,0.125,0.14,0.186,0.301,0.039,0.032,0.161,0.064,0.319,0.385,0.081,0.077,0.226,0.088,0.258,0.269,unknown,ER/Vacuole,unknown,
AT1G65270,0.16,0.114,0.134,0.155,0.182,0.255,0.059,0.052,0.176,0.087,0.294,0.333,0.07,0.055,0.188,0.079,0.267,0.34,unknown,ER/Vacuole,unknown,
AT1G75680,0.164,0.109,0.123,0.158,0.178,0.269,0.035,0.028,0.153,0.06,0.323,0.4,0.046,0.061,0.207,0.099,0.336,0.251,unknown,ER/Vacuole,unknown,
AT1G79550,0.176,0.128,0.162,0.134,0.169,0.231,0.057,0.055,0.225,0.072,0.292,0.299,0.07,0.056,0.232,0.062,0.258,0.322,unknown,ER/Vacuole,unknown,
AT2G01720,0.157,0.113,0.136,0.154,0.185,0.255,0.046,0.041,0.167,0.077,0.316,0.354,0.056,0.043,0.168,0.072,0.285,0.376,unknown,ER/Vacuole,unknown,
AT2G03510,0.173,0.116,0.139,0.144,0.172,0.257,0.036,0.031,0.15,0.069,0.33,0.383,0.063,0.055,0.228,0.067,0.274,0.313,unknown,ER/Vacuole,unknown,
AT2G04350,0.171,0.107,0.144,0.129,0.173,0.276,0.039,0.036,0.151,0.079,0.333,0.363,0.063,0.049,0.162,0.085,0.28,0.36,unknown,ER/Vacuole,unknown,
AT2G21880,0.216,0.115,0.137,0.119,0.143,0.269,0.037,0.038,0.148,0.089,0.347,0.341,0.07,0.054,0.15,0.098,0.274,0.355,unknown,ER/Vacuole,unknown,
AT2G24180,0.179,0.118,0.159,0.124,0.167,0.254,0.036,0.039,0.224,0.058,0.334,0.309,0.084,0.078,0.226,0.087,0.254,0.272,unknown,ER/Vacuole,unknown,
AT2G25160,0.173,0.119,0.149,0.137,0.172,0.25,0.043,0.038,0.163,0.075,0.321,0.36,0.079,0.069,0.202,0.089,0.262,0.299,unknown,ER/Vacuole,unknown,
AT2G38000,0.168,0.119,0.146,0.144,0.175,0.248,0.048,0.046,0.191,0.075,0.313,0.327,0.071,0.068,0.25,0.072,0.263,0.276,unknown,ER/Vacuole,unknown,
AT2G39960,0.187,0.113,0.146,0.125,0.162,0.267,0.033,0.028,0.161,0.057,0.328,0.393,0.069,0.048,0.2,0.061,0.254,0.368,unknown,ER/Vacuole,unknown,
AT2G41300,0.144,0.11,0.132,0.163,0.195,0.256,0.035,0.039,0.187,0.074,0.352,0.313,0.07,0.06,0.217,0.073,0.267,0.313,unknown,ER/Vacuole,unknown,
AT2G45140,0.196,0.148,0.145,0.155,0.153,0.203,0.049,0.045,0.153,0.093,0.317,0.342,0.051,0.052,0.213,0.074,0.307,0.303,unknown,ER/Vacuole,unknown,
