Protein,FS1 A H322,FS1 B H322,FS2 A H322,FS2 B H322,FP1 A H322,FP1 B H322,FP2 A H322,FP2 B H322,FP3 A H322,FP3 B H322,MIN PSMs for quant
A1BG,1.5535,0.9652,0.7823,0.6861,0.7207,1.0976,1.3232,1.0426,1.7461,1.0041,7
A2M,2.0566,2.1506,0.6324,1.1238,0.588,1.9973,0.9692,0.742,1.4978,0.9009,110
A2ML1,0.4259,0.3583,1.5006,1.5412,1.0538,0.9327,1.6794,1.3304,0.878,0.9228,31
A4GALT,0.3546,0.4081,0.35,0.3738,0.9725,0.8807,2.0189,1.7656,1.9753,1.7104,2
AAAS,0.5855,0.6608,0.4298,0.3964,1.9225,1.8891,1.3476,1.346,0.9596,1.0389,38
AACS,5.568,5.7049,1.1448,1.1838,0.4036,0.4287,0.3745,0.3971,0.3666,0.33,15
AADAT,0.5441,0.4679,0.8577,0.872,1.1875,1.1902,1.9454,1.794,0.8308,0.6854,6
AAED1,1.5016,1.1741,0.7849,0.7589,0.9368,1.0426,1.2519,1.1529,1.1033,1.0408,6
AAGAB,4.3308,4.4389,0.9339,0.9294,0.581,0.6314,0.669,0.6455,0.6005,0.6848,21
AAK1,3.9285,3.7676,1.0259,1.2038,0.5353,0.6501,0.7214,0.8663,0.6727,0.7494,41
AAMDC,3.9674,4.405,1.3656,1.1285,0.7466,0.7108,0.5558,0.5696,0.5465,0.6752,15
AAMP,4.1502,4.3683,1.4494,1.4429,0.487,0.5069,0.5476,0.5167,0.5514,0.565,37
AAR2,2.9611,3.0165,1.2047,1.1591,0.6623,0.6397,0.7117,0.7623,1.1068,1.1043,28
AARS,4.8404,5.0037,1.1251,1.2512,0.4658,0.505,0.4796,0.4637,0.4508,0.4567,855
AARS2,0.5013,0.5111,0.7683,0.7842,1.1307,1.1065,2.1487,1.8708,0.7159,0.7167,126
AARSD1,5.356,6.1158,1.5287,1.4287,0.2662,0.3086,0.2422,0.2687,0.2553,0.2062,11
AASDH,1.9215,2.314,1.5717,1.3264,0.8042,0.9681,0.9051,0.9647,0.8255,0.7971,7
AASDHPPT,4.3754,5.0571,1.1756,1.2196,0.4739,0.4841,0.5904,0.6087,0.4645,0.4735,50
AASS,0.7871,0.8181,1.0144,0.9815,1.0462,1.0503,2.0306,1.7593,0.6529,0.682,18
AATF,0.5665,0.5247,0.4629,0.4441,2.3155,2.4187,0.7913,0.798,1.154,1.1275,102
ABCA1,0.5497,0.5704,0.4382,0.434,1.2312,1.2114,1.7183,1.6147,1.4045,1.3817,43
ABCA12,0.3936,0.4265,0.4505,0.3561,1.1882,1.1793,1.6154,1.5366,1.6302,1.4762,15
ABCA2,0.7247,0.6182,0.4596,0.4947,0.9808,0.9501,1.5732,1.5127,1.7487,1.4877,35
ABCA7,0.5648,0.4527,0.4381,0.3883,1.2742,1.2928,1.7955,1.6743,1.1798,1.2588,15
ABCB10,0.5893,0.5843,0.4084,0.4016,1.0692,1.0329,2.2102,2.0654,0.8862,0.8833,60
ABCB7,0.4851,0.471,0.3573,0.3268,1.0242,1.0016,2.4667,2.201,0.8385,0.9276,47
ABCB8,0.6791,0.5008,0.4308,0.3632,1.1769,1.1294,2.1864,1.9631,0.8065,0.833,15
ABCB9,1.8484,2.7688,0.5319,0.5397,0.5474,0.5425,0.8515,1.3115,2.7976,0.8231,5
ABCC1,0.4742,0.4434,0.3118,0.3155,1.7686,1.7975,1.7096,1.7405,0.7475,0.7757,240
ABCC10,0.4158,0.3059,0.3366,0.3346,0.7647,0.7198,1.945,1.7766,2.0107,1.8196,20
ABCC2,0.3748,0.3458,0.3392,0.3227,1.3255,1.313,1.449,1.4331,2.0458,1.8478,83
ABCC3,0.5408,0.644,0.4653,0.4517,1.583,1.568,1.6179,1.6269,0.9979,0.9687,82
ABCC4,0.5213,0.4945,0.4441,0.3607,1.7098,1.7214,1.6421,1.6154,0.7888,0.8095,85
ABCC5,0.6045,0.5201,0.415,0.4021,1.4977,1.518,1.6342,1.6198,1.2296,1.1156,34
ABCD1,0.8737,0.8554,0.7114,0.5773,0.8794,0.8773,1.7085,1.649,1.2422,1.218,19
ABCD3,0.4791,0.4615,0.4311,0.4124,0.9657,0.9142,2.0435,1.8373,1.2959,1.3006,286
ABCD4,0.5316,0.5611,0.4018,0.3285,1.0393,0.9553,1.7288,1.5776,1.5135,1.5246,17
ABCE1,3.325,3.3492,1.472,1.6061,0.5629,0.6337,0.6505,0.6906,0.66,0.7055,218
ABCF1,1.6522,1.576,1.7567,1.794,0.6822,0.7558,0.7393,0.7071,1.4455,1.2616,208
ABCF2,1.0967,1.0282,2.0568,2.0371,0.7799,0.8113,0.7989,0.7948,1.2189,1.0728,118
ABCF3,4.3713,4.486,0.9738,1.2099,0.5279,0.5806,0.5851,0.6431,0.5213,0.5511,76
ABCG2,0.6032,0.564,0.4638,0.5118,1.2414,1.2063,1.3332,1.1072,2.4602,1.8738,2
ABHD10,0.3484,0.3856,0.7725,0.8691,1.156,1.1123,2.1758,1.8978,0.6707,0.6748,83
ABHD11,0.7359,0.7586,0.7159,0.7666,1.1293,1.0992,2.0861,1.8376,0.6777,0.7029,31
ABHD12,0.5083,0.5109,0.382,0.3767,1.2471,1.1974,1.8475,1.658,1.2625,1.3592,141
ABHD13,0.4575,0.6116,0.4195,0.5736,0.809,0.8717,2.3003,1.589,1.7934,1.4904,2
ABHD14B,3.8022,4.5819,1.0151,1.1302,0.6117,0.6519,0.6784,0.6391,0.5871,0.608,24
ABHD15,0.6236,0.5583,0.3621,0.3092,1.2202,1.1281,1.9337,1.7045,1.4179,1.502,16
ABHD16A,0.5455,0.5064,0.4796,0.5223,1.1502,1.0806,1.8516,1.6646,1.2192,1.2316,33
ABHD17A,0.408,0.4476,0.3591,0.3099,1.4341,1.2978,1.3137,1.3906,2.0855,1.7938,5
ABHD17B,1.0289,1.0682,0.5594,0.5747,1.0962,1.1064,1.3698,1.3753,1.6139,1.3398,13
ABHD17C,0.5761,0.7015,0.4686,0.5288,1.1454,1.0807,1.3801,1.3288,1.9069,1.688,19
ABHD2,0.6005,0.5794,0.3851,0.3516,1.1612,1.1546,2.0841,1.8558,1.1118,1.2125,2
ABHD3,0.8395,0.8376,0.6721,0.5423,1.0978,1.1607,1.5363,1.5665,1.1743,1.2464,10
ABHD4,1.6561,1.7279,0.9775,0.9585,0.9487,0.9537,1.3313,1.1687,0.8943,1.0023,6
ABHD5,0.9002,0.85,0.7084,0.7968,0.7349,0.7047,1.7586,1.5756,1.6469,1.4655,6
ABHD6,0.35,0.3218,0.2609,0.2211,1.3181,1.2165,1.9375,1.7995,1.2684,1.3915,19
ABI1,1.5636,1.4729,0.8713,0.9058,0.9287,0.9847,1.1921,1.3354,1.1697,1.2015,69
ABI2,1.884,1.7107,1.0246,1.0621,0.9097,0.9522,1.2499,1.2705,1.0409,1.1121,11
ABI3BP,1.7646,1.7026,1.545,1.3163,1.3228,1.2074,0.7576,0.8541,0.714,1.0784,2
ABL1,2.6344,2.6511,1.3611,1.2789,0.7974,0.8352,0.899,0.9462,0.7543,0.8281,15
ABL2,3.5267,3.6652,1.1851,1.2775,0.576,0.7545,0.8097,0.8948,0.6067,0.6932,28
ABLIM1,1.1266,1.1557,0.9697,0.9609,1.5054,1.592,1.2281,1.2858,0.6306,0.6201,157
ABLIM2,1.087,1.0137,1.5747,1.3877,1.2304,1.3123,1.1088,1.1733,0.8367,0.778,12
ABLIM3,0.9823,0.9423,0.6669,0.7359,1.4463,1.4769,1.384,1.4129,1.1726,1.0685,2
ABR,3.677,3.9048,1.0433,1.0773,0.5743,0.6276,0.8211,0.8766,0.6451,0.7533,67
ABRACL,4.8689,4.4964,1.0617,0.8832,0.5012,0.545,0.4856,0.473,0.3927,0.3873,4
ABT1,0.451,0.4385,0.4779,0.4027,2.3793,2.4376,0.7751,0.7854,1.2214,1.0789,29
ABTB1,2.0818,2.236,1.0415,1.3155,0.9708,0.8866,1.1154,1.0624,1.0481,0.8356,1
ABTB2,1.4014,1.6477,1.0675,1.0576,0.9415,1.0997,1.5244,1.4181,1.047,0.9742,3
ACAA1,0.6341,0.5828,0.899,0.9631,0.91,0.81,1.8849,1.6635,1.1426,1.046,175
ACAA2,0.2774,0.2861,0.9816,1.0012,1.1157,1.1217,2.2573,1.9253,0.5633,0.5062,65
ACACA,3.159,3.1017,1.1562,1.2118,0.5966,0.6684,0.833,0.8893,0.862,0.9522,136
ACAD10,0.6102,0.5742,0.7469,0.7522,1.1187,1.0907,2.0959,1.9532,0.7698,0.7556,91
ACAD11,0.5441,0.5018,0.6586,0.6919,0.9617,0.8729,1.7798,1.5984,1.3855,1.4306,30
ACAD8,0.6477,0.593,0.8729,1.0035,1.0525,1.0178,2.0935,1.8316,0.6144,0.5941,67
ACAD9,0.4787,0.4666,0.577,0.5739,1.1164,1.0901,2.2312,2.017,0.7709,0.7796,325
ACADL,2.0361,1.7158,1.1745,1.0913,0.8356,0.8977,1.4609,1.4074,0.8429,0.7024,1
ACADM,0.5733,0.5815,0.973,1.0046,1.0553,1.0383,2.0222,1.8345,0.6226,0.6075,100
ACADSB,0.3599,0.3467,0.9232,0.9673,1.0961,1.062,2.2061,1.9715,0.594,0.5761,133
ACADVL,0.5134,0.5208,0.8095,0.8498,1.142,1.1183,2.0227,1.8893,0.6946,0.6824,371
ACAN,1.1083,0.8696,2.5309,0.8957,1.1262,0.8155,0.8135,1.2208,0.6076,1.5343,8
ACAP2,4.2479,4.3902,1.048,1.0647,0.5209,0.5585,0.6372,0.7274,0.6174,0.6919,103
ACAP3,2.7365,3.0409,0.6185,0.6961,0.8119,0.8064,1.2082,1.1691,0.7727,1.0067,3
ACAT1,0.3977,0.4071,0.9127,0.9659,1.0919,1.0837,2.1979,1.921,0.5673,0.5251,386
ACAT2,4.2547,4.7039,1.467,1.447,0.4902,0.5264,0.4662,0.4975,0.4826,0.4724,100
ACBD3,0.9682,0.9824,1.5175,1.4624,0.8195,0.8423,1.2607,1.2137,1.1681,1.1744,134
ACBD4,0.1863,0.241,0.329,0.3501,0.9438,0.8598,2.2515,2.0469,1.3579,1.2987,8
ACBD5,0.4369,0.4389,0.3994,0.3755,1.0202,0.9886,2.1588,2.0402,1.1813,1.2045,127
ACBD6,4.7996,4.8815,1.171,1.2594,0.4948,0.4817,0.5029,0.4243,0.4618,0.4677,19
ACCS,3.842,4.3474,1.6212,1.679,0.4136,0.532,0.3797,0.3739,0.8154,0.6953,1
ACD,1.7185,1.7768,1.3633,1.4335,1.3626,1.4275,0.7628,0.8346,0.6456,0.64,6
ACE2,0.5425,0.5006,0.4373,0.4017,1.3523,1.3055,1.3519,1.3176,2.1435,1.8149,17
ACIN1,0.527,0.4987,0.6707,0.6978,2.5408,2.6826,0.7214,0.7482,0.6653,0.7269,380
ACLY,2.8825,3.0332,1.8454,1.7664,0.5653,0.5989,0.561,0.5727,0.7341,0.7193,256
ACN9,0.7081,0.705,0.9999,1.0068,1.1411,1.0506,2.1585,1.9136,0.5077,0.4751,6
ACO1,4.0292,4.2099,1.3675,1.3504,0.5557,0.5858,0.5854,0.5661,0.553,0.5715,91
ACO2,0.4995,0.4986,0.958,0.9924,1.0924,1.0737,2.1118,1.8568,0.6092,0.576,799
ACOT1,0.6101,0.5747,0.8899,0.8811,1.1142,1.0419,2.1177,1.938,0.6801,0.7264,8
ACOT11,4.332,4.4663,1.3344,1.3983,0.5147,0.4938,0.6112,0.583,0.5113,0.531,20
ACOT13,0.5616,0.5734,0.8934,0.9297,1.0936,1.0081,2.2261,1.9489,0.5405,0.5171,97
ACOT2,0.3425,0.3402,0.6029,0.5265,1.1868,1.1601,2.2893,1.7803,0.7035,0.5147,6
ACOT4,0.732,0.5764,0.9235,0.9629,0.9605,0.9298,1.6907,1.4666,1.1453,1.0616,28
ACOT7,1.8624,2.0557,1.1453,1.1583,0.8502,0.8321,1.5486,1.3786,0.5856,0.5788,128
ACOT8,0.4944,0.5167,0.8182,0.9327,0.9919,0.8885,1.9127,1.6185,1.126,1.0871,57
ACOT9,0.7285,0.7382,0.835,0.8497,1.0944,1.0776,1.9664,1.7582,0.7776,0.7231,145
ACOX1,0.4587,0.5276,0.9127,1.0025,0.9131,0.7914,2.0031,1.8027,1.1264,1.0495,115
ACOX3,0.4275,0.4095,0.8581,0.9179,0.9038,0.7783,2.0482,1.7182,1.2334,1.1838,215
ACP1,4.1896,4.4207,1.0376,1.1416,0.4974,0.5502,0.6305,0.5924,0.5108,0.5107,74
ACP2,0.5833,0.6547,0.9139,0.7901,0.6867,0.6996,1.5986,1.3902,1.7764,1.4782,37
ACPL2,0.7555,0.7371,0.4323,0.3944,0.908,0.9814,1.6104,1.5813,2.0976,1.8034,2
ACPP,0.2761,0.2971,0.6745,0.6157,0.8774,0.8481,1.8678,1.5718,2.0767,1.7401,16
ACSF2,0.5448,0.4394,0.9323,1.0101,1.0962,1.1041,2.0715,1.8468,0.6386,0.5681,118
ACSF3,0.5721,0.5931,0.8643,0.8831,1.0855,1.0664,1.901,1.7335,0.8062,0.8097,120
ACSL1,0.6637,0.6963,0.5835,0.5668,1.0009,0.9402,1.9534,1.7435,1.3596,1.319,150
ACSL3,0.3764,0.3907,0.3364,0.3193,1.1912,1.109,1.9453,1.7535,1.3845,1.4448,419
ACSL4,0.4606,0.4508,0.6106,0.5399,1.0097,0.956,1.9597,1.7708,1.4758,1.3414,82
ACSS2,4.4019,5.0102,1.7693,1.4836,0.4493,0.4244,0.4266,0.3923,0.3536,0.367,43
ACTA1,0.5358,0.6835,0.9421,1.0033,1.0459,1.0293,1.5687,1.236,1.6948,1.4839,2
ACTBL2,1.5496,1.6557,1.1188,0.9541,1.1025,1.2009,1.1931,1.0908,0.9302,0.9275,19
ACTG1,1.8172,1.8427,1.4836,1.2132,1.0848,1.0137,1.1923,1.0491,0.8515,0.7005,2
ACTG2,1.7915,2.1725,1.0081,0.88,1.415,1.2473,1.2685,1.2487,0.6849,0.5613,3
ACTL6A,2.5671,2.749,1.1529,1.1444,1.3292,1.3413,0.6473,0.637,0.7136,0.7042,82
ACTN1,1.5002,1.3332,1.718,1.6614,1.0221,1.0232,1.0342,1.1028,0.6134,0.6645,726
ACTN2,1.6981,1.4149,1.4028,1.6585,1.0699,0.9669,1.2161,1.0577,0.6342,0.8138,3
