Protein,FS1 A HCC827-rep2,FS1 B HCC827-rep2,FS2 A HCC827-rep2,FS2 B HCC827-rep2,FP1 A HCC827-rep2,FP1 B HCC827-rep2,FP2 A HCC827-rep2,FP2 B HCC827-rep2,FP3 A HCC827-rep2,FP3 B HCC827-rep2,MIN PSMs for quant
A1BG,1.4867,1.7139,0.7124,1.0180,1.2441,1.1456,0.8730,1.1784,1.0939,0.9814,71
A2M,2.2254,1.0182,0.9053,0.7995,0.8764,0.9373,0.9079,0.8902,0.7485,0.8682,15
AAAS,0.5386,0.5572,0.4795,0.4656,1.6509,1.6357,1.8105,1.6897,1.4889,1.6565,24
AACS,3.1544,3.0596,1.0260,1.0138,0.5370,0.4918,0.4566,0.4723,0.3663,0.3809,38
AADAT,1.0025,1.1198,1.2388,1.3516,1.1279,1.0848,1.3209,1.0604,0.5876,0.5776,1
AAED1,0.8486,0.7688,0.7990,0.7248,1.2694,1.3056,1.5422,1.5910,1.0361,1.1932,9
AAGAB,2.5854,2.2342,1.0245,0.8304,0.9215,0.8515,0.8887,0.8576,0.8041,0.7745,8
AAK1,2.3463,2.1531,0.9787,0.9350,0.8363,0.7817,0.8482,0.8460,0.6306,0.6602,33
AAMDC,2.8822,2.7234,1.1331,1.0456,0.5637,0.5751,0.4264,0.5932,0.4070,0.4087,10
AAMP,2.7094,2.7381,1.1805,1.1554,0.5026,0.4937,0.5793,0.5589,0.4818,0.5065,19
AAR2,1.4588,1.4237,1.1763,1.1952,0.8208,0.7690,0.7270,0.7115,1.0881,1.1434,21
AARS,2.8526,2.7336,1.1249,1.0859,0.5697,0.5378,0.4911,0.5097,0.4535,0.4442,510
AARS2,0.5162,0.5321,1.0972,1.0316,1.3950,1.4575,1.7355,1.5323,0.7429,0.7930,67
AARSD1,4.4793,3.5753,1.0720,0.9800,0.5155,0.2639,0.2188,0.1212,0.1186,0.1790,1
AASDH,2.0541,1.5852,1.2861,1.2113,0.8705,0.8850,0.7438,0.7885,0.4199,0.5042,9
AASDHPPT,2.7006,2.3837,1.1473,1.0513,0.6448,0.6092,0.5433,0.6070,0.4575,0.4850,42
AASS,0.4193,0.5087,1.4096,1.2796,1.2364,1.2317,1.5671,1.3530,0.6230,0.5242,8
AATF,0.4861,0.4748,0.5206,0.4663,1.7633,2.1652,1.1942,1.1673,1.8358,1.7329,58
ABAT,0.7850,0.6578,1.3690,1.2531,1.2911,1.2528,1.2650,1.1772,0.7049,0.6223,14
ABCA1,0.3825,0.4675,0.4980,0.5234,1.3407,1.3105,2.0745,1.8242,1.8479,1.7559,21
ABCA12,0.4584,0.4551,0.3765,0.3905,1.1021,1.1265,1.8554,1.5894,2.3602,2.3735,43
ABCA2,0.7586,0.7256,0.7851,0.7144,0.9740,0.9912,1.3913,1.2483,1.6623,1.6912,14
ABCA3,0.3657,0.6033,0.4811,0.4510,1.0210,1.0876,1.8695,1.6797,1.8812,2.2257,18
ABCA7,0.6202,0.9214,0.5943,0.6326,1.1840,1.2888,1.7808,1.6509,1.6167,1.4825,6
ABCB1,0.5061,0.3757,0.4900,0.5778,1.2514,1.2372,1.5525,1.3716,2.3838,2.4187,3
ABCB10,0.4161,0.4669,0.3644,0.3605,1.7138,1.5817,2.7796,2.6099,0.8461,0.9523,19
ABCB6,0.5141,0.3769,0.3583,0.5552,1.0551,1.0276,2.0075,1.6947,1.9805,2.1198,18
ABCB7,0.4237,0.4322,0.3514,0.4084,1.6296,1.6312,2.6798,2.2849,1.0549,1.1522,48
ABCB8,0.7682,0.7577,0.7269,0.6505,1.4879,1.6145,2.0439,1.8471,0.8175,1.0405,26
ABCB9,0.3028,0.2552,0.2568,0.2116,1.1499,0.9472,2.3160,2.0440,2.3674,2.6454,2
ABCC1,0.4358,0.4645,0.3548,0.3737,1.8441,1.9887,2.4172,2.1131,1.2633,1.3007,68
ABCC10,0.4138,0.3218,0.3344,0.4266,1.2553,1.1902,2.1359,2.0803,2.0739,2.0370,4
ABCC2,0.3346,0.3675,0.2997,0.3261,1.1163,1.1830,1.7448,1.6976,2.5576,2.7173,27
ABCC3,0.4950,0.5185,0.4438,0.4708,1.5743,1.6695,2.2991,1.8180,1.2965,1.3500,36
ABCC4,0.4936,0.5333,0.4726,0.4943,1.5570,1.7268,2.1300,2.0418,1.3302,1.3449,35
