Protein,FS1 A MCF7,FS1 B MCF7,FS2 A MCF7,FS2 B MCF7,FP1 A MCF7,FP1 B MCF7,FP2 A MCF7,FP2 B MCF7,FP3 A MCF7,FP3 B MCF7,MIN PSMs for quant
A1BG,1.5673,1.4675,1.1662,1.3625,1.1950,1.1298,1.1830,0.8987,1.1828,0.9034,11
A2M,1.2129,2.1774,1.9884,0.8010,0.7056,0.5582,0.6468,1.2033,0.8630,0.6199,50
A2ML1,0.8568,0.5900,0.9613,0.8307,1.0399,1.2788,2.0958,1.8879,1.1331,1.2085,6
A4GALT,0.3286,0.3847,0.6755,0.8419,1.0066,1.0613,1.5743,1.6250,2.3989,2.1451,2
AAAS,0.5275,0.5615,0.4560,0.5379,1.7685,1.7369,1.6711,1.8526,1.2863,1.3063,35
AACS,5.4886,5.0675,0.9432,1.0269,0.4753,0.4980,0.4937,0.4288,0.3693,0.3888,61
AADAT,0.6154,0.5594,1.0954,0.9665,1.3283,1.4599,1.9840,1.7207,0.7011,0.6782,6
AAED1,0.6868,0.5777,0.5494,0.7855,1.1939,1.2610,1.6441,1.8310,1.4343,1.7307,5
AAGAB,4.6144,4.7095,0.6736,0.6630,0.7291,0.6805,0.5455,0.6297,0.4942,0.6233,17
AAK1,4.1800,3.7628,0.8983,1.1458,0.5811,0.6888,0.7167,0.7772,0.5873,0.6687,27
AAMDC,5.0754,4.8476,0.8176,0.9807,0.4932,0.4729,0.4891,0.3875,0.4770,0.4076,14
AAMP,4.5063,4.3067,1.1981,1.2283,0.5638,0.5332,0.4767,0.4474,0.4303,0.4425,32
AAR2,1.8734,1.6892,1.2203,1.0012,0.8434,0.7808,0.8573,0.7943,1.6910,1.6516,33
AARS,6.1530,5.7048,0.6713,0.7597,0.3960,0.4156,0.3911,0.3771,0.3520,0.3516,380
AARS2,0.5051,0.6019,0.8224,0.6732,1.5206,1.6095,2.2544,1.9761,0.7125,0.7633,90
AARSD1,1.3072,1.2911,2.1752,2.8615,0.4289,0.4492,0.2681,0.0997,0.2746,0.1227,1
AASDHPPT,3.3931,3.1396,1.6478,1.2394,0.6928,0.5709,0.7471,0.7244,0.4901,0.5377,19
AASS,0.7037,0.7275,0.9720,1.2889,1.3193,1.4697,1.9089,1.7532,0.8394,0.7934,2
AATF,0.5532,0.5219,0.4330,0.4695,2.2904,2.3217,1.0905,1.1273,1.4130,1.3051,74
ABAT,0.6925,0.6386,1.1608,0.7970,1.4305,1.6193,1.8778,1.8864,0.5966,0.5605,130
ABCA1,1.2491,1.1018,0.8045,0.6173,1.3573,1.4746,1.7148,1.6501,1.4427,1.5361,3
ABCA12,0.6895,0.6390,0.6472,0.5425,1.0819,1.1917,1.7501,1.5981,2.0143,1.9782,16
ABCA2,0.5211,0.6081,0.4734,0.5386,1.0266,1.0699,1.7689,1.6648,2.1511,1.9407,88
ABCA3,0.6000,0.6396,0.5651,0.6085,0.9780,0.9967,1.5910,1.6408,2.0701,1.8780,60
ABCA5,0.9506,1.0840,0.4903,0.5978,1.1677,1.1825,1.5570,1.4579,2.1641,2.1355,7
ABCA7,1.4052,1.2939,0.9684,1.7244,1.0330,1.1532,1.1971,1.0687,1.2060,1.1235,2
ABCB10,0.4823,0.4117,0.4076,0.4884,1.5957,1.6843,2.3972,2.2976,0.9426,0.9283,29
ABCB4,3.5123,3.0635,1.2197,1.5300,0.6743,0.7566,0.6990,0.6849,0.8967,0.6081,1
ABCB6,0.6052,0.6115,0.3439,0.4702,0.8517,0.9063,1.6991,1.6960,2.3900,2.0804,55
ABCB7,0.5060,0.5680,0.3965,0.5038,1.5266,1.5842,2.3596,1.9711,0.9583,0.8761,29
ABCB8,0.5350,0.5164,0.3862,0.4298,1.6706,1.7152,2.2640,2.2347,0.8941,0.9377,30
ABCB9,0.4031,0.5505,0.2788,0.3689,0.9755,1.0853,1.6323,1.7981,2.4138,2.1029,13
ABCC1,0.4273,0.4364,0.2848,0.3481,1.4967,1.4402,2.3631,2.2031,1.2041,1.2831,136
ABCC10,0.4744,0.4294,0.4209,0.4516,0.9301,1.0186,1.8147,1.7594,2.3899,2.1331,28
ABCC3,0.6038,0.6528,0.5189,0.5451,1.4730,1.3607,2.1610,2.0418,1.2919,1.2194,48
ABCC4,0.5026,0.6505,0.4367,0.4788,1.3747,1.3492,2.2070,2.0649,1.3232,1.4551,40
ABCC5,0.5910,0.6223,0.4371,0.5241,1.3256,1.3555,2.0896,1.8977,1.4543,1.5203,66
ABCD1,0.5737,0.5726,0.6093,0.5845,1.2795,1.3215,2.0055,1.9253,1.2083,1.2494,27
ABCD3,0.5212,0.4696,0.3766,0.3993,1.4144,1.4635,2.1302,2.0690,1.3200,1.4294,99
ABCD4,0.7637,0.7737,0.4859,0.4134,1.2260,1.1340,1.8311,1.7294,1.9889,1.7148,11
ABCE1,4.9389,4.5751,1.0111,1.0011,0.5449,0.5431,0.5162,0.5160,0.4178,0.4232,151
ABCF1,2.3040,2.2006,1.4702,1.6061,0.7461,0.7268,0.6170,0.6444,0.8626,0.9704,262
ABCF2,1.4375,1.5352,1.7241,1.7412,0.8364,0.7732,0.7857,0.7868,0.8147,0.8456,207
ABCF3,5.4031,5.3296,0.6710,0.7209,0.5516,0.5994,0.5685,0.6496,0.4048,0.4816,62
ABCG1,0.8628,0.7996,0.7569,0.7519,1.2343,1.0925,1.7981,1.7407,1.8238,1.3345,4
ABCG2,0.4189,0.3354,0.1632,0.3356,1.1052,1.1793,1.9135,1.8124,2.3660,2.7133,10
ABHD10,0.4792,0.5478,0.9889,0.6615,1.4003,1.5741,2.0653,2.0819,0.7359,0.6947,40
ABHD11,0.7728,0.7745,0.9819,0.8478,1.4534,1.5372,1.9651,1.8377,0.7100,0.6958,41
ABHD12,0.6432,0.5923,0.4647,0.4939,1.3359,1.2880,1.7137,1.9206,1.4552,1.5646,59
ABHD13,0.3456,0.4443,0.3379,0.1982,0.9230,1.0336,2.0495,2.0749,2.0744,2.6886,7
ABHD14B,3.3874,2.8561,1.2756,1.3511,0.8264,0.7344,0.7542,0.6668,0.7498,0.6768,12
ABHD15,0.5632,0.6250,0.5738,0.6318,1.2098,1.2152,1.9022,1.9074,1.4932,1.3001,15
ABHD16A,0.7437,0.6497,0.5258,0.5674,1.2358,1.3351,1.7383,1.8689,1.4231,1.4920,58
ABHD17A,0.6218,0.6954,0.7065,0.8643,1.0480,1.0676,1.3587,1.4527,2.6236,2.0616,5
ABHD17B,0.8275,1.0460,0.5460,0.5885,1.0092,1.0104,1.3991,1.3316,2.0908,2.1257,16
ABHD17C,0.8234,0.7880,0.4583,0.3985,0.9996,1.0174,1.4034,1.4223,2.2396,2.2939,18
