Protein,Cluster
ABCA2,mclust1
ABCC10,mclust1
ABCD4,mclust1
ABHD13,mclust1
ABHD17C,mclust1
ACPL2,mclust1
ANGEL1,mclust1
AP1AR,mclust1
ARFRP1,mclust1
ARL8A,mclust1
ARL8B,mclust1
ATG9A,mclust1
ATL2,mclust1
ATL3,mclust1
ATP11B,mclust1
ATP13A2,mclust1
ATP2C1,mclust1
ATP6V0A1,mclust1
ATP6V0A2,mclust1
ATP6V0D1,mclust1
ATP7B,mclust1
ATP9A,mclust1
ATP9B,mclust1
B3GALT6,mclust1
B3GAT3,mclust1
B3GNT1,mclust1
B3GNT2,mclust1
B4GALT1,mclust1
B4GALT3,mclust1
B4GALT4,mclust1
B4GALT5,mclust1
BACE2,mclust1
BET1,mclust1
BET1L,mclust1
C17orf59,mclust1
C1GALT1,mclust1
C1GALT1C1,mclust1
C3orf58,mclust1
C5orf15,mclust1
C6orf47,mclust1
CANT1,mclust1
CASC4,mclust1
CCDC14,mclust1
CCDC61,mclust1
CCDC77,mclust1
CD63,mclust1
CHPF,mclust1
CHST11,mclust1
CHST12,mclust1
CHST14,mclust1
CHST3,mclust1
CHSY1,mclust1
CLCN2,mclust1
CLCN3,mclust1
CLCN5,mclust1
CLCN6,mclust1
CLCN7,mclust1
CLN3,mclust1
CPD,mclust1
DAGLB,mclust1
DHX30,mclust1
DNAJC13,mclust1
DNAJC5,mclust1
DZIP3,mclust1
EBAG9,mclust1
ECE1,mclust1
ECT2,mclust1
EFCAB14,mclust1
ENDOD1,mclust1
ENTPD4,mclust1
ENTPD6,mclust1
ERGIC1,mclust1
ERGIC2,mclust1
ERGIC3,mclust1
ESYT1,mclust1
ESYT2,mclust1
EXTL3,mclust1
FAM134A,mclust1
FAM134C,mclust1
FAM177A1,mclust1
FAM3C,mclust1
FAM47E-STBD1,mclust1
FAM69A,mclust1
FASTK,mclust1
FKRP,mclust1
FKTN,mclust1
FRRS1,mclust1
FURIN,mclust1
FUT8,mclust1
GALNT1,mclust1
GALNT10,mclust1
GALNT11,mclust1
GALNT2,mclust1
GALNT7,mclust1
GBA,mclust1
GCNT1,mclust1
GINM1,mclust1
GLCE,mclust1
GLG1,mclust1
GLT8D1,mclust1
GNPTAB,mclust1
GOLGA2,mclust1
GOLGA5,mclust1
GOLGB1,mclust1
GOLIM4,mclust1
GOLM1,mclust1
GOLT1B,mclust1
GORASP1,mclust1
GORASP2,mclust1
GOSR1,mclust1
GPR107,mclust1
GPR108,mclust1
GPR180,mclust1
GPRC5A,mclust1
HERC2,mclust1
HS2ST1,mclust1
HS6ST2,mclust1
IGF2R,mclust1
IL13RA1,mclust1
IMPAD1,mclust1
INPP5K,mclust1
ITFG1,mclust1
ITM2B,mclust1
ITM2C,mclust1
JTB,mclust1
KIAA0319L,mclust1
KIAA0753,mclust1
KIAA1147,mclust1
KIAA1467,mclust1
KIAA1919,mclust1
LAMA5,mclust1
LAMP1,mclust1
LAMP2,mclust1
LAMTOR1,mclust1
LAMTOR3,mclust1
LAPTM4A,mclust1
LDLR,mclust1
LEPROTL1,mclust1
LMAN1,mclust1
LMAN2,mclust1
LMAN2L,mclust1
LMBRD1,mclust1
LMBRD2,mclust1
LMTK2,mclust1
LNPEP,mclust1
LOH12CR1,mclust1
LRCH4,mclust1
LRP1,mclust1
LRP10,mclust1
LRP12,mclust1
LRP8,mclust1
M6PR,mclust1
MAN1A2,mclust1
MAN1B1,mclust1
MAN2A1,mclust1
MAN2A2,mclust1
MANEA,mclust1
MBTPS1,mclust1
MDK,mclust1
MEGF9,mclust1
MFSD1,mclust1
MFSD6,mclust1
MFSD8,mclust1
MGAT1,mclust1
MGAT2,mclust1
MGAT4B,mclust1
MGAT5,mclust1
MREG,mclust1
MUC1,mclust1
MYCBP2,mclust1
MYOF,mclust1
NAGPA,mclust1
NDFIP1,mclust1
NDFIP2,mclust1
NDST1,mclust1
NEURL4,mclust1
NIPA2,mclust1
NPC1,mclust1
NSF,mclust1
P2RX4,mclust1
PGAP2,mclust1
PI4K2A,mclust1
PI4K2B,mclust1
PLD1,mclust1
PMEPA1,mclust1
PODXL,mclust1
POMGNT1,mclust1
PPM1L,mclust1
PSEN2,mclust1
PTPRJ,mclust1
PTTG1IP,mclust1
QSOX2,mclust1
RAB11A,mclust1
RAB11FIP5,mclust1
RAB14,mclust1
RAB1A,mclust1
RAB1B,mclust1
RAB2A,mclust1
RAB2B,mclust1
RAB30,mclust1
RAB32,mclust1
RAB33B,mclust1
RAB43,mclust1
RAB4A,mclust1
RAB6A,mclust1
RAB9A,mclust1
RABAC1,mclust1
REEP3,mclust1
REEP5,mclust1
RER1,mclust1
RFFL,mclust1
RHBDD3,mclust1
RNF13,mclust1
RTN3,mclust1
RTN4,mclust1
SCAMP1,mclust1
SCAMP2,mclust1
SCAMP3,mclust1
SCAMP4,mclust1
SCARB2,mclust1
SCFD1,mclust1
SEC22A,mclust1
SEMA3C,mclust1
SEMA4C,mclust1
SERINC3,mclust1
SEZ6L2,mclust1
SFT2D2,mclust1
SFT2D3,mclust1
SGMS1,mclust1
SGMS2,mclust1
SIDT2,mclust1
SLC10A3,mclust1
SLC10A7,mclust1
SLC11A2,mclust1
SLC12A4,mclust1
SLC12A9,mclust1
SLC15A4,mclust1
SLC2A13,mclust1
