Protein.ID,Sum.of.peptides.used.for.identification.across.all.four.LOPIT.experiments,LOPIT1_Protein.mascot.score,LOPIT1_No.of.distinct.peptides.identified,LOPIT1A_No.Of.MSMS.spectra.quantified,LOPIT1A_114,LOPIT1A_115,LOPIT1A_116,LOPIT1A_117,LOPIT1B_No.Of.MSMS.spectra.quantified,LOPIT1B_114,LOPIT1B_115,LOPIT1B_116,LOPIT1B_117,LOPIT2_Protein.mascot.score,LOPI2_No.of.distinct.peptides.identified,LOPIT2A_No.Of.MSMS.spectra.quantified,LOPIT2A_114,LOPIT2A_115,LOPIT2A_116,LOPIT2A_117,LOPIT2B_No.Of.MSMS.spectra.quantified,LOPIT2B_114,LOPIT2B_115,LOPIT2B_116,LOPIT2B_117,LOPIT3_Protein.mascot.score,LOPI3_No.of.distinct.peptides.identified,LOPIT3A_No.Of.MSMS.spectra.quantified,LOPIT3A_114,LOPIT3A_115,LOPIT3A_116,LOPIT3A_117,LOPIT3B_No.Of.MSMS.spectra.quantified,LOPIT3B_114,LOPIT3B_115,LOPIT3B_116,LOPIT3B_117,LOPIT4_Protein.mascot.score,LOPIT4_No.of.distinct.peptides.identified,LOPIT4A_No.Of.MSMS.spectra.quantified,LOPIT4A_114,LOPIT4A_115,LOPIT4A_116,LOPIT4A_117,LOPIT4B_No.Of.MSMS.spectra.quantified,LOPIT4B_114,LOPIT4B_115,LOPIT4B_116,LOPIT4B_117
AT1G59870,108,1166.27,21,20,0.1854166667,0.2835,0.271125,0.259875,20,0.2403703704,0.2607037037,0.2425185185,0.2562592593,1266.82,24,12,0.1173529412,0.2659411765,0.3118235294,0.305,22,0.1486666667,0.2341333333,0.3094666667,0.3078666667,1596.22,32,27,0.1688387097,0.2393870968,0.2734193548,0.3183548387,20,0.159826087,0.2817826087,0.2853043478,0.2733913043,1534.18,31,50,0.218140625,0.2315625,0.267484375,0.282828125,27,0.1855945946,0.2080540541,0.3048648649,0.3015675676
AT2G18960,108,1068.66,20,14,0.1748571429,0.3042142857,0.2379285714,0.283,9,0.263,0.256,0.2185555556,0.2622222222,1114.63,21,7,0.1461428571,0.2504285714,0.2827142857,0.3207142857,10,0.1623,0.2294,0.2667,0.3416,1741,33,30,0.189375,0.227375,0.25771875,0.32553125,7,0.201,0.2572727273,0.2947272727,0.247,1780.21,34,31,0.21171875,0.2341875,0.28034375,0.27384375,33,0.1794857143,0.2174,0.3047714286,0.2982857143
AT5G28540,107,931.28,18,4,0.24875,0.316,0.23725,0.19775,4,0.4685,0.224,0.172,0.13475,1148.03,21,1,0.342,0.363,0.21,0.084,4,0.3105,0.3285,0.2215,0.1395,1846.93,34,12,0.26775,0.2680833333,0.2526666667,0.21175,10,0.1851666667,0.2545,0.3431111111,0.2173333333,1878.03,34,9,0.3604444444,0.2322222222,0.2013333333,0.2061111111,11,0.3923636364,0.176,0.2102727273,0.2213636364
AT2G47000,106,1084.86,21,16,0.1839130435,0.3134347826,0.2422173913,0.2603478261,32,0.260875,0.2463,0.228125,0.264625,1390.81,25,10,0.1339,0.2453,0.288,0.333,17,0.1595789474,0.2145263158,0.2831578947,0.3428421053,1483.56,29,35,0.1994468085,0.2317234043,0.2567446809,0.312212766,14,0.1875384615,0.2720384615,0.2882692308,0.2522307692,1697.84,31,78,0.2325607477,0.2356168224,0.2701495327,0.2616915888,41,0.1946393443,0.2214098361,0.312704918,0.2711639344
AT4G30190,106,1051.53,18,7,0.1624285714,0.3021428571,0.2645714286,0.271,8,0.262625,0.236875,0.228125,0.27225,1140.88,22,5,0.122,0.2452,0.2942,0.3384,14,0.1574285714,0.2369285714,0.284,0.3215714286,1822.82,35,15,0.1840666667,0.2328666667,0.2610666667,0.3221333333,7,0.18475,0.270125,0.27575,0.268875,1708.71,31,25,0.2202307692,0.2325769231,0.273,0.2740769231,16,0.173375,0.204625,0.318875,0.303
AT5G42020,105,907.51,17,4,0.2925,0.30075,0.216,0.19075,3,0.4226666667,0.2156666667,0.189,0.1733333333,1115.58,20,2,0.2895,0.321,0.2175,0.172,7,0.32,0.3221428571,0.2138571429,0.144,1859.81,34,7,0.2607142857,0.2694285714,0.2542857143,0.2154285714,12,0.19435,0.24985,0.3339,0.2221,1882.13,34,9,0.3065555556,0.2237777778,0.2286666667,0.2411111111,7,0.385,0.1812857143,0.2114285714,0.2224285714
AT4G24190,102,1066.67,18,38,0.354,0.2764,0.21655,0.153175,25,0.4725384615,0.2214230769,0.1559615385,0.1498076923,1161.89,22,19,0.4131052632,0.2984210526,0.1534210526,0.135,34,0.4203846154,0.3017179487,0.1496923077,0.1280512821,2061.25,35,136,0.2605,0.2770639535,0.259005814,0.2034127907,69,0.2071962617,0.2386168224,0.348271028,0.2057476636,1616.88,27,103,0.3763873874,0.2145945946,0.2008378378,0.2081621622,89,0.3893592233,0.1803009709,0.2021747573,0.2281165049
AT4G21150,96,1352.93,23,123,0.2621955307,0.3115530726,0.2302067039,0.1960558659,62,0.3693417722,0.2680126582,0.1929746835,0.1697721519,1114.05,21,29,0.2519210526,0.3381842105,0.2463684211,0.1635526316,50,0.2696764706,0.3290588235,0.2384558824,0.1627941176,1501.56,28,78,0.2171318681,0.2938791209,0.2701428571,0.218967033,53,0.1992947368,0.2600842105,0.3353684211,0.2052631579,1297.89,24,88,0.3591875,0.2154196429,0.2080446429,0.2172589286,65,0.3576987952,0.1934939759,0.2171445783,0.2318192771
AT5G40480,94,1474.03,30,41,0.1887619048,0.3518095238,0.2395,0.2200952381,47,0.2745098039,0.290627451,0.2258235294,0.2092352941,1499.72,29,41,0.1367555556,0.3564,0.2859555556,0.221,52,0.16575,0.3142857143,0.2884464286,0.2315,872.85,20,31,0.1552258065,0.3212258065,0.2906451613,0.2329354839,41,0.2151,0.2450166667,0.3358166667,0.20405,687.77,15,33,0.3705714286,0.2207428571,0.2012571429,0.2074285714,18,0.3588,0.18705,0.2121,0.24195
AT1G78900,91,696.06,13,29,0.5251176471,0.1762156863,0.1476862745,0.1508823529,28,0.5625897436,0.1396923077,0.1345641026,0.1631282051,876.01,16,32,0.5788125,0.1536041667,0.130625,0.1370833333,28,0.5469069767,0.1468604651,0.1506744186,0.1556046512,1844.06,33,188,0.4880506329,0.1493628692,0.1659367089,0.1966624473,62,0.2330992366,0.2529694656,0.2703053435,0.243519084,1746.22,29,179,0.2646332046,0.2283861004,0.2620926641,0.2448223938,189,0.4601844262,0.1569795082,0.2002663934,0.1825737705
AT1G71220,90,866.78,18,14,0.336,0.296375,0.2013125,0.1663125,28,0.4456129032,0.2300645161,0.1716129032,0.1526451613,1134.4,24,22,0.3443043478,0.3187391304,0.1868695652,0.1501304348,27,0.3488387097,0.2968064516,0.1856451613,0.1684193548,1496.56,32,31,0.2251875,0.27884375,0.26684375,0.228875,49,0.1952560976,0.251695122,0.3292317073,0.2238780488,763.2,16,40,0.3515555556,0.2259333333,0.2140666667,0.2085555556,10,0.3421,0.1833,0.2269,0.2477
AT3G62360,86,1088.52,20,27,0.2673103448,0.2941724138,0.2490344828,0.1893793103,34,0.3626052632,0.2577894737,0.2012105263,0.1784736842,1168.63,21,24,0.28596,0.32412,0.23764,0.15224,32,0.2642727273,0.3431515152,0.2335151515,0.158969697,1315.34,27,51,0.2004528302,0.3006037736,0.2761320755,0.222754717,46,0.1748955224,0.2611641791,0.3378507463,0.2261791045,924.63,18,52,0.3610555556,0.2223518519,0.2098888889,0.2068148148,25,0.31004,0.20812,0.23648,0.24552
AT1G02520,85,980.5,17,6,0.1607142857,0.3058571429,0.2357142857,0.2974285714,8,0.27425,0.23875,0.222875,0.263875,1094.94,21,4,0.14,0.26625,0.26925,0.3245,14,0.1598571429,0.2312142857,0.269,0.3399285714,1047.36,21,5,0.2487142857,0.2184285714,0.2454285714,0.2878571429,9,0.1745238095,0.274,0.2804285714,0.271,1442.61,26,25,0.2448484848,0.2396969697,0.2628484848,0.2528181818,17,0.24785,0.2078,0.27765,0.26665
AT1G06950,81,1136.52,20,41,0.0936086957,0.168,0.2867391304,0.4515652174,36,0.0944615385,0.1388717949,0.3325897436,0.4342820513,1550.73,25,12,0.0677857143,0.1037142857,0.2400714286,0.5885714286,20,0.0775909091,0.1162727273,0.3010909091,0.5047272727,975.5,19,27,0.1043666667,0.1537666667,0.2701333333,0.4716666667,26,0.0840425532,0.3092340426,0.1616808511,0.4449787234,944.36,17,39,0.1481777778,0.1892,0.2748666667,0.3878,26,0.1307931034,0.1935172414,0.300137931,0.3754827586
AT1G15210,80,1073.47,20,5,0.1734285714,0.3072857143,0.2408571429,0.2787142857,8,0.2746363636,0.2422727273,0.2230909091,0.2601818182,1139.65,23,6,0.1478181818,0.252,0.3013636364,0.2988181818,10,0.1554615385,0.2473846154,0.2696923077,0.3276153846,968.87,21,2,0.1925,0.2215,0.256,0.33,4,0.1885555556,0.2838888889,0.2664444444,0.2611111111,719.28,16,5,0.2293333333,0.239,0.249,0.2828333333,2,0.187,0.2165,0.3195,0.2775
AT3G11130,72,270.2,6,9,0.2248888889,0.2772222222,0.2378888889,0.2598888889,7,0.2532857143,0.2254285714,0.2318571429,0.2892857143,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,1615.79,32,2,0.177,0.205,0.288,0.3305,4,0.212,0.267,0.2961666667,0.225,1727.6,34,10,0.233,0.2322,0.2781,0.2567,1,0.259,0.236,0.307,0.198
AT1G70770,71,976.46,17,49,0.2316981132,0.2958301887,0.2396981132,0.2329622642,36,0.3429230769,0.2437179487,0.2116410256,0.2016666667,1026.27,18,23,0.22044,0.35168,0.25988,0.16808,26,0.2603,0.3445,0.2260666667,0.1692666667,1164.38,22,84,0.2204666667,0.2749238095,0.2666380952,0.2379809524,57,0.1620632911,0.2684303797,0.340556962,0.2289746835,824.03,14,48,0.3679107143,0.2153571429,0.201125,0.2155892857,28,0.3175151515,0.1941818182,0.2253030303,0.263030303
AT3G46740,71,941.28,16,38,0.0984772727,0.1608863636,0.2902727273,0.4504545455,30,0.0862058824,0.1237352941,0.3348823529,0.4550882353,867.57,15,12,0.038,0.0648666667,0.2454,0.6516,15,0.0566111111,0.0916666667,0.3269444444,0.5248888889,1051.97,20,36,0.1150784314,0.1682941176,0.2701568627,0.4465294118,29,0.0744262295,0.3345081967,0.168557377,0.4224918033,1064.4,20,88,0.1341071429,0.2350267857,0.3216428571,0.3093482143,36,0.12738,0.23764,0.3372,0.29782
AT1G21750,71,465.55,9,6,0.2758333333,0.2665,0.2323333333,0.2251666667,9,0.4405555556,0.2097777778,0.1793333333,0.1705555556,490.71,9,9,0.372,0.2715,0.1735,0.1829,6,0.4105,0.3068333333,0.1481666667,0.1346666667,1657.3,31,101,0.249254902,0.2794705882,0.2662058824,0.2051078431,40,0.2019107143,0.2574642857,0.334375,0.2062321429,1236.09,22,64,0.3625846154,0.2127538462,0.2062461538,0.2184769231,47,0.41,0.1756078431,0.1970392157,0.2173137255
ATCG01130,67,1037.61,23,19,0.0773636364,0.136,0.2528181818,0.5335,28,0.0934333333,0.1091333333,0.3134666667,0.4838333333,939.44,21,9,0.0425555556,0.087,0.25,0.6205555556,10,0.0481818182,0.0878181818,0.2904545455,0.5736363636,369.84,8,13,0.0867857143,0.1557142857,0.2665714286,0.491,4,0.077,0.3298,0.1726,0.4202,675.04,15,22,0.1465833333,0.2134583333,0.314,0.326,14,0.1066428571,0.2160714286,0.3562857143,0.3209285714
AT3G08530,67,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,1671.5,33,8,0.254625,0.239,0.2475,0.259125,5,0.23125,0.2355,0.304625,0.228875,1754.89,34,6,0.2275,0.2418333333,0.2656666667,0.265,5,0.2254,0.2132,0.291,0.2702
AT5G11560,66,928.29,16,26,0.2887857143,0.2962142857,0.2198214286,0.1952142857,31,0.3673714286,0.2548571429,0.2017428571,0.1762,997.9,19,24,0.2650384615,0.3531923077,0.2324230769,0.1493076923,32,0.3037647059,0.3065882353,0.2215882353,0.1678235294,923.68,18,23,0.2394782609,0.289,0.2656521739,0.2057826087,31,0.1976595745,0.2510212766,0.3380638298,0.2132553191,664.87,13,32,0.34940625,0.22665625,0.21778125,0.20609375,15,0.3770666667,0.1919333333,0.2228666667,0.2078666667
AT5G61790,64,851.32,14,58,0.2868103448,0.3060517241,0.2118448276,0.1951896552,36,0.3845833333,0.2500277778,0.1871944444,0.1783055556,807.42,14,31,0.2524242424,0.3402121212,0.2371515152,0.1703939394,40,0.2848571429,0.3170238095,0.2232380952,0.1749761905,1037.64,20,49,0.2372786885,0.2922786885,0.2699180328,0.200557377,25,0.2131428571,0.2772857143,0.3037714286,0.2056,833.99,16,34,0.3517435897,0.2204358974,0.2127692308,0.2147692308,38,0.3796818182,0.1827727273,0.2132954545,0.2242045455
