"Gene.family.name","Gene.Ids","Observed.in.this.study_star.below.threshold"
GT92R,At2g41451,
GT92R,At3g08550,Golgi/TGN
GT92R,At3g57200,
GT65R,At1g04910,Golgi/TGN
GT65R,At1g11990,
GT65R,At1g14020,
GT65R,At1g14970,
GT65R,At1g20550,
GT65R,At1g22460,
GT65R,At1g29200,
GT65R,At1g35510,
GT65R,At1g38065,
GT65R,At1g38131,
GT65R,At1g51630,Golgi/TGN
GT65R,At1g52630,
GT65R,At1g62330,Golgi/TGN
GT65R,At1g76270,Golgi/TGN
GT65R,At2g01480,
GT65R,At2g03280,
GT65R,At2g37980,
GT65R,At2g44500,
GT65R,At3g02250,
GT65R,At3g03810,
GT65R,At3g07900,
GT65R,At3g21190,Golgi/TGN
GT65R,At3g26370,Golgi/TGN
GT65R,At3g30300,Golgi/TGN
GT65R,At3g54100,
GT65R,At4g16650,Golgi/TGN
GT65R,At4g17430,Golgi/TGN
GT65R,At4g24530,
GT65R,At4g38390,
GT65R,At5g01100,
GT65R,At5g15740,
GT65R,At5g35570,
GT65R,At5g63390,
GT65R,At5g64600,
GT65R,At5g65470,
GT68R-A,At2g04280,Golgi/TGN
GT68R-A,At4g08810,Golgi/TGN*
GT68R-A,At4g12700,
GT68R-B,At2g41150,Golgi/TGN
GT68R-B,At3g56750,Golgi/TGN
GT14R,At1g10280,
GT14R,At1g10880,
GT14R,At1g11940,
GT14R,At1g51770,
GT14R,At1g62305,
GT14R,At1g68380,
GT14R,At1g68390,
GT14R,At1g73810,
GT14R,At2g19160,
GT14R,At3g21310,
GT14R,At3g52060,
GT14R,At4g25870,
GT14R,At4g30060,
GT14R,At4g31350,
GT14R,At4g32290,
GT14R,At5g11730,Golgi/TGN
GT14R,At5g14550,
GT14R,At5g16170,
GT14R,At5g22070,
GT14R,At5g25330,
GT14R,At5g25970,
GT14R,At5g25990,
GT14R,At5g57270,
GT75R,At2g41770,Golgi/TGN
GT75R,At3g57420,
GT8R-A,At1g28240,
GT8R-A,At1g34550,
GT8R-A,At1g53040,
GT8R-A,At2g02910,
GT8R-A,At4g09630,
GT8R-A,At4g38500,Golgi/TGN
GT8R-A,At5g42660,
GT8R-A,At5g46220,
GT8R-B,At2g25260,Golgi/TGN*
GT8R-B,At3g01720,
GT8R-B,At5g13500,Golgi/TGN
GT8R-B,At5g25265,Golgi/TGN
GT27R,At1g08040,Golgi/TGN
GT27R,At1g11170,
GT27R,At1g13000,
GT27R,At1g24570,
GT27R,At1g61240,
GT27R,At1g67850,
GT27R,At2g28310,Golgi/TGN
GT27R,At3g26440,
GT27R,At3g27470,
GT27R,At4g12840,
GT27R,At4g18530,
GT4R,At4g01210,Golgi/TGN
GT4R,At5g04480,Golgi/TGN
GT13R,At5g12260,Golgi/TGN
GT41R,At1g05150,Golgi/TGN
GT41R,At2g32450,
