IPI,UniProt,Name,Intensity,NumPeptides,Fr1,Fr2,Fr3,Fr4,Fr5,Fr6,Fr7,Fr8
IPI00108371,Q9D625,"retinoid-inducible serine caroboxypetidase, full insert sequence ",3.57979971035774,2,0.4195044838425,0.36176912800771,0.65885011253591,0.44049770548809,0.30057950899959,0.23296083165055,0.51267496734219,0.53725204859343
IPI00108740,,"Cytochrome c, somatic , similar to",4.64011065572236,1,0.12386519531508,0.36000547307017,0.6603643066641,1,0.64859366161848,0.37127782775972,,
IPI00108811,P17439,"Glucosylceramidase precursor ",3.09476944245776,1,0.41174773585994,0.73435207122921,0.10310436713973,1,0.64151587601418,0.45397742854782,0.5117675498769,0.36940074045075
IPI00109199,Q9CWK0,"ribosomal protein L14, cytosolic homolog ",4.88765892638402,1,0.63214686734891,1,0.85329937180436,0.75265397556033,0.64657909330095,0.47744742350132,0.43597242108362,0.33861047057457
IPI00109257,Q9EP75,"Cytochrome P450 4F14 ",3.39860776367638,1,0.03558684326001,1,0.2647799237035,0.11596128290809,0.15872725425891,0.12159972989552,0.11686931110576,0.15719995290551
IPI00109442,Q9D6R2,"unclassifiable, full insert sequence ",3.0737640648012,2,0.03313486910101,0.25554058512273,0.7879739612646,0.60179868855712,0.71862217359326,0.5072404936696,0.21460093138913,0.15915765998327
IPI00110212,Q9CXE7,"hypothetical emp24/gp25L/p24 family containing protein, full insert sequence ",2.94600290627394,1,0.17967968925139,0.63999632338916,0.18829397486458,0.67922957407967,0.48872094988217,0.5600706674829,1,0.34682218412096
IPI00110224,Q8C7S0,"Alcohol dehydrogenase Pan1b ",3.39867308459489,4,0.49603637401705,0.53096394818089,0.46868118073869,0.24857497426073,0.51171980014144,0.65052788997234,0.96499509900739,0.72011160118871
IPI00110556,Q05421,"Cytochrome P450 2E1 ",4.96325961403277,5,0.1693435806165,0.58464598891671,0.65811666487673,0.88392671823623,0.89451578751229,0.88046618182104,0.76128744679031,0.71686700000006
IPI00110588,P26041,"Moesin ",4.26521424637451,2,0.45063840044894,0.10952670716878,0.52085883953939,0.46841137853383,0.34068355930056,0.30946437701737,0.41746574381338,0.53328559897133
IPI00110670,P02535,"Keratin, type I cytoskeletal 10 ",4.79629387419657,1,0.34247151611582,0.60504338925929,0.6722012146159,0.47061922709853,1,0.49741607149973,0.45506512772622,0.18641082941646
IPI00110673,Q9D816,"RIKEN cDNA 2010318C06 gene coding for a Cytochrome P450 -like protein ",3.71588553778337,1,0.03749718783157,,0.20334462184956,0.24331629453059,0.21796484304145,0.87149700441542,0.61913483433804,1
IPI00110719,Q9D826,"Peroxisomal sarcosine oxidase ",4.27019437568855,5,0.78453194450805,0.6720518813962,0.36889294700992,0.39946289865049,0.25527917364281,0.16739180755797,0.11401191878301,0.05463408248852
IPI00110850,P60710,"Actin, cytoplasmic 1 ",5.32700994886252,5,0.08376359665819,0.19742160432415,0.41113507260341,0.47111487309258,0.74277337014882,0.72499717728297,1,0.88963323310204
IPI00110851,P02571,"Actin, cytoplasmic 2 ",5.32700994886252,5,0.08376359665819,0.19742160432415,0.41113507260341,0.47111487309258,0.74277337014882,0.72499717728297,1,0.88963323310204
IPI00111218,P47738,"Aldehyde dehydrogenase, mitochondrial precursor ",6.19875972420315,5,0.15681560492501,0.5042741942523,0.72193419931794,1,0.78927465186979,0.44798606098651,0.20404095664185,0.09119936331974
IPI00111235,P47740,"Fatty aldehyde dehydrogenase ",3.06917978121303,2,0.12767781079384,0.27399722817385,0.53156061948229,0.55648624053973,1,0.40673619411612,0.4110819885509,0.25765049305217
IPI00111271,P47758,"Signal recognition particle receptor beta subunit ",2.59304542931643,1,,0.65020633765801,1,0.2847147003968,0.38228458852912,0.52063656252741,0.35624574301642,0.1006516103504
IPI00111412,Q9D8E6,"60S ribosomal protein L4 ",4.45529333914893,5,0.34199911087722,0.76217465609359,0.75940003542284,0.82294676648767,0.54435872784943,0.45042776175601,0.44350992676118,0.38214649277778
IPI00111634,Q9EQW4,"Cytochrome P450, CYP3A ",4.47471513738955,2,0.1931723613857,0.3004727234887,0.34255354907768,0.87099913568367,0.73990244133762,0.76685927451637,0.55768573408256,0.599910911363
IPI00111831,P70670,"Alpha-NAC, muscle-specific form gp220 ",3.7223778134844,1,0.02000582843425,0.13904586124249,0.22635176074655,0.23027884263167,0.20671564460531,0.10447985790696,1,0.66908930646276
IPI00111855,P26150,"hydroxysteroid dehydrogenase-3, delta<5>-3-beta ",3.89184711386477,2,0.33634746269647,0.27544872052499,0.17416063262471,0.44950553611614,0.40488364773636,0.70213922043719,0.62847205435533,0.96346059451602
IPI00111876,Q8VCR7,"CCG1-interacting factor B ",2.00744383297409,1,0.10009074318804,0.76040628810222,1,,0.90581898000654,0.60273390986142,0.49036037690017,0.41315808759474
IPI00111885,Q9CZ13,"Ubiquinol-cytochrome-c reductase complex core protein I, mitochondrial precursor ",4.35643631468724,5,0.06444456854184,0.24804900616618,0.72053323098196,0.89106306244207,0.81493220715129,0.459719518407,0.13712153470351,0.0608358277499
IPI00111908,Q8C196,"Carbamoyl-phosphate synthase , similar to",6.17867776885703,5,0.21006664668766,0.64925720417834,0.91081098170577,0.99880741979167,0.62085283452942,0.29815120986791,0.14600799326863,0.04856549399933
IPI00111950,P70694,"Estradiol 17 beta-dehydrogenase 5 ",3.43543162934616,5,0.39464209388628,0.54375290937045,0.51101065936746,0.49699812859125,0.72649258841743,0.7565938137289,0.80227191120496,0.73960907434904
IPI00112053,Q9D8U8,"Sorting nexin 5 ",4.01253819305285,1,,,,,1,0.52600458452961,0.4879273700985,
IPI00112128,Q9CYW4,"hypothetical Haloacid dehalogenase/epoxide hydrolase family containing protein, full inser ",4.35581026948666,2,0.52024445221376,0.80757017132036,0.4526296511526,0.55994957000975,0.49786213987908,0.37412887989926,0.80896677369077,0.70975727674543
