"","x"
"Q86UP2","ER"
"Q5JRA6","ER"
"P16615","ER"
"Q14573","ER"
"P06576","MITOCHONDRIA"
"P05023","PM"
"P52272","NUCLEUS"
"P22102","CYTOSOL"
"Q14571","ER"
"P34932","CYTOSOL"
"Q12931","MITOCHONDRIA"
"O15031","PM"
"Q92896","GOLGI"
"Q9NR30","NUCLEUS"
"Q9Y4L1","ER"
"Q13200","PROTEASOME"
"P51659","PEROXISOME"
"P40939","MITOCHONDRIA"
"P13667","ER"
"P10586","PM"
"Q99460","PROTEASOME"
"Q9NYU2","ER"
"Q641Q2","EARLY ENDOSOME"
"P39023","RIBOSOME"
"P35222","PM"
"P12277","CYTOSOL"
"P20020","PM"
"P04843","ER"
"Q9UGP8","ER"
"P28331","MITOCHONDRIA"
"P17844","NUCLEUS"
"P25705","MITOCHONDRIA"
"P31040","MITOCHONDRIA"
"P49588","CYTOSOL"
"P35221","PM"
"Q02218","MITOCHONDRIA"
"Q9UHD8","EARLY ENDOSOME"
"Q13423","MITOCHONDRIA"
"P07237","ER"
"Q5JRX3","MITOCHONDRIA"
"O00116","PEROXISOME"
"P08865","RIBOSOME"
"Q12768","EARLY ENDOSOME"
"P49411","MITOCHONDRIA"
"P30101","ER"
"Q9NVP1","NUCLEUS"
"P31930","MITOCHONDRIA"
"P08240","ER"
"P36578","RIBOSOME"
"P46777","RIBOSOME"
"O60341","NUCLEUS"
"P05556","PM"
"P40926","MITOCHONDRIA"
"P16435","ER"
"Q12797","ER"
"Q9H0A0","NUCLEUS"
"P00367","MITOCHONDRIA"
"P27824","ER"
"P24752","MITOCHONDRIA"
"Q9GZR7","NUCLEUS"
"P62191","PROTEASOME"
"P43304","MITOCHONDRIA"
"P42765","MITOCHONDRIA"
"Q9BVJ6","NUCLEUS"
"Q8TBA6","GOLGI"
"P00558","CYTOSOL"
"Q5JTZ9","MITOCHONDRIA"
"P61247","RIBOSOME"
"O43242","PROTEASOME"
"P07910","NUCLEUS"
"O76031","MITOCHONDRIA"
"Q15019","EARLY ENDOSOME"
"P09622","MITOCHONDRIA"
"P32969","RIBOSOME"
"Q7Z2K8","PM"
"O75390","MITOCHONDRIA"
"P05091","MITOCHONDRIA"
"Q13823","NUCLEUS"
"O94826","MITOCHONDRIA"
"P17301","PM"
"P55809","MITOCHONDRIA"
"O00567","NUCLEUS"
"P48449","ER"
"O95202","MITOCHONDRIA"
"Q9H8H0","NUCLEUS"
"P35998","PROTEASOME"
"P09110","PEROXISOME"
"O00461","GOLGI"
"P50454","ER"
"P10253","LYSOSOME"
"P10515","MITOCHONDRIA"
"O00411","MITOCHONDRIA"
"P18124","RIBOSOME"
"P08243","CYTOSOL"
"P08559","MITOCHONDRIA"
"O43837","MITOCHONDRIA"
"Q2M389","EARLY ENDOSOME"
"Q02809","ER"
"Q9UIW2","PM"
"P78316","NUCLEUS"
"Q15031","MITOCHONDRIA"
"O00231","PROTEASOME"
"P19022","PM"
"Q96FV9","NUCLEUS"
"P62701","RIBOSOME"
"P62906","RIBOSOME"
"O96008","MITOCHONDRIA"
"Q16822","MITOCHONDRIA"
