"Gene > Secondary Identifier","Gene > DB identifier","Gene > Organism . Name","Gene > Proteins > UniProt Accession","Gene > Proteins > UniProt Name"
"CG10045","FBgn0001149","Drosophila melanogaster","P20432","GSTT1_DROME"
"CG10060","FBgn0001104","Drosophila melanogaster","P20353","GNAI_DROME"
"CG10067","FBgn0000044","Drosophila melanogaster","P53501","ACT3_DROME"
"CG10079","FBgn0003731","Drosophila melanogaster","P04412","EGFR_DROME"
"CG10079","FBgn0003731","Drosophila melanogaster","P04412","EGFR_DROME"
"CG10149","FBgn0028689","Drosophila melanogaster","Q7KLV9","PSD11_DROME"
"CG10149","FBgn0028689","Drosophila melanogaster","Q7KLV9","PSD11_DROME"
"CG10158","FBgn0031871","Drosophila melanogaster","Q9VM65","CCA_DROME"
"CG10161","FBgn0040227","Drosophila melanogaster","Q9VCK0","EI3D1_DROME"
"CG10166","FBgn0032799","Drosophila melanogaster","Q9VIU7","DPM1_DROME"
"CG10223","FBgn0003732","Drosophila melanogaster","P15348","TOP2_DROME"
"CG10236","FBgn0002526","Drosophila melanogaster","Q00174","LAMA_DROME"
"CG10240","FBgn0013773","Drosophila melanogaster","Q9V769","C6A22_DROME"
"CG10242","FBgn0033978","Drosophila melanogaster","Q9V771","C6A23_DROME"
"CG10248","FBgn0013772","Drosophila melanogaster","Q27593","CP6A8_DROME"
"CG10255","FBgn0033984","Drosophila melanogaster","Q9V780","LAP1_DROME"
"CG10279","FBgn0003261","Drosophila melanogaster","P19109","DDX17_DROME"
"CG10279","FBgn0003261","Drosophila melanogaster","P19109","DDX17_DROME"
"CG10279","FBgn0003261","Drosophila melanogaster","P19109","DDX17_DROME"
"CG10279","FBgn0003261","Drosophila melanogaster","P19109","DDX17_DROME"
"CG10293","FBgn0264491","Drosophila melanogaster","O01367","HOW_DROME"
"CG10293","FBgn0264491","Drosophila melanogaster","O01367","HOW_DROME"
"CG10293","FBgn0264491","Drosophila melanogaster","O01367","HOW_DROME"
"CG10305","FBgn0261597","Drosophila melanogaster","P13008","RS26_DROME"
"CG10306","FBgn0034654","Drosophila melanogaster","Q9W2D9","EIF3K_DROME"
"CG10377","FBgn0004838","Drosophila melanogaster","P48809","RB27C_DROME"
"CG10420","FBgn0039296","Drosophila melanogaster","Q9VBV5","SIL1_DROME"
"CG10443","FBgn0000464","Drosophila melanogaster","P16621","LAR_DROME"
"CG10506","FBgn0027090","Drosophila melanogaster","Q9Y105","SYQ_DROME"
"CG10540","FBgn0034577","Drosophila melanogaster","Q9W2N0","CAPZA_DROME"
"CG10545","FBgn0001105","Drosophila melanogaster","P26308","GBB1_DROME"
"CG10593","FBgn0016122","Drosophila melanogaster","Q9VLJ6","ACER_DROME"
"CG10616","FBgn0036286","Drosophila melanogaster","Q9VTX8","ODR4_DROME"
"CG1065","FBgn0004888","Drosophila melanogaster","Q94522","SUCA_DROME"
"CG10671","FBgn0035586","Drosophila melanogaster","Q9VRJ2","FITM_DROME"
"CG10671","FBgn0035586","Drosophila melanogaster","Q9VRJ2","FITM_DROME"
"CG10691","FBgn0002031","Drosophila melanogaster","P24156","L2CC_DROME"
"CG10701","FBgn0011661","Drosophila melanogaster","P46150","MOEH_DROME"
"CG10701","FBgn0011661","Drosophila melanogaster","P46150","MOEH_DROME"
"CG10701","FBgn0011661","Drosophila melanogaster","P46150","MOEH_DROME"
"CG10701","FBgn0011661","Drosophila melanogaster","P46150","MOEH_DROME"
"CG10701","FBgn0011661","Drosophila melanogaster","P46150","MOEH_DROME"
"CG1084","FBgn0037240","Drosophila melanogaster","Q9VN14","CONT_DROME"
"CG10844","FBgn0011286","Drosophila melanogaster","Q24498","RY44_DROME"
"CG10844","FBgn0011286","Drosophila melanogaster","Q24498","RY44_DROME"
"CG10844","FBgn0011286","Drosophila melanogaster","Q24498","RY44_DROME"
"CG10844","FBgn0011286","Drosophila melanogaster","Q24498","RY44_DROME"
"CG1088","FBgn0015324","Drosophila melanogaster","P54611","VATE_DROME"
"CG10938","FBgn0016697","Drosophila melanogaster","Q95083","PSA5_DROME"
"CG10944","FBgn0261592","Drosophila melanogaster","P29327","RS6_DROME"
"CG10944","FBgn0261592","Drosophila melanogaster","P29327","RS6_DROME"
"CG10954","FBgn0032859","Drosophila melanogaster","Q9VIM5","ARPC2_DROME"
"CG10975","FBgn0014007","Drosophila melanogaster","P16620","PTP69_DROME"
"CG10975","FBgn0014007","Drosophila melanogaster","P16620","PTP69_DROME"
"CG10978","FBgn0037374","Drosophila melanogaster","Q7K1V5","JAGN_DROME"
"CG11001","FBgn0013954","Drosophila melanogaster","P48375","FKB12_DROME"
"CG11007","FBgn0034455","Drosophila melanogaster","Q7JW12","TMX2_DROME"
"CG1104","FBgn0037467","Drosophila melanogaster","Q9VI55","UFL1_DROME"
"CG1104","FBgn0037467","Drosophila melanogaster","Q9VI55","UFL1_DROME"
"CG11051","FBgn0040813","Drosophila melanogaster","Q9VU58","NPLP2_DROME"
"CG11059","FBgn0039928","Drosophila melanogaster","Q9V498","CSTN1_DROME"
"CG11064","FBgn0087002","Drosophila melanogaster","Q9V496","APLP_DROME"
"CG11077","FBgn0039930","Drosophila melanogaster","Q9V492","MPV17_DROME"
"CG11098","FBgn0031842","Drosophila melanogaster","Q9VMA7","TGO1_DROME"
"CG11098","FBgn0031842","Drosophila melanogaster","Q9VMA7","TGO1_DROME"
"CG11129","FBgn0004047","Drosophila melanogaster","P06607","VIT3_DROME"
"CG11154","FBgn0010217","Drosophila melanogaster","Q05825","ATPB_DROME"
"CG11271","FBgn0260441","Drosophila melanogaster","P80455","RS12_DROME"
"CG11276","FBgn0011284","Drosophila melanogaster","P41042","RS4_DROME"
"CG11561","FBgn0003444","Drosophila melanogaster","P91682","SMO_DROME"
"CG11567","FBgn0015623","Drosophila melanogaster","Q27597","NCPR_DROME"
"CG11579","FBgn0000117","Drosophila melanogaster","P18824","ARM_DROME"
"CG11579","FBgn0000117","Drosophila melanogaster","P18824","ARM_DROME"
"CG1161","FBgn0037313","Drosophila melanogaster","Q9VNA4","Y1161_DROME"
"CG11654","FBgn0014455","Drosophila melanogaster","Q27580","SAHH_DROME"
"CG1167","FBgn0003206","Drosophila melanogaster","P04388","RAS2_DROME"
"CG11785","FBgn0045866","Drosophila melanogaster","Q8SXY6","TMEDA_DROME"
"CG11793","FBgn0003462","Drosophila melanogaster","P61851","SODC_DROME"
"CG11888","FBgn0028692","Drosophila melanogaster","Q9V3P6","PSMD1_DROME"
