"Gene > Secondary Identifier","Gene > DB identifier","Gene > Organism . Name","Gene > Proteins > UniProt Accession","Gene > Proteins > UniProt Name"
"CG10045","FBgn0001149","Drosophila melanogaster","P20432","GSTT1_DROME"
"CG10060","FBgn0001104","Drosophila melanogaster","P20353","GNAI_DROME"
"CG10067","FBgn0000044","Drosophila melanogaster","E1JGP0","E1JGP0_DROME"
"CG10067","FBgn0000044","Drosophila melanogaster","P53501","ACT3_DROME"
"CG10077","FBgn0035720","Drosophila melanogaster","Q7KU78","Q7KU78_DROME"
"CG10077","FBgn0035720","Drosophila melanogaster","Q8MRJ6","Q8MRJ6_DROME"
"CG10077","FBgn0035720","Drosophila melanogaster","Q8MZI3","Q8MZI3_DROME"
"CG10077","FBgn0035720","Drosophila melanogaster","Q8T0I3","Q8T0I3_DROME"
"CG10079","FBgn0003731","Drosophila melanogaster","P04412","EGFR_DROME"
"CG10079","FBgn0003731","Drosophila melanogaster","P04412","EGFR_DROME"
"CG10079","FBgn0003731","Drosophila melanogaster","Q8MLW0","Q8MLW0_DROME"
"CG10079","FBgn0003731","Drosophila melanogaster","Q8SZW1","Q8SZW1_DROME"
"CG10079","FBgn0003731","Drosophila melanogaster","",""
"CG10106","FBgn0029506","Drosophila melanogaster","Q7KJ73","Q7KJ73_DROME"
"CG10106","FBgn0029506","Drosophila melanogaster","Q8SY17","Q8SY17_DROME"
"CG10120","FBgn0002719","Drosophila melanogaster","Q2QBM1","Q2QBM1_DROME"
"CG10120","FBgn0002719","Drosophila melanogaster","Q9NIW0","Q9NIW0_DROME"
"CG10120","FBgn0002719","Drosophila melanogaster","Q9NIW1","Q9NIW1_DROME"
"CG10120","FBgn0002719","Drosophila melanogaster","Q9NIW2","Q9NIW2_DROME"
"CG10120","FBgn0002719","Drosophila melanogaster","Q9U1J1","Q9U1J1_DROME"
"CG10120","FBgn0002719","Drosophila melanogaster","Q9VG31","Q9VG31_DROME"
"CG10120","FBgn0002719","Drosophila melanogaster","Q9VG32","Q9VG32_DROME"
"CG10121","FBgn0035710","Drosophila melanogaster","Q0E8H7","Q0E8H7_DROME"
"CG10121","FBgn0035710","Drosophila melanogaster","Q8MQS1","Q8MQS1_DROME"
"CG10121","FBgn0035710","Drosophila melanogaster","Q9NGV3","Q9NGV3_DROME"
"CG10130","FBgn0010638","Drosophila melanogaster","Q7JZN0","Q7JZN0_DROME"
"CG10130","FBgn0010638","Drosophila melanogaster","Q8SXW0","Q8SXW0_DROME"
"CG10149","FBgn0028689","Drosophila melanogaster","Q7KLV9","PSD11_DROME"
"CG10149","FBgn0028689","Drosophila melanogaster","Q7KLV9","PSD11_DROME"
"CG10149","FBgn0028689","Drosophila melanogaster","",""
"CG10158","FBgn0031871","Drosophila melanogaster","Q9VM65","CCA_DROME"
"CG10161","FBgn0040227","Drosophila melanogaster","Q8MRJ8","Q8MRJ8_DROME"
"CG10161","FBgn0040227","Drosophila melanogaster","Q9VCK0","EI3D1_DROME"
"CG10166","FBgn0032799","Drosophila melanogaster","Q9VIU7","DPM1_DROME"
"CG10203","FBgn0028554","Drosophila melanogaster","M9PC85","M9PC85_DROME"
"CG10203","FBgn0028554","Drosophila melanogaster","Q9V3V0","Q9V3V0_DROME"
"CG1021","FBgn0037443","Drosophila melanogaster","B7Z0W3","B7Z0W3_DROME"
"CG1021","FBgn0037443","Drosophila melanogaster","E1JJ71","E1JJ71_DROME"
"CG1021","FBgn0037443","Drosophila melanogaster","Q960J3","Q960J3_DROME"
"CG1021","FBgn0037443","Drosophila melanogaster","Q9VI21","Q9VI21_DROME"
"CG10211","FBgn0032685","Drosophila melanogaster","Q9VJ80","Q9VJ80_DROME"
"CG10221","FBgn0028475","Drosophila melanogaster","Q9V415","Q9V415_DROME"
"CG10223","FBgn0003732","Drosophila melanogaster","P15348","TOP2_DROME"
"CG10223","FBgn0003732","Drosophila melanogaster","Q6NR40","Q6NR40_DROME"
"CG10230","FBgn0028691","Drosophila melanogaster","Q7KMP8","Q7KMP8_DROME"
"CG10236","FBgn0002526","Drosophila melanogaster","Q00174","LAMA_DROME"
"CG10236","FBgn0002526","Drosophila melanogaster","",""
"CG10240","FBgn0013773","Drosophila melanogaster","Q9V769","C6A22_DROME"
"CG10242","FBgn0033978","Drosophila melanogaster","Q9V771","C6A23_DROME"
"CG10248","FBgn0013772","Drosophila melanogaster","Q27593","CP6A8_DROME"
"CG10248","FBgn0013772","Drosophila melanogaster","Q963E0","Q963E0_DROME"
"CG10255","FBgn0033984","Drosophila melanogaster","Q9V780","LAP1_DROME"
"CG10279","FBgn0003261","Drosophila melanogaster","C7LAE4","C7LAE4_DROME"
"CG10279","FBgn0003261","Drosophila melanogaster","E1JJ68","E1JJ68_DROME"
"CG10279","FBgn0003261","Drosophila melanogaster","P19109","DDX17_DROME"
"CG10279","FBgn0003261","Drosophila melanogaster","P19109","DDX17_DROME"
"CG10279","FBgn0003261","Drosophila melanogaster","P19109","DDX17_DROME"
"CG10279","FBgn0003261","Drosophila melanogaster","P19109","DDX17_DROME"
"CG10279","FBgn0003261","Drosophila melanogaster","Q5LK30","Q5LK30_DROME"
"CG10279","FBgn0003261","Drosophila melanogaster","",""
"CG10279","FBgn0003261","Drosophila melanogaster","",""
"CG10279","FBgn0003261","Drosophila melanogaster","",""
"CG10279","FBgn0003261","Drosophila melanogaster","",""
"CG10279","FBgn0003261","Drosophila melanogaster","",""
"CG10293","FBgn0264491","Drosophila melanogaster","E1JIT0","E1JIT0_DROME"
"CG10293","FBgn0264491","Drosophila melanogaster","O01367","HOW_DROME"
"CG10293","FBgn0264491","Drosophila melanogaster","O01367","HOW_DROME"
"CG10293","FBgn0264491","Drosophila melanogaster","O01367","HOW_DROME"
"CG10293","FBgn0264491","Drosophila melanogaster","",""
"CG10293","FBgn0264491","Drosophila melanogaster","",""
"CG10293","FBgn0264491","Drosophila melanogaster","",""
"CG10302","FBgn0032679","Drosophila melanogaster","Q95NR4","Q95NR4_DROME"
"CG10302","FBgn0032679","Drosophila melanogaster","Q9VJ86","Q9VJ86_DROME"
"CG10305","FBgn0261597","Drosophila melanogaster","P13008","RS26_DROME"
"CG10306","FBgn0034654","Drosophila melanogaster","Q9W2D9","EIF3K_DROME"
"CG10370","FBgn0028684","Drosophila melanogaster","Q9V3V6","Q9V3V6_DROME"
"CG10370","FBgn0028684","Drosophila melanogaster","Q9XZC3","Q9XZC3_DROME"
"CG10372","FBgn0025608","Drosophila melanogaster","O77047","O77047_DROME"
