TMT 10-plex Label,Density Gradient Fraction Number(s),,,Subcellular Fraction Density                                          (% w/v Iodixanol),,
,Experiment 1,Experiment 2,Experiment 3,Experiment 1,Experiment 2,Experiment 3
126,Cytosol,Cytosol,Cytosol,0,0,0
127N,1 to 6 (pooled),1 to 6 (pooled),1 to 4 (pooled),6,5.2,6.2
127C,8 to 9 (pooled),7 to 9 (pooled),5 to 6 (pooled),11,10,9.9
128N,10 to 11 (pooled),10 to 11 (pooled),8,13.3,12.5,12.5
128C,12,12,10,14.6,14,14.9
129N,14,14 to 15 (pooled),12,17.4,17.3,17.4
129C,16,17,14,20.1,20.9,20.1
130N,18,18 to 19 (pooled),17,26.8,24.7,26.5
130C,Chromatin,Chromatin,Chromatin,NA,NA,NA
131,19,20,18,34.5,31.9,31.4
