UniProt Accession for Protein Group,UniProt ID for Protein Group,UniProt Protein Description,Quantified Peptides,,Quantified PSMs (Rep 1),,Normalized TMT 10-plex reporter ion distribution (Replicate 1),,,,,,,,,,Normalized TMT 10-plex reporter ion distribution (Replicate 2),,,,,,,,,,Phenotype discovery and SVM classification of protein localization,,,,,,,,,Subcellular Curation,,,,,,,,
,,,Experiment 1,Experiment 2,Experiment 1,Experiment 2,126,127N,127C,128N,128C,129N,129C,130N,130C,131,126,127N,127C,128N,128C,129N,129C,130N,130C,131,phenoDisco Input,phenoDisco Output,Curated phenoDisco Output,SVM marker set,SVM classification,SVM score,SVM classification (top quartile),Final Localization Assignment,First localization evidence?,Curated Organelles,Cytoskeletal Components,Trafficking Proteins,Protein Complexes,Signaling Cascades,Oct4 Interactome,Nanog Interactome,Sox2 Interactome,Cell Surface Proteins
Q9JHU4,DYHC1_MOUSE,Cytoplasmic dynein 1 heavy chain 1 OS=Mus musculus GN=Dync1h1 PE=1 SV=2 - [DYHC1_MOUSE],175,166,322,273,0.028,0.034,0.024,0.014,0.026,0.045,0.107,0.341,0.059,0.321,0.037,0.064,0.058,0.059,0.067,0.078,0.140,0.208,0.141,0.147,unknown,unknown,unknown,unknown,Peroxisome,0.303,unclassified,unclassified,N,,Dynein,,Dynein,,,,,
Q9QXS1-3,PLEC_MOUSE,Isoform PLEC-1 of Plectin OS=Mus musculus GN=Plec - [PLEC_MOUSE]|Isoform PLEC-1A of Plectin OS=Mus musculus GN=Plec - [PLEC_MOUSE],123,150,174,198,0.039,0.134,0.095,0.053,0.084,0.121,0.107,0.128,0.122,0.117,0.033,0.073,0.074,0.062,0.081,0.142,0.190,0.069,0.151,0.125,unknown,unknown,unknown,unknown,60S Ribosome,0.223,unclassified,unclassified,N,,,,,,,,,
Q9ERU9,RBP2_MOUSE,E3 SUMO-protein ligase RanBP2 OS=Mus musculus GN=Ranbp2 PE=1 SV=2 - [RBP2_MOUSE],101,90,181,129,0.021,0.013,0.014,0.009,0.024,0.054,0.116,0.257,0.209,0.284,0.026,0.017,0.023,0.029,0.039,0.071,0.105,0.171,0.304,0.215,unknown,Phenotype 10,unknown,unknown,Nucleus - Chromatin,0.737,unclassified,Nucleus - Chromatin,N,,,,,,,Prey,Prey,
P26039,TLN1_MOUSE,Talin-1 OS=Mus musculus GN=Tln1 PE=1 SV=2 - [TLN1_MOUSE],101,94,167,146,0.120,0.255,0.148,0.091,0.135,0.095,0.041,0.057,0.014,0.043,0.111,0.181,0.141,0.144,0.152,0.119,0.075,0.028,0.017,0.033,unknown,Phenotype 9,Actin cytoskeleton,Actin cytoskeleton,Actin cytoskeleton,1.000,Actin cytoskeleton,Actin cytoskeleton,N,,,,,,,,,
Q8BTM8,FLNA_MOUSE,Filamin-A OS=Mus musculus GN=Flna PE=1 SV=5 - [FLNA_MOUSE],95,88,228,201,0.055,0.139,0.078,0.050,0.077,0.098,0.093,0.171,0.079,0.160,0.062,0.108,0.091,0.086,0.099,0.111,0.117,0.095,0.144,0.087,unknown,unknown,unknown,unknown,Endoplasmic reticulum/Golgi apparatus,0.218,unclassified,unclassified,N,,,,,,,,,
A2ARV4,LRP2_MOUSE,Low-density lipoprotein receptor-related protein 2 OS=Mus musculus GN=Lrp2 PE=1 SV=1 - [LRP2_MOUSE],85,97,119,150,0.000,0.085,0.223,0.166,0.292,0.107,0.041,0.051,0.000,0.036,0.003,0.054,0.147,0.257,0.291,0.143,0.064,0.028,0.005,0.008,unknown,unknown,unknown,unknown,Lysosome,0.681,unclassified,unclassified,N,,,,,,,,,
Q80X90,FLNB_MOUSE,Filamin-B OS=Mus musculus GN=Flnb PE=1 SV=3 - [FLNB_MOUSE],81,80,156,148,0.136,0.189,0.106,0.063,0.100,0.113,0.067,0.080,0.076,0.071,0.130,0.139,0.111,0.109,0.118,0.120,0.089,0.038,0.105,0.040,unknown,unknown,unknown,unknown,Actin cytoskeleton,0.142,unclassified,unclassified,N,,,,,,,,,
Q68FD5,CLH1_MOUSE,Clathrin heavy chain 1 OS=Mus musculus GN=Cltc PE=1 SV=3 - [CLH1_MOUSE],80,68,156,157,0.131,0.173,0.106,0.065,0.128,0.182,0.095,0.044,0.046,0.031,0.117,0.110,0.109,0.100,0.130,0.185,0.133,0.041,0.044,0.032,unknown,unknown,unknown,unknown,Endoplasmic reticulum/Golgi apparatus,0.273,unclassified,unclassified,N,Vesicles - Clathrin,,,,,,,,High Confidence
Q07113,MPRI_MOUSE,Cation-independent mannose-6-phosphate receptor OS=Mus musculus GN=Igf2r PE=1 SV=1 - [MPRI_MOUSE],75,75,152,142,0.000,0.026,0.078,0.101,0.398,0.267,0.062,0.041,0.004,0.024,0.002,0.026,0.056,0.140,0.312,0.311,0.098,0.038,0.009,0.008,unknown,unknown,unknown,unknown,Endosome,0.322,unclassified,unclassified,N,,,,,,,,,
Q99PL5,RRBP1_MOUSE,Ribosome-binding protein 1 OS=Mus musculus GN=Rrbp1 PE=2 SV=2 - [RRBP1_MOUSE],74,75,152,185,0.009,0.029,0.036,0.025,0.078,0.270,0.212,0.170,0.036,0.134,0.010,0.033,0.057,0.070,0.118,0.270,0.223,0.118,0.056,0.046,Endoplasmic reticulum/Golgi apparatus,Endoplasmic reticulum/Golgi apparatus,Endoplasmic reticulum/Golgi apparatus,Endoplasmic reticulum/Golgi apparatus,Endoplasmic reticulum/Golgi apparatus,1.000,Endoplasmic reticulum/Golgi apparatus,Endoplasmic reticulum/Golgi apparatus,N,,,,,,,,,
Q8VDD5,MYH9_MOUSE,Myosin-9 OS=Mus musculus GN=Myh9 PE=1 SV=4 - [MYH9_MOUSE],74,67,135,134,0.098,0.090,0.058,0.031,0.056,0.116,0.148,0.197,0.036,0.169,0.114,0.074,0.072,0.070,0.083,0.188,0.203,0.120,0.039,0.038,unknown,unknown,unknown,unknown,Endoplasmic reticulum/Golgi apparatus,0.366,unclassified,unclassified,N,,Myosin,,,,,,,High Confidence
Q6PB66,LPPRC_MOUSE,"Leucine-rich PPR motif-containing protein, mitochondrial OS=Mus musculus GN=Lrpprc PE=1 SV=2 - [LPPRC_MOUSE]",71,61,148,128,0.000,0.010,0.010,0.012,0.031,0.085,0.249,0.293,0.041,0.268,0.001,0.011,0.015,0.020,0.029,0.096,0.353,0.294,0.048,0.133,Mitochondrion,Mitochondrion,Mitochondrion,Mitochondrion,Mitochondrion,1.000,Mitochondrion,Mitochondrion,N,,,,,,,,,
Q99PV0,PRP8_MOUSE,Pre-mRNA-processing-splicing factor 8 OS=Mus musculus GN=Prpf8 PE=1 SV=2 - [PRP8_MOUSE],71,73,105,108,0.202,0.013,0.026,0.007,0.019,0.022,0.034,0.112,0.311,0.254,0.134,0.016,0.023,0.018,0.024,0.028,0.034,0.032,0.264,0.426,unknown,unknown,unknown,unknown,Nucleus - Non-chromatin,0.821,unclassified,Nucleus - Non-chromatin,N,,,,Spliceosome,,,,,
P11276,FINC_MOUSE,Fibronectin OS=Mus musculus GN=Fn1 PE=1 SV=4 - [FINC_MOUSE],64,52,100,80,0.000,0.049,0.130,0.104,0.237,0.154,0.099,0.103,0.039,0.085,0.004,0.046,0.094,0.158,0.235,0.181,0.140,0.066,0.053,0.022,unknown,Phenotype 8,unknown,Extracellular matrix,Extracellular matrix,1.000,Extracellular matrix,Extracellular matrix,N,,,,,,,,,
