"","pepNumber","num_NA","s_1","s_2","s_3","s_4","s_5","s_6","s_7","s_8","s_9","s_10","s_11","s_12","s_13","s_14","s_15","s_16","s_17"
"AT3G52930",6,0,0.115112102487277,0.0419661558470896,0.0259808515313569,0.0136622140704198,0.0119628383892098,0.0136988626236687,0.0169693717373837,0.0309899808009804,0.0601102808128798,0.0773678592282036,0.0734887426876977,0.070802252274587,0.0928008759156596,0.0175081650082307,0.186049231444481,0.0297526892005995,0.121777525940275
"AT2G31390",3,1,0.109593371689032,0.0405037477810993,0,0.0051643074888597,0.00608182403597637,0.0162685837588248,0.0205918052697322,0.0596550595030338,0.0669899952342439,0.0570291322574079,0.0516848718093061,0.0497311356123556,0.0925513344921298,0.0195509398964996,0.25215694655856,0.0291321004107149,0.123314844202225
"AT5G38480",5,0,0.0721243416757149,0.0461641882950342,0.0254410899274092,0.0243062977484781,0.0237885210275117,0.033767657725132,0.0480233226926571,0.0612506986481923,0.0637183745853775,0.0536136007635947,0.0448767303480895,0.0304867557094895,0.0693153520415262,0.0237901327940055,0.241069544543073,0.0242653556544721,0.113998035820242
"AT4G02520",2,0,0.0419340958220444,0.0529305463439568,0.0251180428839722,0.0239950111061328,0.0305077901969736,0.02830568569045,0.0494594628703507,0.0898976871146339,0.0727669885395248,0.098277795745918,0.0663982652217807,0.0726852387807103,0.0589593119645952,0.0161021815014258,0.165746362551424,0.014966447329591,0.0919490863365161
"AT5G42980",2,0,0.0651754575058236,0.0515289757055528,0.0324642173682136,0.0422542746055111,0.0363533628278876,0.0380763335118274,0.0550618970786092,0.0660289028941466,0.0622243366213283,0.058449054407609,0.0470543567138436,0.0392906390894421,0.0541834897322607,0.020993486647856,0.186879640589908,0.0357144048000548,0.108267169900126
"AT1G77120",6,0,0.104708080665902,0.0503110592237351,0.0289519393365667,0.0147110957684524,0.0139845559979673,0.0121346852187,0.0267032749838883,0.0423902000546268,0.0534206575128463,0.065737933394034,0.0558856326539945,0.0534399736401673,0.108468396094586,0.0318599720472797,0.15427963690626,0.0398862145266574,0.143126691974336
"AT5G16050",2,0,0.0285787234147441,0.0113636805572162,0.0288427919188464,0.02663102088993,0.0353384689748433,0.0674795525799497,0.0722297657699944,0.0794575196407201,0.0756272408151282,0.0612116334584224,0.0641965291941569,0.0640243826773349,0.0435354296494364,0.0324103272893686,0.267826042864934,0.0164620385462581,0.024784851758716
"AT2G36460",6,1,0.087477329980119,0.0419592701416734,0.0254098142772104,0.0205161954178784,0,0.0186909701425236,0.020438093468506,0.0295103033679552,0.0515395015437779,0.0638430709254534,0.0706166922197749,0.0597608937231203,0.0876392563542932,0.0211348645359061,0.225675830332925,0.0320455904345198,0.143742323134364
"AT5G20290",3,0,0.127554554270646,0.0613981582242529,0.0593652385654747,0.0325635609994133,0.0288081401676478,0.0288967250955321,0.029309174199466,0.0200416450135249,0.0148783962914699,0.0101072107520851,0.0111322728451502,0.00740620213799482,0.124546153093369,0.0482387590655525,0.130149217407757,0.0761864969109975,0.189418094959666
"AT5G19550",6,0,0.110975511568173,0.0366328799383188,0.021482589298938,0.0106021559530169,0.00938491060899358,0.0108690289383923,0.0175825599779722,0.0396276076131649,0.0636935465972697,0.0643376974527905,0.0547586752931452,0.0535900268978538,0.0758762050527423,0.0201049171106363,0.106662842246443,0.0307244831039066,0.273094362348242
