"","pepNumber","num_NA","s_1","s_2","s_3","s_4","s_5","s_6","s_7","s_8","s_9","s_10","s_11","s_12","s_13","s_14","s_15","s_16","s_17"
"AT3G52930",10,0,0.113857313577845,0.0475089455098468,0.0324332316386532,0.0182043940091349,0.0164428112301407,0.0154141128574243,0.0222763303044995,0.033898599852844,0.0639819764890569,0.0858246257079843,0.0802121299832677,0.0784641506925176,0.0763925168545718,0.0159762952052085,0.169497054423217,0.0242373612583785,0.105378150405409
"AT2G31390",7,0,0.0844608675393817,0.0341592136289791,0.0273710423300829,0.0106977630500584,0.00893016403328575,0.0206232612272869,0.0392201374482406,0.0711334651988166,0.0806223750619001,0.0752035389551934,0.0667407383937091,0.0626467342763993,0.0785733715570015,0.0164755731288846,0.208480779616519,0.0221610513046251,0.092499923249636
"AT5G38480",7,0,0.0776958133898983,0.0428133988851719,0.0279338411849491,0.0268711428660209,0.0297048712830619,0.0421363435440687,0.0586680184111821,0.0690228550074689,0.0721541301758778,0.0623251016502683,0.0542674564140148,0.0400156976643483,0.0719711487258416,0.0155615376414634,0.201821646369196,0.0213355990081602,0.0857013977790084
"AT4G02520",6,0,0.044400132315485,0.048145492134726,0.0293070452393482,0.0268279202400582,0.028950907706626,0.033995574649167,0.0553648355400716,0.0963481900425838,0.0879697017905035,0.110989368380367,0.0888909449956587,0.0793687261358054,0.0531171200852426,0.0181869299737251,0.106470031635962,0.022037783781875,0.069629295352795
"AT5G42980",6,0,0.0926644645238904,0.0478556665665304,0.0418322963170552,0.0341613601119994,0.0394178356097772,0.0395748291999215,0.059457511308697,0.0647824753739813,0.0648730775112036,0.0564153017909354,0.0488063139207415,0.0401651040862272,0.0701360290844373,0.0189438685179603,0.139427171639711,0.0227798304136195,0.118706864023312
"AT1G77120",13,0,0.10894415903732,0.0471370495654325,0.0268589704510673,0.0155775114833443,0.0157730086492662,0.0149368862917357,0.0272584638465525,0.0509211104294248,0.0620089796758176,0.0772475165323389,0.0629437486742838,0.0622138201746246,0.0811652620210485,0.028729185201469,0.127050337083089,0.0345731858755259,0.156660805007659
"AT5G16050",4,0,0.0382988882207424,0.0124106416614758,0.0214633125120054,0.0401789224580494,0.022637899201141,0.0413276559318277,0.0500602539302472,0.0528072385457954,0.049982300455265,0.0857248068638067,0.0418137752290673,0.0891295623621487,0.058829524684589,0.0874773089736009,0.138587367020902,0.130713353312103,0.038557188637233
"AT2G36460",8,0,0.0885407451087109,0.0385210510645528,0.031685140049122,0.0188258237755228,0.0131002638502969,0.0139337830043996,0.0171197908400005,0.0324424002056822,0.055380173001963,0.0754104596593875,0.0698738465043484,0.0681419582368259,0.0861649530055475,0.0153689115080825,0.220050342401706,0.0253134635506291,0.130126894233222
"AT5G20290",5,0,0.152277319591001,0.0622523670952921,0.0590029472624827,0.0326449143956213,0.0328511262741262,0.0287140051726797,0.0313960873948833,0.0212228568380667,0.0171373039806795,0.0108803206458927,0.0108231499363153,0.00909691137785531,0.11954747938992,0.0448396683621343,0.112860738184752,0.0668111983331969,0.1876416057651
"AT5G19550",15,0,0.0979724288597148,0.0405794589402372,0.0194545541668737,0.0110514588981269,0.0107943722038118,0.0120352265886845,0.0205326570137259,0.0479119909205957,0.0708158848800213,0.068743041332332,0.0581905072541734,0.0670253423968701,0.0723856619885662,0.0238773973515855,0.108284837385953,0.028271674600432,0.242073505218296
"AT1G04410",4,0,0.067967836564613,0.0381408680488351,0.0199330959803908,0.0201791343385978,0.0197820127511044,0.0237866177895266,0.0440033332561063,0.0674491492269675,0.0811115740830958,0.0728469887070055,0.0645343595728907,0.064727830812803,0.0536470335170993,0.0156134255875127,0.220431076465672,0.0224127652343546,0.103432898063425
"COMB_AT1G33120_AT1G33140",6,0,0.0999413984424505,0.06144909897515,0.0553166335494198,0.0434962027036521,0.0421377409410485,0.0424625942060064,0.0307662735388769,0.0265112634463822,0.0183413240333462,0.0127791957851229,0.012621654012533,0.00949227160167498,0.105533475504031,0.0663994805158779,0.0853821747738978,0.128755533639228,0.158613684331302
"AT1G77940",4,0,0.13848376340805,0.0431740593089738,0.0315744842990347,0.0218091870012452,0.0163016583859408,0.0268760695672018,0.0256581863813103,0.020740906421423,0.0171131018051568,0.0100909666353484,0.0160761076960323,0.00898654096589338,0.127169600847025,0.0548259794627347,0.146905558043122,0.200240642836785,0.0939731869347231
"AT3G55440",10,0,0.107496483205961,0.0370351324702398,0.0173977263348647,0.0133242532804186,0.0223671859652107,0.0271445711831102,0.0503274947764866,0.063324656179268,0.071181985810478,0.0595521726271553,0.0548437891202415,0.0466972053847338,0.0752663595425582,0.0219265902970399,0.155395088542125,0.0290440018693941,0.147675303410715
"AT3G09440",10,0,0.117033481953519,0.042336898559618,0.0201921077714947,0.0220729937484541,0.0225717523856721,0.0223632278200692,0.037110082597767,0.048872520497443,0.0534496531913429,0.0448324100827213,0.0426406906428144,0.0336457233617349,0.0884378635711252,0.0206790226685014,0.158802477565614,0.0464992835137152,0.178459810068394
"AT3G14990",11,0,0.115241838286699,0.0245989321101932,0.0198876719939048,0.0141954461649817,0.0258026953003359,0.025697617090521,0.0461974572726812,0.066010312870725,0.0632390441528414,0.0577254052659038,0.0501557541900212,0.0438157412466933,0.075119799793898,0.0140492478792052,0.189290734730408,0.0232539859495098,0.145718315701478
"AT4G09000",4,0,0.100692715169642,0.0353869811233412,0.0245257364718184,0.0287572542851387,0.0301719171625982,0.0367867007606558,0.0566104887907263,0.0669865545858793,0.0697328566118834,0.0606463640980811,0.0539506517427741,0.0470811934485577,0.0932481449925626,0.0241544881588579,0.170604932935383,0.0303036806073192,0.0703593390547809
"AT5G09810",5,0,0.0556524722235824,0.0684500176468545,0.081975557360504,0.0338579983932129,0.0284335235907138,0.0595379371839944,0.0282807182289619,0.0519378009292325,0.0564816464642617,0.0586020393953384,0.0417454750766925,0.0326732330089084,0.0697321277349481,0.0342544614544655,0.119363738837292,0.127683856976006,0.051337395495031
"AT5G19510",4,0,0.0982053938058403,0.0415576574827785,0.0262141904907295,0.020622551493939,0.0210570954014375,0.0263645975715496,0.0410319552395802,0.069744626364428,0.0886117430873388,0.0845221895749132,0.0725706413061677,0.0701900165735044,0.0987062326047896,0.0113294860837525,0.140416665999004,0.014480993739884,0.0743739631803634
"AT1G07890",10,0,0.0693431629129311,0.032547082084012,0.0173273421353402,0.0169845743959206,0.0159843109695018,0.0374784194282835,0.0404827871580131,0.0804986866217675,0.0836968519671384,0.0895709064546447,0.0699635510338188,0.0633253077334838,0.0635174755236626,0.0147024934943489,0.191329103172643,0.0222348756495508,0.0910130692649395
"AT2G26400",6,0,0.0972673815236729,0.0401839865555317,0.0547167344016355,0.0224071040733968,0.0299394379185916,0.0266940324189441,0.0352728525251047,0.0523572314836105,0.0618793504430936,0.0453515226266504,0.0408158943978008,0.0383614293332,0.0961189901682142,0.0214569738880707,0.176937261098943,0.0274693408516872,0.132770476291852
"AT1G72370",6,0,0.110546089141933,0.0821457620411053,0.054244572242461,0.050421747718355,0.0373350618945388,0.0386876829091931,0.0309145273674461,0.0246436117941374,0.0216124625146277,0.0188098625323113,0.0166918550571671,0.016198813561566,0.1175085945962,0.0395768024776873,0.136737454079215,0.0770174565001089,0.126907643571947
"AT3G04920",3,0,0.0643991909000265,0.0935297051001317,0.0541315977040258,0.0339709433163185,0.0285732602837623,0.0287565946783641,0.0235054323235756,0.0166780899468224,0.0172313081368562,0.00973022864409472,0.00715947495333352,0.00795398862893555,0.105663540451901,0.0459579068510045,0.1954507640348,0.0589732799039694,0.208334694142077
"AT2G30870",7,0,0.106602670016169,0.0414745478734621,0.0206338833952745,0.0102682950429619,0.0123116670707596,0.0265647031970339,0.0489378665703358,0.0689463308810548,0.0703566044549915,0.072155812803123,0.0557703560622822,0.0559401271554834,0.0818616249738394,0.0168948946613587,0.169826159545456,0.0184197739771719,0.123034682319242
"AT5G27850",4,0,0.0676352540616289,0.0653444454465247,0.0764854346606428,0.0325355068425096,0.0504696195716945,0.0440088440803998,0.0428392245113404,0.0297678701682356,0.0206886969564674,0.0154206454790966,0.00946895684652826,0.0127540696904566,0.0964660340066722,0.0653473607708905,0.105397431385578,0.118284778092096,0.147085827429238
"AT1G79550",13,0,0.110166378133127,0.0293320450498383,0.0167377057575676,0.0174949693681794,0.0218065515945679,0.0309066749851838,0.0455646750918968,0.0606850805108786,0.0700095057741203,0.058470674614436,0.0514079525965076,0.0432854240683344,0.0670597523218929,0.0107880479125166,0.187517064126868,0.0123084960401993,0.166459002053885
"AT3G16420",5,0,0.0402141752651525,0.0577315509774204,0.0512880437012474,0.0387587253882241,0.0379915585170438,0.0497973590166632,0.0555039211174345,0.0639310921630211,0.0514920365312765,0.0630129774047661,0.0506843149953232,0.048783551945402,0.0394306837758883,0.105283768908862,0.0250066342252586,0.123613209539136,0.0974763965278802
"COMB_AT1G22780_AT1G34030_AT4G09800",5,0,0.0879857308689476,0.0668282544178726,0.0514131939930291,0.0320992335551336,0.029787304163549,0.0341579405657767,0.0262575155975027,0.0225210212456605,0.0179289773906078,0.0112227042944183,0.0118344954455336,0.0109498053990806,0.126229908384554,0.0531541620308338,0.154188902385364,0.0967859209276234,0.166654929334513
"AT5G20830",27,0,0.142480651731309,0.0505859673056479,0.0306700490641216,0.0118662470411414,0.0120327775345644,0.0080745672683928,0.00833886717048674,0.00982453862110964,0.00959017914620044,0.0117830144157544,0.0236398919493519,0.0426078724974039,0.104205767168195,0.0262022033933532,0.225306057480312,0.0395997383530598,0.243191609859597
"AT1G65930",15,0,0.0889655474082582,0.0376219003925917,0.0202581769570192,0.0108046156841424,0.0107204788176452,0.0121531425556194,0.0266024731760026,0.0509876564946689,0.0672964394878287,0.0699910705225397,0.0602472081818714,0.0539325111430687,0.0715103278306621,0.0159600967000535,0.186899575691097,0.0168484019860311,0.1992003769709
"AT3G04840",2,0,0.101276339475731,0.0380933694072787,0.0368332545712927,0.0416653961974028,0.0347560492411269,0.0337784186925667,0.032815346400298,0.0254252482791671,0.0204839739792131,0.0139397773476699,0.0100753402586562,0.0124249183138704,0.130957993450614,0.054506868676538,0.182928889505884,0.0620903921432159,0.167948424059475
"AT3G52580",2,1,0.143093082580627,0.0641725304234512,0.0322318069977942,0.0169144227990071,0.0273026785045214,0.0256976927551391,0.0298237078315541,0.0248901642416146,0.0175433701051631,0.0149378288434183,0,0.012062435422861,0.104003265704748,0.0406613375592678,0.0983245884914213,0.0935332179485769,0.254807869790834
"AT3G52880",14,0,0.103654572359218,0.0312383452625802,0.0177803669823484,0.0155812065961311,0.0148718311928775,0.0211661852765775,0.0397779576647724,0.0563837838357086,0.0608693233905777,0.0575817709787483,0.0487775317139439,0.0437746241377538,0.0864664855696661,0.0192465192889751,0.186948267258824,0.0199174816404215,0.175963746850876
"AT2G36530",15,0,0.113204220244255,0.0345840821293294,0.0165880306370031,0.0110490833983613,0.013608391613541,0.0161162742743421,0.0348986272885309,0.0588219882971556,0.0759691862955199,0.0852339689917617,0.070857279882808,0.0635079209689373,0.0766223977836075,0.0115915783098394,0.150902641701664,0.0132243450805845,0.153219983102759
"AT1G22300",6,0,0.0801376099976036,0.0470662963011473,0.0282220595100648,0.0262017388822991,0.0324350964100567,0.0348639798874063,0.0512306434397573,0.0642536397355826,0.0581930257756768,0.0621791670705847,0.050576203596368,0.0487961240002634,0.0915829565426183,0.0227632392442796,0.207941142205856,0.0301712614592161,0.0633858159412195
"AT3G13920",2,0,0.065825415011546,0.0283318105453358,0.0373439103554695,0.0638445899100542,0.0790391550539495,0.0499658090217609,0.0643320194465192,0.0602480060063053,0.0475841803305853,0.0426432384075143,0.0269495609610908,0.0314966453639769,0.0877860018194902,0.0468336457222535,0.128959873157502,0.0649045404822913,0.0739115984043552
"AT4G27090",4,0,0.0886668524039732,0.0414005801871561,0.0129393733364901,0.0264425483844963,0.0369175164171939,0.0388077928422563,0.0178902353293984,0.0291136883374934,0.0160817051742056,0.0120281010025099,0.00527365685146095,0.0110699602273515,0.118376072477553,0.0716278998537939,0.114786329273102,0.158767766576534,0.199809921325032
"AT4G27450",5,0,0.124248033273998,0.0345824011311387,0.0266055618102914,0.0209510931374549,0.0318651121489687,0.0242461857470163,0.036403150064697,0.0466096310844485,0.0569479388308618,0.0471262732632337,0.0518975954870224,0.0435119544535904,0.0666374321749703,0.0267101866251939,0.138386814085892,0.0407276860380624,0.182542950643159
"AT5G17920",11,0,0.0842135170427224,0.0264867508235298,0.0269571097923245,0.0186399008113913,0.0194557154977783,0.032032538335981,0.0591004841879369,0.0780314957212569,0.0814597363258441,0.0776439418898819,0.0877206884482058,0.0697359063523306,0.0624390907531465,0.0110795093962117,0.113459216162362,0.0197481244887525,0.131796273970344
"AT2G16060",10,0,0.0439478293602699,0.0442097005214495,0.042790517467041,0.046970581308739,0.0562274339253481,0.0475125424767592,0.0621631477060184,0.0617514616034403,0.0595530168680358,0.0553737414654141,0.0496746881142213,0.0529089781654129,0.0608430781286184,0.0450850704890986,0.119226797370673,0.0621287976606714,0.0896326173687887
"AT3G16400",6,0,0.0724943253859851,0.0559547160496316,0.0183784671877264,0.0116252337022406,0.0209202493370614,0.0192998418689599,0.042714009712968,0.0675309001966504,0.0732676423791971,0.0596158962173259,0.0472309660201089,0.0464800019868151,0.0576023390210121,0.00951562415419343,0.215055482641788,0.0119261690229889,0.170388135115347
"AT3G16450",11,0,0.0378830353943477,0.0384049180484805,0.031439776711617,0.0187594334851186,0.0190562327059985,0.0216056203216064,0.0263030058842262,0.0342492306977886,0.0381939084969929,0.039083635422373,0.0371816865428861,0.0387522022601793,0.0599541301296652,0.239749440013833,0.0446325717261229,0.190405408332466,0.0843457638262973
"COMB_AT1G07920_AT1G07930_AT1G07940_AT5G60390",13,0,0.122665085756009,0.0530320551501019,0.0385499318975426,0.0415320176228216,0.037814089851809,0.0442665252116084,0.0357806895528115,0.0400966852042026,0.0424292675114721,0.0339125309267187,0.0285943693924748,0.027451466664656,0.135290242363874,0.0739599779526843,0.0599686271916398,0.105031909679263,0.0796245280703107
"AT4G39260",4,0,0.14024309285463,0.0380627663905388,0.0360357339886758,0.0286956681398471,0.0332087138011701,0.0412539198992757,0.0744111526890481,0.0602020389069467,0.0825569958388122,0.0617372094904459,0.0560007377767886,0.0484436475154779,0.118478113271118,0.0155787467405599,0.140890705684499,0.0210213060615304,0.00317945095063632
"AT2G01250",8,0,0.064165003061097,0.0668066175882303,0.0822302531936867,0.0565598961686906,0.0481805725373172,0.0503204214515093,0.0381625941310753,0.0316235959019585,0.0284424711108794,0.0172325644785759,0.00784869866946441,0.0100786745906138,0.0899442337315633,0.0458283023160079,0.0932940729685226,0.0859657525263847,0.183316275574423
"COMB_AT5G62690_AT5G62700",4,0,0.0699380998241016,0.0314617327572071,0.0778155473700369,0.0720209304558532,0.0603268259227353,0.0537641701284849,0.0695424865956879,0.0566571054235637,0.0529169422590188,0.0696301171415831,0.0409712626124747,0.0570462831178294,0.0508503776612674,0.0308536769569621,0.0849688846627814,0.0725879776314771,0.0486475794789355
"AT1G57720",7,0,0.109688241289392,0.0289080803960247,0.0193179159321634,0.0102539216397493,0.00826076065467882,0.0128920338817832,0.0283684794768668,0.0537940853105684,0.0729435214207981,0.0688486055330574,0.0540283097754694,0.0594705489070355,0.0878940223794386,0.0161574185102008,0.179987519813692,0.0342816377910193,0.154904897288063
"AT3G53990",8,0,0.0640262391699773,0.0495400803960761,0.0322383583306599,0.0597677921746077,0.0541402898195375,0.0894924381083733,0.0632189638213973,0.0892492899449161,0.0750867784214232,0.055924924297416,0.044377513035786,0.0530472283093342,0.0434721965670293,0.0289436939256869,0.112743043079905,0.0444219475673744,0.0403092230304998
"AT2G30860",6,0,0.140660674354321,0.0368296551634675,0.0213952100537868,0.0138601300813693,0.0167670321339785,0.0248168768896902,0.0401278040072714,0.0693816970601994,0.0867448422499881,0.0773052121844491,0.0614377481569271,0.0669048287668433,0.0679895937774738,0.0109292612566608,0.144044383093227,0.0248027106749924,0.0960023400953544
"AT3G09840",8,0,0.0905970472967344,0.0353444316713556,0.0208805372139593,0.0120885500161596,0.0122842173272917,0.0138199116687004,0.020601394227433,0.0241128370597473,0.0358064782163411,0.0583307911100511,0.0813807583151099,0.0822675769171116,0.0778518338877694,0.0245089035296178,0.271895560330497,0.0351691395068524,0.103060031705269
"AT2G24200",13,0,0.108297092936748,0.0503499795177386,0.0460760569634822,0.0153815802213017,0.0427806475972785,0.0440044508970391,0.0124371872827104,0.0141564732400341,0.0214667986621725,0.0428743142358116,0.0576357760595512,0.0865482771246716,0.0840244610493282,0.0128143953478376,0.0903096187515722,0.0110843030423699,0.259758587070353
"AT5G65430",3,0,0.11258562287589,0.0395965628237048,0.0275171970996167,0.0267262740150039,0.0287515389511169,0.0390384490273449,0.0609672570517735,0.0604032738733957,0.0576266678361383,0.0532940917435773,0.0523109845440727,0.0430231736448551,0.0973159891804535,0.0175424404047343,0.161034220563253,0.0251613989193442,0.0971048574457252
"AT5G65020",14,0,0.0546861122813322,0.0486395068102229,0.02992111576858,0.0159033124145387,0.0164679961106586,0.022691494090166,0.0401012547640489,0.0704359758072673,0.0933607025259505,0.0774902339539568,0.0690578123686488,0.0653759814267787,0.0637634245720457,0.0197099597303917,0.210153228026525,0.0207129025853244,0.0815289867635635
"AT4G35630",8,0,0.115402157675255,0.0085224712221969,0.0102973349629877,0.0307941705246242,0.0374590910466131,0.0479812841448478,0.0633074877338438,0.0788814652219989,0.0736366846592241,0.0697815547041573,0.0551597311619054,0.0468762367337283,0.112847665547009,0.0140721934542204,0.117761528889588,0.0182045175824866,0.0990144247353134
"AT3G44310",3,0,0.100369096882006,0.0253238644289017,0.0143305852550947,0.00915075349087059,0.010429732000167,0.0126298102440333,0.0197670645861675,0.0375620455240044,0.0469760625949455,0.072778616269578,0.0803426880341559,0.0772003632293457,0.058753582061027,0.0153254170631306,0.19907274926556,0.0238654507209392,0.196122118350073
"AT5G10450",4,0,0.0744180578311569,0.0472986307503318,0.0285880911494446,0.0154627095208734,0.0315800063984805,0.0274860673560238,0.0348839224375376,0.0617348346489987,0.0697280596035947,0.0468430203837071,0.0371428900049901,0.0382520021139752,0.0900510563888782,0.0183109824081047,0.258039656735115,0.0384250408269535,0.0817549714418342
"AT3G49910",4,0,0.094627536089388,0.0570612858783309,0.0900491900277847,0.0267064596525016,0.0268506083106819,0.029300864307411,0.0224572902489375,0.0205035972738815,0.0160731915419088,0.0549259136461752,0.00822828961909151,0.0362800733857594,0.108256186864543,0.0501186307692249,0.0946789137191446,0.122115033653724,0.141766935011511
