protein.Accession,marker
AT1G04410,Cytosol
AT1G07890,Cytosol
AT1G23190,Cytosol
AT1G65930,Cytosol
AT1G66200,Cytosol
AT1G70730,Cytosol
AT2G36530,Cytosol
AT3G03250,Cytosol
AT3G03780,Cytosol
AT3G04120,Cytosol
AT3G12580,Cytosol
AT4G14880,Cytosol
AT4G35830,Cytosol
AT5G17920,Cytosol
AT5G19550,Cytosol
AT5G37600,Cytosol
AT5G43330,Cytosol
AT5G51830,Cytosol
AT5G52640,Cytosol
AT5G56000,Cytosol
AT1G61790,ER
AT4G36480,ER
AT1G04310,ER
AT2G40940,ER
AT3G04580,ER
AT3G23150,ER
AT1G66340,ER
AT3G62600,ER
AT2G25110,ER
AT3G04090,ER
AT5G18290,ER
AT3G56950,ER
AT1G67490,ER
AT2G47240,ER
AT1G49430,ER
AT4G00400,ER
AT1G27320,ER
AT2G01830,ER
AT1G15110,ER
AT1G07720,ER
AT1G25450,ER
AT1G68530,ER
AT2G15090,ER
AT2G26250,ER
AT2G28630,ER
AT1G24470,ER
AT1G01120,ER
AT1G67730,ER
AT3G55360,ER
At5g10480,ER
AT1G20575,ER
AT2G40190,ER
AT2G40890,ER
AT4G36220,ER
AT2G30490,ER
AT3G51460,ER
AT3G54960,ER
AT3G52190,ER
AT1G21750,ER
AT2G47470,ER
AT5G60640,ER
AT5G42590,ER
AT4G31500,ER
AT4G37410,ER
AT1G51740,ER
AT1G11890,ER
AT1G27980,ER
AT3G25540,ER
AT4G22330,ER
AT1G76090,ER
AT1G11680,ER
AT5G50375,ER
AT3G02580,ER
AT5G23630,ER
AT3G57650,ER
AT5G60620,ER
AT4G34640,ER
AT5G47990,ER
AT3G60600,ER
AT1G08820,ER
AT5G28540,ER
AT5G42020,ER
AT4G01320,ER
AT4G37640,ER
AT5G61790,ER
AT2G32440,ER
AT1G54990,ER
AT3G44330,ER
AT4G32130,ER
AT5G49945,ER
AT5G17770,ER
AT2G29960,ER
AT1G08450,ER
AT1G09210,ER
AT1G56340,ER
AT4G24190,ER
AT4G15955,ER
AT2G03120,ER
AT5G64510,ER
AT4G14950,ER
AT1G05360,ER
AT5G47120,ER
AT5G12200,ER
AT4G22690,ER
AT2G36305,ER
AT1G05160,ER
AT5G08335,ER
AT5G02040,ER
AT5G07110,ER
AT4G29658,ER
AT4G27540,ER
AT3G11397,ER
AT5G05987,ER
AT1G02050,ER
AT1G06080,ER
AT2G31360,ER
AT1G07810,ER
AT1G08770,ER
AT1G64090,ER
AT2G23640,ER
AT4G11220,ER
AT4G23630,ER
AT5G41600,ER
AT1G67960,ER
AT1G79940,ER
AT4G21180,ER
AT3G08970,ER
AT5G03160,ER
AT1G61770,ER
AT5G62390,ER
AT2G45140,ER
AT3G18490,ER
AT3G61990,ER
AT2G44150,ER
AT3G02430,ER
At4g28485,ER
AT5G24360,ER
AT2G17520,ER
AT5G35080,ER
AT5G45420,ER
AT3G51830,ER
AT1G05320,ER
AT5G48810,ER
AT2G30770,ER
AT1G52400,ER
AT3G09260,ER
AT4G27860,ER
AT5G24290,ER
AT3G15950,ER
AT1G08660,Golgi
AT1G77810,Golgi
AT5G49720,Golgi
AT1G19360,Golgi
AT2G35610,Golgi
AT2G22900,Golgi
AT3G21190,Golgi
AT1G51630,Golgi
AT3G61130,Golgi
AT2G38650,Golgi
AT4G00740,Golgi
AT1G78240,Golgi
AT5G65810,Golgi
AT5G14950,Golgi
AT1G49710,Golgi
AT4G38240,Golgi
AT1G51590,Golgi
AT3G21160,Golgi
AT5G55500,Golgi
AT1G30000,Golgi
AT1G26810,Golgi
AT1G30620,Golgi
AT4G30440,Golgi
AT3G23820,Golgi
AT3G62830,Golgi
AT1G06890,Golgi
AT2G13650,Golgi
AT1G21870,Golgi
AT5G19980,Golgi
AT4G23010,Golgi
AT4G31600,Golgi
AT4G39390,Golgi
AT3G55830,Golgi
AT4G01220,Golgi
AT2G45200,Golgi
AT5G05760,Golgi
AT3G58170,Golgi
AT3G24350,Golgi
AT4G14455,Golgi
AT1G27600,Golgi
AT4G36890,Golgi
AT1G33800,Golgi
AT4G09990,Golgi
AT1G09610,Golgi
AT3G18660,Golgi
AT4G33330,Golgi
AT1G77130,Golgi
AT5G33290,Golgi
AT2G20370,Golgi
AT1G74380,Golgi
AT3G62720,Golgi
AT2G03220,Golgi
AT3G18480,Golgi
AT1G78920,Golgi
AT1G59820,Golgi
AT1G31850,Golgi
AT1G29790,Golgi
AT1G27930,Golgi
AT3G27220,Golgi
AT1G04910,Golgi
AT1G79820,Golgi
AT3G49720,Golgi
AT3G03050,Golgi
AT5G16910,Golgi
AT1G10130,Golgi
AT2G44610,Golgi
AT1G08030,Golgi
AT4G00750,Golgi
AT5G25100,Golgi
AT1G14670,Golgi
AT4G27720,Golgi
AT5G20350,Golgi
AT5G18280,Golgi
AT3G04080,Golgi
AT1G02730,Golgi
AT2G24170,Golgi
AT1G13250,Golgi
AT1G70090,Golgi
AT3G50760,Golgi
AT3G62660,Golgi
AT4G33910,Golgi
AT5G36290,Golgi
AT1G27200,Golgi
AT1G18190,Golgi
AT2G19950,Golgi
AT3G05280,Golgi
AT1G54940,Golgi
AT1G08990,Golgi
AT5G18480,Golgi
AT3G48820,Golgi
AT1G64990,Golgi
AT1G10950,Golgi
AT3G56110,Golgi
AT2G40380,Golgi
AT5G05380,Golgi
AT2G38360,Golgi
AT5G01640,Golgi
AT2G19080,Mitochondrion
AT5G09420,Mitochondrion
AT1G49880,Mitochondrion
At1g20350,Mitochondrion
AT2G37410,Mitochondrion
At5g11690,Mitochondrion
At3g10110,Mitochondrion
At1g18320,Mitochondrion
At1g17530,Mitochondrion
AT1G72750,Mitochondrion
At3g04800,Mitochondrion
AT5G62050,Mitochondrion
AT5G40770,Mitochondrion
AT1G03860,Mitochondrion
AT4G28510,Mitochondrion
AT3G27280,Mitochondrion
AT2G42210,Mitochondrion
AT4G34700,Mitochondrion
AT1G72170,Mitochondrion
AT2G28430,Mitochondrion
AT5G18800,Mitochondrion
AT2G02050,Mitochondrion
AT1G49140,Mitochondrion
AT3G06310,Mitochondrion
AT3G18410,Mitochondrion
AT5G52840,Mitochondrion
AT5G37510,Mitochondrion
AT5G08530,Mitochondrion
AT5G47890,Mitochondrion
AT5G11770,Mitochondrion
AT4G02580,Mitochondrion
AT3G48680,Mitochondrion
ATmG00510,Mitochondrion
AT2G47690,Mitochondrion
AT3G12260,Mitochondrion
AT1G79010,Mitochondrion
AT5G67590,Mitochondrion
AT3G03100,Mitochondrion
AT3G08610,Mitochondrion
ATmG01275,Mitochondrion
ATmG00070,Mitochondrion
AT3G57785,Mitochondrion
AT2G42310,Mitochondrion
AT2G31490,Mitochondrion
AT4G20150,Mitochondrion
AT1G67350,Mitochondrion
ATmG00285,Mitochondrion
AT5G63510,Mitochondrion
AT5G62165,Mitochondrion
ATmG00580,Mitochondrion
ATmG01320,Mitochondrion
AT2G20530,Mitochondrion
AT5G44140,Mitochondrion
AT1G19580,Mitochondrion
AT1G16700,Mitochondrion
ATmG00516,Mitochondrion
ATmG01120,Mitochondrion
ATmG00270,Mitochondrion
AT1G04630,Mitochondrion
AT4G00585,Mitochondrion
AT3G62790,Mitochondrion
AT1G68680,Mitochondrion
AT5G47570,Mitochondrion
AT2G02510,Mitochondrion
AT1G76200,Mitochondrion
AT1G67785,Mitochondrion
AT1G47260,Mitochondrion
AT5G66510,Mitochondrion
AT4G16450,Mitochondrion
AT3G47930,Mitochondrion
AT2G33220,Mitochondrion
AT2G27730,Mitochondrion
AT2G20360,Mitochondrion
ATmG00513,Mitochondrion
ATmG00665,Mitochondrion
ATmG00060,Mitochondrion
AT3G47833,Mitochondrion
AT5G62575,Mitochondrion
AT1G08480,Mitochondrion
AT5G66760,Mitochondrion
AT5G40650,Mitochondrion
AT1G47420,Mitochondrion
AT5G09600,Mitochondrion
AT4G32210,Mitochondrion
AT2G46505,Mitochondrion
AT2G46390,Mitochondrion
AT3G27240,Mitochondrion
AT1G51980,Mitochondrion
AT3G16480,Mitochondrion
AT4G32470,Mitochondrion
AT3G52730,Mitochondrion
AT5G40810,Mitochondrion
AT5G13430,Mitochondrion
AT5G13440,Mitochondrion
AT5G25450,Mitochondrion
AT3G10860,Mitochondrion
AT5G05370,Mitochondrion
AT2G40765,Mitochondrion
ATmG01360,Mitochondrion
ATmG00730,Mitochondrion
AT3G15640,Mitochondrion
AT1G80230,Mitochondrion
AT5G27760,Mitochondrion
AT4G37830,Mitochondrion
AT3G43410,Mitochondrion
AT2G47380,Mitochondrion
AT3G62400,Mitochondrion
AT5G61310,Mitochondrion
AT1G01170,Mitochondrion
AT4G21105,Mitochondrion
AT1G72020,Mitochondrion
AT2G16460,Mitochondrion
AT4G00860,Mitochondrion
AT5G08670,Mitochondrion
ATmG01190,Mitochondrion
AT2G07698,Mitochondrion
AT5G47030,Mitochondrion
ATmG01080,Mitochondrion
AT5G08680,Mitochondrion
AT5G08690,Mitochondrion
ATmG00410,Mitochondrion
ATmG01170,Mitochondrion
AT5G59613,Mitochondrion
AT1G51650,Mitochondrion
AT5G13450,Mitochondrion
AT3G46430,Mitochondrion
AT4G30010,Mitochondrion
AT2G21870,Mitochondrion
AT3G52300,Mitochondrion
AT4G29480,Mitochondrion
AT2G33040,Mitochondrion
ATmG00640,Mitochondrion
ATmG00480,Mitochondrion
AT4G28630,Mitochondrion
AT4G28620,Mitochondrion
AT5G58270,Mitochondrion
AT2G29990,Mitochondrion
AT4G28220,Mitochondrion
AT2G20800,Mitochondrion
AT4G05020,Mitochondrion
AT5G48030,Mitochondrion
AT4G29130,Mitochondrion
AT4G11010,Mitochondrion
AT1G79230,Mitochondrion
AT3G07480,Mitochondrion
AT5G03290,Mitochondrion
AT3G15660,Mitochondrion
AT4G08390,Mitochondrion
AT1G63940,Mitochondrion
AT5G65720,Mitochondrion
AT3G23990,Mitochondrion
AT2G47510,Mitochondrion
AT1G24180,Mitochondrion
AT5G15090,Mitochondrion
AT5G67500,Mitochondrion
AT3G01280,Mitochondrion
AT5G57490,Mitochondrion
AT3G59820,Mitochondrion
AT3G50930,Mitochondrion
AT3G17240,Mitochondrion
AT3G27380,Mitochondrion
AT3G15000,Mitochondrion
AT5G26860,Mitochondrion
AT5G09590,Mitochondrion
AT2G35010,Mitochondrion
AT5G48970,Mitochondrion
AT2G43400,Mitochondrion
AT2G20060,Mitochondrion
AT1G64880,Mitochondrion
At2g42710,Mitochondrion
At3g17465,Mitochondrion
At5g53070,Mitochondrion
At5g27820,Mitochondrion
At4g28360,Mitochondrion
At5g23535,Mitochondrion
At3g15190,Mitochondrion
ATMG00090,Mitochondrion
ATMG00560,Mitochondrion
ATMG00080,Mitochondrion
At4g30930,Mitochondrion
AT1G25380,Mitochondrion
AT3G48850,Mitochondrion
AT2G22500,Mitochondrion
AT3G07770,Mitochondrion
AT2G19860,Mitochondrion
AT1G50460,Mitochondrion
AT3G45770,Mitochondrion
AT1G80270,Mitochondrion
AT5G09950,Mitochondrion
AT4G22220,Mitochondrion
AT1G53000,Mitochondrion
AT1G08220,Mitochondrion
AT1G10270,Mitochondrion
AT5G60730,Mitochondrion
AT1G14620,Mitochondrion
AT4G02820,Mitochondrion
ATmG00160,Mitochondrion
AT4G02510,Plastid
AT2G16640,Plastid
AT3G16620,Plastid
AT5G05000,Plastid
AT3G17970,Plastid
AT1G06950,Plastid
AT2G15290,Plastid
AT4G23430,Plastid
AT5G55710,Plastid
AT2G47840,Plastid
AT2G31530,Plastid
ATCG00500,Plastid
ATCG00120,Plastid
ATCG00480,Plastid
ATCG00130,Plastid
ATCG00670,Plastid
AT1G09130,Plastid
ATCG00900,Plastid
AT1G77590,Plastid
AT3G06510,Plastid
AT4G33520,Plastid
AT4G31780,Plastid
AT4G39460,Plastid
AT2G01140,Plastid
AT2G31190,Plastid
AT4G35630,Plastid
AT5G23040,Plastid
AT1G78620,Plastid
AT3G63410,Plastid
AT3G49560,Plastid
At5g55510,Plastid
At3g62880,Plastid
At4g16160,Plastid
AT2G28900,Plastid
AT1G79560,Plastid
AT5G42480,Plastid
AT4G30580,Plastid
AT5G01500,Plastid
AT3G47520,Plastid
AT2G04030,Plastid
AT2G45290,Plastid
AT3G60750,Plastid
AT2G43950,Plastid
AT4G13430,Plastid
ATCG01130,Plastid
AT1G03680,Plastid
AT1G80600,Plastid
AT2G05620,Plastid
AT2G21170,Plastid
AT2G30950,Plastid
AT4G04020,Plastid
AT1G08640,Plastid
AT1G19800,Plastid
AT3G20320,Plastid
AT1G20830,Plastid
At5g60750,Plastid
At3g07430,Plastid
At4g27990,Plastid
At3g51140,Plastid
At1g65260,Plastid
AT2G15570,Plastid
AT2G02740,Plastid
AT1G54150,Plastid
AT3G22960,Plastid
AT5G42650,Plastid
AT1G26340,Plastid
AT1G74030,Plastid
AT4G31990,Plastid
AT2G24120,Plastid
AT2G36250,Plastid
AT3G52750,Plastid
AT4G03520,Plastid
AT3G11650,Plastid
AT1G56200,Plastid
AT2G32040,Plastid
AT3G23400,Plastid
AT2G01350,Plastid
AT4G34240,Plastid
AT3G58010,Plastid
AT5G19750,Plastid
AT5G12130,Plastid
AT2G28000,Plastid
AT5G34930,Plastid
AT5G55280,Plastid
AT3G17810,Plastid
AT5G24020,Plastid
AT4G32520,Plastid
AT3G52420,Plastid
AT5G26030,Plastid
AT2G16570,Plastid
AT4G25100,Plastid
AT1G63900,Plastid
AT2G20690,Plastid
AT1G15510,Plastid
AT5G20720,Plastid
AT2G26300,PM
AT3G63420,PM
AT4G34460,PM
AT1G14870,PM
AT1G59870,PM
AT2G18960,PM
AT2G45960,PM
AT2G47000,PM
AT3G11820,PM
AT3G17840,PM
AT3G47200,PM
AT4G03550,PM
AT4G30190,PM
AT4G35100,PM
AT4G39400,PM
AT5G08080,PM
AT3G01290,PM
AT4G20260,PM
AT3G18830,PM
AT5G20230,PM
AT5G57110,PM
AT4G13510,PM
AT3G28860,PM
AT3G52400,PM
AT2G23130,PM
AT4G37450,PM
AT1G68725,PM
AT1G76180,PM
AT4G21680,PM
AT3G20410,PM
AT4G04720,PM
AT5G19450,PM
AT5G66210,PM
AT3G51550,PM
AT1G59610,PM
AT5G42080,PM
AT1G52760,PM
AT5G61900,PM
AT1G14830,PM
AT4G12420,PM
AT3G17440,PM
AT2G36910,PM
AT1G01620,PM
AT2G37170,PM
AT3G53420,PM
AT2G38540,PM
AT2G38290,PM
AT1G32090,PM
AT2G27810,PM
AT3G55740,PM
AT2G38120,PM
AT4G33430,PM
AT1G70940,PM
AT2G35350,PM
AT3G03530,PM
AT3G51610,PM
AT2G26650,PM
AT4G30110,PM
AT1G12220,PM
AT5G62740,PM
AT2G35190,PM
AT3G61430,PM
AT4G03330,PM
AT5G44610,PM
AT3G17611,PM
AT4G20940,PM
AT5G27850,Ribosome
AT1G02780,Ribosome
AT3G60245,Ribosome
AT2G27710,Ribosome
AT2G27720,Ribosome
At4g36130,Ribosome
AT2G18020,Ribosome
At3g13580,Ribosome
AT2G44120,Ribosome
AT2G01250,Ribosome
AT3G62870,Ribosome
At2g47610,Ribosome
AT1G18540,Ribosome
AT5G39740,Ribosome
AT3G25520,Ribosome
AT5G02870,Ribosome
AT3G09630,Ribosome
At1g61580,Ribosome
AT1G43170,Ribosome
At1g52300,Ribosome
AT5G02450,Ribosome
At2g37600,Ribosome
At5g02610,Ribosome
At1g69620,Ribosome
AT1G26880,Ribosome
At5g46430,Ribosome
AT4G18100,Ribosome
AT4G29410,Ribosome
AT2G19730,Ribosome
AT4G15000,Ribosome
AT3G22230,Ribosome
AT3G49910,Ribosome
At3g53020,Ribosome
AT5G27770,Ribosome
AT3G05560,Ribosome
At4g02230,Ribosome
AT2G34480,Ribosome
At1g67430,Ribosome
At1g27400,Ribosome
AT4G27090,Ribosome
AT2G20450,Ribosome
At5g23900,Ribosome
AT3G49010,Ribosome
At5g48760,Ribosome
AT3G24830,Ribosome
At3g07110,Ribosome
AT2G27530,Ribosome
AT1G08360,Ribosome
AT1G14320,Ribosome
AT1G74050,Ribosome
AT3G16080,Ribosome
AT3G56020,Ribosome
AT1G74270,Ribosome
AT3G02190,Ribosome
AT2G36170,Ribosome
AT5G67510,Ribosome
AT1G80750,Ribosome
AT2G43460,Ribosome
AT2G33370,Ribosome
AT1G70600,Ribosome
AT1G57860,Ribosome
AT3G59540,Ribosome
AT1G02830,Ribosome
AT2G44860,Ribosome
AT1G07070,Ribosome
AT3G58700,Ribosome
AT4G17390,Ribosome
AT3G55170,Ribosome
AT3G53430,Ribosome
AT1G15250,Ribosome
AT3G16780,Ribosome
AT2G39390,Ribosome
AT5G56710,Ribosome
AT4G16030,Ribosome
AT2G40205,Ribosome
AT5G45775,Ribosome
AT2G25210,Ribosome
AT3G48960,Ribosome
AT2G32220,Ribosome
AT3G14600,Ribosome
AT4G13170,Ribosome
AT5G22440,Ribosome
AT1G41880,Ribosome
AT4G16720,Ribosome
AT2G47570,Ribosome
AT1G74060,Ribosome
AT1G09690,Ribosome
AT4G14320,Ribosome
AT4G31985,Ribosome
AT3G09500,Ribosome
AT3G28900,Ribosome
AT1G77940,Ribosome
AT4G26230,Ribosome
AT3G08520,Ribosome
AT3G10950,Ribosome
AT1G09590,Ribosome
AT3G53740,Ribosome
AT1G29965,Ribosome
AT3G51190,Ribosome
AT3G06700,Ribosome
AT3G11120,Ribosome
AT3G55750,Ribosome
AT3G06680,Ribosome
