Lead gene name,Lead ID,Protein names,Majority protein IDs,Organellar markers,Profiled in how many +EGF Maps,Log2 Ratio H/L EGF1_03K,Log2 Ratio H/L EGF1_06K,Log2 Ratio H/L EGF1_12K,Log2 Ratio H/L EGF1_24K,Log2 Ratio H/L EGF1_80K,Log2 Ratio H/L EGF2_03K,Log2 Ratio H/L EGF2_06K,Log2 Ratio H/L EGF2_12K,Log2 Ratio H/L EGF2_24K,Log2 Ratio H/L EGF2_80K,Log2 Ratio H/L EGF3_03K,Log2 Ratio H/L EGF3_06K,Log2 Ratio H/L EGF3_12K,Log2 Ratio H/L EGF3_24K,Log2 Ratio H/L EGF3_80K
AAAS,Q9NRG9,Aladin,Q9NRG9;Q9NRG9-2,,3,-0.088193391,-0.599090515,-0.5797925,0.526068812,1.427498905,0.089633736,-0.635001825,-0.359823331,0.587653021,1.567594121,0.029700234,-0.612130179,-0.562282212,0.484395963,1.523110259
AAK1,Q2M2I8,AP2-associated protein kinase 1,Q2M2I8;Q2M2I8-2,,3,-0.269477421,0.471967788,-0.067984197,-0.439617637,-0.3045228,0.218843151,0.288890061,0.056028539,-0.55351084,-0.684271483,-0.342305123,0.271186602,0.25918208,-0.185490592,-0.768026989
AARS,P49588,"Alanine--tRNA ligase, cytoplasmic",P49588;P49588-2,,3,-1.115847557,-0.569757553,-1.088653556,-1.28008937,-0.817104341,-1.191260755,-0.606649703,-1.228334117,-1.324166007,-0.797789176,-0.605046915,-0.224519559,-0.667813392,-1.301088128,-0.620312505
AARS2,Q5JTZ9,"Alanine--tRNA ligase, mitochondrial",Q5JTZ9,Mitochondrion,3,-1.230126726,-0.775194115,3.081135072,3.371419465,3.110446769,-1.178828601,-0.770904339,2.975593504,4.626497544,4.258594299,-0.813778373,-0.394714286,2.539307727,2.722444165,2.260025656
ABCB1,P08183,Multidrug resistance protein 1,P08183;P08183-2,Plasma membrane,3,-0.724945261,-0.620068576,-0.309788539,0.902498123,2.554932602,-0.300022018,-0.289386398,0.220329955,1.549817006,3.322937628,-0.254375419,-0.306519733,-0.006970603,1.065296567,2.784755229
ABCB6,Q9NP58,"ATP-binding cassette sub-family B member 6, mitochondrial",Q9NP58;Q9NP58-4,,3,0.966947205,-0.873740741,-1.020398977,0.648649507,2.511847513,1.083928155,-0.815960968,-0.963475567,0.811142174,2.425083274,1.112700133,-0.648077735,-0.786522065,0.644686943,2.157561176
ABCB7,O75027,"ATP-binding cassette sub-family B member 7, mitochondrial",O75027;O75027-2;O75027-3,,2,-1.175077399,-0.72142045,2.447552749,4.071419456,6.917312401,-1.22516024,-0.749984369,3.009705472,3.380452407,2.728312379,,,,,
ABCC1,P33527,Multidrug resistance-associated protein 1,P33527;P33527-9;P33527-2;P33527-3;P33527-4;P33527-5;P33527-6;P33527-7;P33527-8,,3,-0.765179887,-0.423390795,-0.00453719,1.28989347,3.266561688,-0.410869329,-0.1406983,0.439463568,1.780897977,3.181865848,-0.308305048,-0.422462407,0.148869044,1.321235435,3.172983477
ABCC2,Q92887,Canalicular multispecific organic anion transporter 1,Q92887,Plasma membrane,2,,,,,,0.075053365,-0.396403325,-0.443928697,0.799170217,1.90488867,0.023468281,-0.161491897,-0.244240732,0.795766948,2.412049832
ABCC4,O15439,Multidrug resistance-associated protein 4,O15439;O15439-2;O15439-3;O15439-4,,3,-0.834827682,-0.513337107,-0.067258473,0.96369606,0.113433803,-0.538220012,-0.195384676,0.422771219,1.679829119,2.605992056,-0.344904673,-0.310879789,0.303809967,1.370666485,2.247775643
ABCC5,O15440,Multidrug resistance-associated protein 5,O15440;O15440-5,,2,-0.282017662,-0.446206999,-0.460588041,0.434241233,2.207299413,,,,,,-0.194724056,-0.236231514,0.01834931,0.708143082,1.645240513
ABCD1,P33897,ATP-binding cassette sub-family D member 1,P33897,Peroxisome,3,0.503654035,-0.883582008,-0.871653802,0.870739525,3.22060856,0.525066592,-0.837403234,-0.489382344,1.188717409,2.759837596,0.704340813,-0.770928956,-0.757110965,0.97254562,3.051772311
ABCD3,P28288,ATP-binding cassette sub-family D member 3,P28288;P28288-2,Peroxisome,3,0.393965276,-0.805534668,-0.866331268,0.989938264,3.734005034,0.500904007,-0.763635967,-0.496223863,1.334797075,3.920102707,0.802565477,-0.593354492,-0.640029112,1.131721171,3.847295426
