"protein ID","gene name","GI number","protein name","protein description",COG,aproNOG,PSORTb,"LipoP prediction","topology class","BOMP betabarrel","Li OM protein",POI,"selected marker protein",identified,"Cytu OGEprot","Cyti OGEprot","Tmu OGEprot","Tmi OGEprot","Imu OGEprot","Imi OGEprot","Omu OGEprot","Omi OGEprot","Cytu Gelfilt","Cyti Gelfilt","Tmu Gelfilt","Tmi Gelfilt","Imu Gelfilt","Imi Gelfilt","Cytu OGEpep","Cyti OGEpep","Tmu OGEpep","Tmi OGEpep","Imu OGEpep","Imi OGEpep","Omu OGEpep","Omi OGEpep","normalized spectral count proportion (TM)","exclusive localization","predominant localization","P-score Cyt","P-score TM","spectral count proportion (OM)","exclusive localization","predominant localization","P-score IM","P-score OM","predominant localization","KNN classification (based on markers)","KNN classification (based on pred. SCL)","potential SCL change","OM candidate","PP candidate (KNN, l=9 constraint)","PP candidates (KNN, l=8 constraint)","KNN based potential SCL change"
BH00010,,49474832,"hypothetical protein (expressed, exptl. proteomics evidence)",,"COG1806 (Uncharacterized protein conserved in bacteria)",aproNOG01989,Cytoplasmic,,,,,,,1,1,1.35238095238095,41,5.61038961038961,22,22,0,0,0,0,0,23.8441558441558,38,16,1,0,39,28.0519480519481,84,55,10,6,0.98,,TM,0,10,0.08040201005025,,IM,10,0,IM,IM,IM,,,,,
BH00020,maf-1,49474833,"septum formation maf protein",,"COG0424 (Nucleotide-binding protein implicated in inhibition of septum formation)",aproNOG07667,Cytoplasmic,,,,,,,1,6,2.7047619047619,8,8.41558441558442,11,12,1,0,0,1.35238095238095,0,1.4025974025974,2,0,2,2.7047619047619,5,4.20779220779221,16,18,7,3,0.65,,,0.2,0.4,0.16176470588235,,,,,,IM,,,,,,
BH00030,aroE,49474834,"shikimate 5-dehydrogenase","AroE; catalyzes the conversion of shikimate to 3-dehydroshikimate","COG0169 (Shikimate 5-dehydrogenase)","aproNOG03206 (Shikimate 5-dehydrogenase)",Cytoplasmic,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.4025974025974,3,8,0,0,1,TM,TM,0,5.8,0,IM,IM,9.8,0,IM,,IM,,,,,
BH00040,coaE,49474835,"dephospho-CoA kinase","catalyzes the phosphorylation of the 3'-hydroxyl group of dephosphocoenzyme A to form coenzyme A; involved in coenzyme A biosynthesis","COG0237 (Dephospho-CoA kinase)","aproNOG06363 (Dephospho-Coa kinase)",Cytoplasmic,,,,,,,1,6,5.40952380952381,0,0,0,0,0,0,2,0,1,14.025974025974,25,10,0,1.35238095238095,9,16.8311688311688,25,17,1,0,0.73,,,0,3.2,0.02325581395349,,,,,,IM,IM,,,,,
BH00050,dnaQ,49474836,"DNA polymerase III subunit epsilon",,"COG0847 (DNA polymerase III, epsilon subunit and related 3'-5' exonucleases)","aproNOG00081 (DNA polymerase III)",Cytoplasmic,,,,,,,1,3,1.35238095238095,44,22.4415584415584,9,12,0,0,2,2.7047619047619,0,4.20779220779221,5,12,2,8.11428571428571,12,19.6363636363636,40,35,9,1,0.84,,TM,0,9.9,0.09433962264151,,IM,9.9,0,IM,IM,IM,,,,,
BH00060,polA,49474837,"DNA polymerase I","has 3'-5' exonuclease, 5'-3' exonuclease and 5'-3'polymerase activities, primarily functions to fill gaps during DNA replication and repair","COG0258 (5'-3' exonuclease (including N-terminal domain of PolI)); COG0749 (DNA polymerase I - 3'-5' exonuclease and polymerase domains)","aproNOG02527 (DNA polymerase I; has 3'-5' exonuclease, 5'-3' exonuclease and 5'-3'polymerase activities, primarily functions to fill gaps during DNA replication and repair)",Cytoplasmic,,,,,,,1,7,1.35238095238095,21,0,2,3,0,0,23,35.1619047619048,0,7.01298701298701,15,3,4,8.11428571428571,70,99.5844155844156,163,157,26,9,0.72,,,0,0.8,0.09722222222222,,,,,,IM,IM,,,,,
BH00070,,49474838,"hypothetical protein (expressed, exptl. proteomics evidence)",,"COG3568 (Metal-dependent hydrolase)","aproNOG02135 (Endonuclease/Exonuclease/Phosphatase)",Cytoplasmic,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.35238095238095,15,9.81818181818182,53,41,15,4,0.88,,TM,0,9.4,0.16814159292035,,,10,0,,IM,IM,,,,,
BH00080,,49474839,"hypothetical protein (expressed, exptl. proteomics evidence)",,"COG0670 (Integral membrane protein, interacts with FtsH)",aproNOG01888,"Cytoplasmic Membrane",,transmembrane,,,,,1,0,0,76,2.80519480519481,17,2,0,0,0,0,0,2.80519480519481,16,0,0,0,24,8.41558441558442,11,3,3,0,1,TM,TM,0,10,0.08333333333333,,IM,8.9,0.4,IM,IM,IM,,,,,
BH00090,,49474840,"hypothetical protein (expressed, exptl. proteomics evidence)",,"COG0477 (Permeases of the major facilitator superfamily); COG0204 (1-acyl-sn-glycerol-3-phosphate acyltransferase)","aproNOG02282 (Acylglycerophosphoethanolamine acyltransferase; Synthesizes thioester adducts of fatty acids enzymatically to the phosphopantetheine group of acyl carrier protein)","Cytoplasmic Membrane",,transmembrane,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1.4025974025974,24,6,7,0,1,TM,TM,0,9,0.18918918918919,,,9.1,0.4,,IM,IM,,,,,
BH00100,lspA,49474841,"lipoprotein signal peptidase","lipoprotein signal peptidase; integral membrane protein that removes signal peptides from prolipoproteins during lipoprotein biosynthesis","COG0597 (Lipoprotein signal peptidase)","aproNOG08510 (Lipoprotein signal peptidase)","Cytoplasmic Membrane",,transmembrane,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,,,,0,0,0,IM,IM,7.6,0,IM,,IM,,,,,
