Protein ID,Protein Description,Peptides,PSMs,n113,n114,n115,n116,n117,n118,n119,n121,GOannotation,Training
sp|Q62261|SPTB2_MOUSE,"Spectrin beta chain, brain 1 (multiple isoforms)",19,19,0.07108907,0.064952973,0.022755126,0.160352215,0.257454568,0.319576616,0.096524306,0.007295125,PLM-SKE,
sp|P16546|SPTA2_MOUSE,"Spectrin alpha chain, brain (multiple isoforms)",15,15,0.080240904,0.058519925,0.01363671,0.163079674,0.246337116,0.363616695,0.062198056,0.012370921,PLM-SKE-CYT,
sp|Q8BHN3|GANAB_MOUSE,Neutral alpha-glucosidase AB (multiple isoforms),13,13,0.087851147,0.159791689,0.052680924,0.26753555,0.216882734,0.168214496,0.039277755,0.007765706,ERT-GOL-MEL,
sp|P52480|KPYM_MOUSE,Pyruvate kinase isozymes M1/M2 (multiple isoforms),12,12,0.022094645,0.046185121,0.058686674,0.071811511,0.054165244,0.11980417,0.158181147,0.469071487,MIT-NUC,
sp|Q9QXS1|PLEC_MOUSE,Isoform PLEC-1I of Plectin,12,12,0.150883931,0.07848733,0.029299163,0.103162476,0.146562538,0.236870768,0.231985533,0.022748261,null,
sp|Q05793|PGBM_MOUSE,Basement membrane-specific heparan sulfate proteoglycan core protein,11,11,0.056727279,0.118383134,0.038630582,0.213113533,0.238945941,0.221867712,0.09149668,0.020835139,ECM,
sp|Q03265|ATPA_MOUSE,"ATP synthase subunit alpha, mitochondrial",10,10,0.028808528,0.039009753,0.032444217,0.09349467,0.414411378,0.30060141,0.091046402,0.000183641,null,MIT
sp|P27773|PDIA3_MOUSE,Protein disulfide-isomerase A3,9,9,0.031917346,0.155567935,0.040875508,0.30674899,0.236150603,0.176319219,0.042357599,0.010062801,ERT-MEL,ERT-GOL
sp|P58252|EF2_MOUSE,Elongation factor 2,8,8,0.053919447,0.071367295,0.017303587,0.09073455,0.079927534,0.104347483,0.395410042,0.186990062,null,
sp|Q91ZX7|LRP1_MOUSE,Prolow-density lipoprotein receptor-related protein 1,8,8,0.087280752,0.225907104,0.125081306,0.299002711,0.119969066,0.06202345,0.048701844,0.032033767,PLM-NUC,LYS-END
sp|Q78PY7|SND1_MOUSE,Staphylococcal nuclease domain-containing protein 1,8,8,0.063334332,0.098038373,0.026826712,0.161642586,0.179862689,0.188079029,0.265449001,0.016767277,MIT-NUC-MEL-COM,
sp|Q6ZWN5|RS9_MOUSE,40S ribosomal protein S9,8,8,0.02816268,0.065305083,0.014484982,0.104878412,0.100509726,0.115558914,0.470778576,0.100321627,null,RIB
sp|Q3V3R1|C1TM_MOUSE,"Monofunctional C1-tetrahydrofolate synthase, mitochondrial",8,8,0.02183889,0.035275681,0.01348832,0.093547059,0.406731486,0.295608271,0.120907182,0.01260311,MIT,
sp|P30999|CTND1_MOUSE,Catenin delta-1 (multiple isoforms),7,7,0.42763045,0.168515904,0.08747726,0.145994933,0.086723444,0.04948397,0.026030859,0.00814318,PLM-NUC,PLM
sp|P47738|ALDH2_MOUSE,"Aldehyde dehydrogenase, mitochondrial",7,7,0.010012598,0.01991831,0.014276356,0.087371665,0.453191761,0.313477947,0.098046577,0.003704786,MIT,
sp|P98203|ARVC_MOUSE,Armadillo repeat protein deleted in velo-cardio-facial syndrome homolog (multiple isoforms),7,7,0.38655907,0.164038996,0.069558693,0.147947415,0.086679855,0.057551438,0.043614003,0.044050531,PLM-NUC,PLM
sp|P07901|HS90A_MOUSE,Heat shock protein HSP 90-alpha,7,7,0.095839641,0.066999846,0.025418046,0.043717579,0.017672273,0.02115286,0.013353074,0.715846681,MEL-CYT,
sp|P80318|TCPG_MOUSE,T-complex protein 1 subunit gamma,7,7,0.055900774,0.071460786,0.011958773,0.086587951,0.072690594,0.132080417,0.260471771,0.308848934,COM,
sp|Q8VDN2|AT1A1_MOUSE,Sodium/potassium-transporting ATPase subunit alpha-1,7,7,0.331369063,0.178557461,0.079373711,0.173844148,0.122959872,0.090340919,0.022125451,0.001429374,PLM,PLM
sp|P11499|HS90B_MOUSE,Heat shock protein HSP 90-beta,7,7,0.026291064,0.049423251,0.020270977,0.056878078,0.03185157,0.027074863,0.019461101,0.768749096,MIT-MEL,
sp|Q69ZN7|MYOF_MOUSE,Myoferlin (multiple isoforms),6,6,0.185597191,0.286620482,0.063810666,0.250197291,0.119395734,0.076798353,0.017292174,0.00028811,VES,
sp|Q9JHU4|DYHC1_MOUSE,Cytoplasmic dynein 1 heavy chain 1,6,6,0.035082389,0.052011088,0.012924871,0.08151117,0.103109313,0.449109471,0.245047639,0.021204059,SKE,
sp|P25206|MCM3_MOUSE,DNA replication licensing factor MCM3,6,6,0.026409116,0.037718028,0.011845378,0.063081099,0.082250208,0.198910777,0.200457867,0.379327526,null,
sp|P62270|RS18_MOUSE,40S ribosomal protein S18,6,6,0.031267897,0.064849428,0.010375466,0.100475472,0.107451379,0.1211828,0.449679023,0.114718534,null,RIB
sp|P20029|GRP78_MOUSE,78 kDa glucose-regulated protein,6,6,0.088466955,0.143580944,0.055728487,0.267092088,0.222040514,0.168428852,0.046444362,0.008217799,PLM-ERT-MEL-ECM,
sp|Q02248|CTNB1_MOUSE,Catenin beta-1,6,6,0.220255286,0.228326673,0.079221052,0.235603361,0.128660899,0.07518688,0.026352033,0.006393817,PLM-SKE,
sp|Q791V5|MTCH2_MOUSE,Mitochondrial carrier homolog 2,6,6,0.030723828,0.051314606,0.025929,0.120521971,0.393315922,0.286850075,0.091052892,0.000291706,MIT,
sp|P08113|ENPL_MOUSE,Endoplasmin,6,6,0.079412618,0.162886598,0.041602336,0.271585577,0.221614938,0.166846882,0.047967971,0.008083081,PLM-ERT-MEL,
