  Protein IDs,  Majority protein IDs,  Protein names,  Gene names,  Organelle,  Protein complex,  Main organelle_all,  Second organelle_all,  Alpha_all,  Corr_all,  Main organelle_LFD,  Second organelle_LFD,  Alpha_LFD,  Corr_LFD,  Main organelle_HFD3,  Second organelle_HFD3,  Alpha_HFD3,  Corr_HFD3,  Main organelle_HFD12,  Second organelle_HFD12,  Alpha_HFD12,  Corr_HFD12,,,,,,,,,,
O70481,O70481,E3 ubiquitin-protein ligase UBR1,Ubr1,,Proteasome,Cytoplasm,Endosome,0.215841,0.710275,Cytoplasm,Golgi,0.462348,0.701129,Cytoplasm,Golgi,0.428611,0.578728,Cytoplasm,Endosome,0.223572,0.628041,,,,,,,,,,
P61290;A2A4J1;A2A4J3,P61290;A2A4J1;A2A4J3,Proteasome activator complex subunit 3,Psme3,,Proteasome,Cytoplasm,LD,0.116752,0.864711,Cytoplasm,LD,0,0.890127,Cytoplasm,LD,0.368468,0.833511,Cytoplasm,Golgi-LD,0.368989,0.73264,,,,,,,,,,
Q8BHL8,Q8BHL8,Proteasome inhibitor PI31 subunit,Psmf1,,Proteasome,Cytoplasm,Endosome,0,0.927315,Cytoplasm,Golgi,0,0.900964,Cytoplasm,Golgi,0,0.927043,Cytoplasm,Nucleus,0.136021,0.830207,,,,,,,,,,
Q91WG4;Q91WG4-2,Q91WG4;Q91WG4-2,Elongator complex protein 2,Elp2,,Proteasome,Cytoplasm,Golgi,0.31071,0.729852,Cytoplasm,Golgi,0.405253,0.616036,Cytoplasm,Golgi,0.394502,0.71289,Cytoplasm,Peroxisome,0.157159,0.619056,,,,,,,,,,
Q922Y1,Q922Y1,UBX domain-containing protein 1,Ubxn1,,Proteasome,Cytoplasm,Lysosome,0,0.971735,Cytoplasm,Peroxisome,0,0.945461,Cytoplasm,Lysosome,0,0.97209,Cytoplasm,Lysosome,0,0.940222,,,,,,,,,,
Q99NB8;A0A0A6YXU5;Q8C5U9,Q99NB8,Ubiquilin-4,Ubqln4,,Proteasome,Cytoplasm,Endosome,0.182518,0.783086,Cytoplasm,Golgi,0.0935861,0.806955,Cytoplasm,Golgi,0.54751,0.631803,Cytoplasm,Endosome,0.29481,0.553865,,,,,,,,,,
O08759;O08759-2;O08759-3,O08759;O08759-2;O08759-3,Ubiquitin-protein ligase E3A,Ube3a,,Proteasome,Cytoplasm,LD,0,0.891508,Cytoplasm,Golgi,0.196174,0.876765,Cytoplasm,LD,0,0.896043,Cytoplasm,Endosome,0.0730969,0.839362,,,,,,,,,,
O09061,O09061,Proteasome subunit beta type-1,Psmb1,,Proteasome,Cytoplasm,LD,0,0.846988,Cytoplasm,Golgi,0.318393,0.857461,Cytoplasm,Golgi,0.199174,0.837202,Cytoplasm,Endosome,0.0815355,0.892623,,,,,,,,,,
O35226;O35226-4,O35226;O35226-4,26S proteasome non-ATPase regulatory subunit 4,Psmd4,,Proteasome,Cytoplasm,Endosome,0.22658,0.816955,Cytoplasm,Golgi,0.296289,0.821547,Cytoplasm,Golgi,0.270558,0.734007,Cytoplasm,Endosome,0.191948,0.868865,,,,,,,,,,
O35593,O35593,26S proteasome non-ATPase regulatory subunit 14,Psmd14,,Proteasome,Cytoplasm,Endosome,0.205212,0.809908,Cytoplasm,Golgi,0.30794,0.839815,Cytoplasm,Golgi,0.38381,0.823968,Cytoplasm,Endosome,0.202798,0.864159,,,,,,,,,,
O35955,O35955,Proteasome subunit beta type-10,Psmb10,,Proteasome,Cytoplasm,Golgi,0.358678,0.687732,Cytoplasm,Golgi,0.577238,0.676045,Cytoplasm,Golgi,0.429857,0.661254,Cytoplasm,Endosome,0.349703,0.618074,,,,,,,,,,
O55234,O55234,Proteasome subunit beta type-5,Psmb5,,Proteasome,Cytoplasm,LD,0,0.900458,Cytoplasm,LD,0,0.860636,Cytoplasm,LD,0,0.868289,Cytoplasm,Golgi-LD,0,0.891175,,,,,,,,,,
O70435;E0CX62;E0CZ34;F8WH02;E0CYL6;F7BWF9,O70435;E0CX62,Proteasome subunit alpha type-3,Psma3,,Proteasome,Cytoplasm,LD,0,0.904001,Cytoplasm,Golgi,0.165778,0.890311,Cytoplasm,Golgi,0.10834,0.894387,Cytoplasm,Endosome,0.0979022,0.889418,,,,,,,,,,
O88685;A2AGN7;B7ZCF1;F6Q2E3,O88685;A2AGN7;B7ZCF1,26S protease regulatory subunit 6A,Psmc3,,Proteasome,Cytoplasm,Endosome,0.219342,0.851168,Cytoplasm,Golgi,0.289546,0.80575,Cytoplasm,Endosome,0.247286,0.836299,Cytoplasm,Endosome,0.126822,0.898331,,,,,,,,,,
P14685;F7B7L8,P14685,26S proteasome non-ATPase regulatory subunit 3,Psmd3,,Proteasome,Cytoplasm,Endosome,0.222299,0.826124,Cytoplasm,Golgi,0.340023,0.81283,Cytoplasm,Golgi,0.23555,0.803119,Cytoplasm,Endosome,0.168952,0.870515,,,,,,,,,,
P26516,P26516,26S proteasome non-ATPase regulatory subunit 7,Psmd7,,Proteasome,Cytoplasm,Endosome,0.185339,0.866563,Cytoplasm,Golgi,0.234534,0.821609,Cytoplasm,Golgi,0.174853,0.846307,Cytoplasm,Endosome,0.136194,0.899544,,,,,,,,,,
P28063;G3UZW8,P28063;G3UZW8,Proteasome subunit beta type-8;Proteasome subunit beta type,Psmb8,,Proteasome,Cytoplasm,LD,0,0.899042,Cytoplasm,Golgi,0.238034,0.824258,Cytoplasm,Golgi,0.217614,0.764357,Cytoplasm,Golgi-LD,0,0.895751,,,,,,,,,,
P46471;Q8BVQ9,P46471;Q8BVQ9,26S protease regulatory subunit 7,Psmc2,,Proteasome,Cytoplasm,Endosome,0.222655,0.837538,Cytoplasm,Golgi,0.332947,0.829152,Cytoplasm,Golgi,0.242786,0.828718,Cytoplasm,Endosome,0.134454,0.883295,,,,,,,,,,
P49722,P49722,Proteasome subunit alpha type-2,Psma2,,Proteasome,Cytoplasm,LD,0,0.875056,Cytoplasm,Golgi,0.238249,0.821064,Cytoplasm,LD,0,0.873156,Cytoplasm,Endosome,0.117309,0.898894,,,,,,,,,,
P54726;Q8CAP3;Q3TN85,P54726;Q8CAP3;Q3TN85,UV excision repair protein RAD23 homolog A,Rad23a,,Proteasome,Cytoplasm,LD,0,0.972793,Cytoplasm,LD,0,0.926417,Cytoplasm,LD,0,0.973851,Cytoplasm,Golgi-LD,0,0.941336,,,,,,,,,,
P54728,P54728,UV excision repair protein RAD23 homolog B,Rad23b,,Proteasome,Cytoplasm,LD,0,0.932468,Cytoplasm,Peroxisome,0,0.933713,Cytoplasm,LD,0,0.91746,Cytoplasm,Golgi-LD,0,0.921261,,,,,,,,,,
