"Accession number","Accession number","ENV %","STR %","THY %","Total Spectral count","ENV (spectral count)","STR (spectral count)","THY (spectral count)","TOT (spectral count)",LOC_Training,LOC_Test,"cTP (ChloroP)","TargetP (PPDB)","Description (TAIR)","MapManBin (PPDB)","Curated Location (PPDB)","Location (TAIR)","Subcellular loc MF120725","Subplastidial loc MF120725","Subsubplastidial loc 120725","TMHMM (PPDB)","Calc.MW (PPDB)","Calc.PI (PPDB)","Length (nb of aa)","ProteomicsPub. (PPDB)","GFP/YFP loc. (PPDB)"
AT3G25770.1,AT3G25770,70.3711435093584,18.3418152368177,11.287041253824,12,6,5,1,0," -"," -",Y,C,"allene oxide cyclase, putative / early-responsive to dehydration protein, putative","17.7.1.4 hormone metabolism.jasmonate.synthesis-degradation.allene oxidase cyclase",thylakoid-peripheral-stromal-side,"thylakoid membrane (sensu Viridiplantae)",C,ENV,unknown,0,27.63,6.9,253,"15028209(Total chloroplast); 12938931(Total chloroplast envelope); 15322131(Thylakoid-stripped); 16923014(cold-stress responsive chloroplast); "," -"
AT4G32770.1,AT4G32770,70.7995060966199,0,29.2004939033801,10,7,0,3,0," -"," -",Y,C,"tocopherol cyclase, chloroplast / vitamin E deficient 1 (VTE1) / sucrose export de","16.1.3.4 secondary metabolism.isoprenoids.tocopherol biosynthesis.tocopherol cyclase",plastoglobules,"chloroplast inner membrane",C,ENV,unknown,0,54.72,5.94,488,"15028209(Total chloroplast); 16414959(plastoglubular); 16461379(plastoglubular); "," -"
AT5G19940.1,AT5G19940,70.6137442759689,0,29.3862557240311,61,37,0,16,8," -"," -",Y,C,"plastid-lipid associated protein PAP-related / fibrillin-related, weak hit to Pfam","26.31* misc. fibrillins",plastid,"chloroplast envelope",C,ENV,unknown,0,26.48,9.49,239,"15028209(Total chloroplast); 12938931(Total chloroplast envelope); 12766230(Total chloroplast envelope); 15815986(Leaf); "," -"
AT3G26060.1,AT3G26060,24.0747555483573,0.62749402115485,75.2977504304878,72,12,1,39,20," -"," -",Y,C,"peroxiredoxin Q, putative, similar to peroxiredoxin Q (Sedum lineare) GI:6899842; ","21.5 redox.periredoxins",plastid,"thylakoid membrane (sensu Viridiplantae)",C,ENV_STR,unknown,0,23.67,9.53,216,"15028209(Total chloroplast); 12938931(Total chloroplast envelope); 15322131(Thylakoid-stripped); 16414959(plastoglubular); 15815986(Silique); 15815986(seedling); 15815986(Leaf); "," -"
AT5G14740.2,AT5G14740,59.2225331460266,40.4836870042915,0.29377984968184,830,194,424,1,211," -",STR,Y,_,"carbonic anhydrase 2 / carbonate dehydratase 2 (CA2) (CA18), nearly identical to S","8.3 TCA / org. transformation.carbonic anhydrases","plastid stroma","thylakoid membrane (sensu Viridiplantae) & cytoplasm",C,ENV_STR,unknown,0,36.61,7.06,331,"12938931(Total chloroplast envelope); 15322131(Thylakoid-stripped); 16207701(chloroplast stroma); 15815986(seedling); 15815986(Leaf); "," -"
AT3G01500.1,AT3G01500,58.7845352237814,40.8516591174214,0.36380565879719,1330,311,691,2,326," -",STR,-,_,"carbonic anhydrase 1, chloroplast / carbonate dehydratase 1 (CA1), nearly identica","8.3 TCA / org. transformation.carbonic anhydrases","plastid stroma","thylakoid membrane (sensu Viridiplantae)",C,ENV_STR,unknown,0,29.5,5.53,270,"15028209(Total chloroplast); 12938931(Total chloroplast envelope); 12766230(Total chloroplast envelope); 11826309(thylakoid peripheral&lumen); 15322131(Thylakoid-stripped); 16923014(cold-stress responsive chloroplast); 15815986(Silique); 15815986(seedling"," -"
AT3G01500.3,AT3G01500,58.7845352237814,40.8516591174214,0.36380565879719,1330,311,691,2,326," -",STR,-,_,"carbonic anhydrase 1, chloroplast / carbonate dehydratase 1 (CA1), nearly identica","8.3 TCA / org. transformation.carbonic anhydrases","plastid stroma","thylakoid membrane (sensu Viridiplantae)",C,ENV_STR,unknown,0,29.5,5.53,270,"15028209(Total chloroplast); 12938931(Total chloroplast envelope); 12766230(Total chloroplast envelope); 11826309(thylakoid peripheral&lumen); 15322131(Thylakoid-stripped); 16923014(cold-stress responsive chloroplast); 15815986(Silique); 15815986(seedling"," -"
AT3G48870.1,AT3G48870,62.4482639911009,32.6539140320167,4.89782197688234,1629,454,759,37,379," -",STR,-,C,"HSP93-III | Similar to ATP-dependent Clp protease ATP-binding subunit (ClpC), identical t","29.5.5 protein.degradation.serine protease; 29.6 protein.folding","plastid stroma","mitochondrion & chloroplast stroma & chloroplast",C,ENV_STR,unknown,0,105.77,6.06,952,"15028209(Total chloroplast); 12938931(Total chloroplast envelope); MitoDB(Mitochondrial proteome); 14593120(Plastid Stroma); 16207701(chloroplast stroma); "," -"
AT1G72640.1,AT1G72640,34.1913491138668,0,65.8086508861332,3,1,0,2,0," -"," -",Y,C,"similar to expressed protein [Arabidopsis thaliana] (TAIR:At4g31530.1); similar to","35.2 not assigned.unknown",plastid,"thylakoid membrane (sensu Viridiplantae)",C,ENV_THY,unknown,0,33.63,5.55,312,"15028209(Total chloroplast); 15322131(Thylakoid-stripped); "," -"
AT1G74640.1,AT1G74640,100,0,0,2,1,0,0,1," -"," -",Y,C,"expressed protein, contains Pfam profile: PF00561 alpha/beta hydrolase fold | chr1","35.2 not assigned.unknown"," -","thylakoid membrane (sensu Viridiplantae)",C,ENV_THY,unknown,0,41.05,8.3,370,"12938931(Total chloroplast envelope); 15322131(Thylakoid-stripped); "," -"
