Lead gene name,Lead ID,Lead protein name,Majority protein IDs,Organellar markers,Profiled in how many Control Maps,Log2 Ratio H/L Con1_03K,Log2 Ratio H/L Con1_06K,Log2 Ratio H/L Con1_12K,Log2 Ratio H/L Con1_24K,Log2 Ratio H/L Con1_80K,Log2 Ratio H/L Con2_03K,Log2 Ratio H/L Con2_06K,Log2 Ratio H/L Con2_12K,Log2 Ratio H/L Con2_24K,Log2 Ratio H/L Con2_80K,Log2 Ratio H/L Con3_03K,Log2 Ratio H/L Con3_06K,Log2 Ratio H/L Con3_12K,Log2 Ratio H/L Con3_24K,Log2 Ratio H/L Con3_80K
AAAS,Q9NRG9,Aladin,Q9NRG9;Q9NRG9-2,,3,0.131852846,-0.484025209,-0.533847984,0.358396262,1.445461867,0.082975027,-0.532804005,-0.463748121,0.671112175,1.332335577,-0.0244872,-0.602613208,-0.652629148,0.416083074,1.542059898
AAK1,Q2M2I8,AP2-associated protein kinase 1,Q2M2I8;Q2M2I8-2,,3,0.137241192,0.294076649,-0.013057596,-0.545108202,-0.63323298,0.213751646,0.457121458,-0.169777133,-0.07444105,-0.551839082,-0.444812094,0.073546061,0.180147861,-0.631443951,-0.815376928
AARS,P49588,"Alanine--tRNA ligase, cytoplasmic",P49588;P49588-2,,3,-0.828460084,-0.658560702,-1.160266103,-1.315845549,-0.859771047,-0.66701143,-0.789710893,-1.059825731,-1.2481764,-0.787418211,-0.709103819,-0.450045029,-0.866778448,-1.504018373,-0.734659127
AARS2,Q5JTZ9,"Alanine--tRNA ligase, mitochondrial",Q5JTZ9,Mitochondrion,3,-1.128692535,-0.660360895,3.141939542,3.035412768,2.359127552,-1.051967372,-0.70809002,3.18757774,4.710117632,2.979897299,-0.868173488,-0.400358469,1.698663,0.91884416,4.110196178
ABCB1,P08183,Multidrug resistance protein 1,P08183;P08183-2,Plasma membrane,3,-0.784085374,-0.487904618,-0.222683394,0.726831217,2.811820359,-0.414614371,-0.475575194,0.045303168,1.333996118,2.798672679,-0.445735331,-0.34963982,-0.121360968,0.851519191,2.806550911
ABCB10,Q9NRK6,"ATP-binding cassette sub-family B member 10, mitochondrial",Q9NRK6,,2,,,,,,-0.905953148,-0.784408371,2.415488271,3.101044905,3.825683882,-0.92524797,-0.408512062,3.218920627,2.606608046,2.390557636
ABCB6,Q9NP58,"ATP-binding cassette sub-family B member 6, mitochondrial",Q9NP58;Q9NP58-4,,3,1.435895241,-0.735883978,-1.006043104,0.426103701,2.270887703,1.332106387,-0.712196768,-1.040764,0.847515928,2.489928219,1.343805752,-0.632427642,-0.967870938,0.671202777,2.578866275
ABCB7,O75027,"ATP-binding cassette sub-family B member 7, mitochondrial",O75027;O75027-2;O75027-3,,2,,,,,,-1.004103083,-0.679596196,2.928578776,3.96790637,3.737037727,-1.085772272,-0.43684187,3.48658567,3.296413355,3.296662968
ABCC1,P33527,Multidrug resistance-associated protein 1,P33527;P33527-9;P33527-2;P33527-3;P33527-4;P33527-5;P33527-6;P33527-7;P33527-8,,3,-0.784110217,-0.453774735,0.01235413,1.044114297,3.126659049,-0.684572887,-0.495186414,0.308477377,1.624054091,3.066330337,-0.548881224,-0.389243252,0.189539944,1.45691126,0.23780843
ABCC2,Q92887,Canalicular multispecific organic anion transporter 1,Q92887,Plasma membrane,3,0.037171338,-0.3700233,-0.643653325,0.133432007,1.931796502,-0.046280323,-0.490902133,-0.645547839,0.358283723,1.805333734,0.16542962,-0.24692609,-0.534015091,0.231432408,1.430874008
