Protein Group Information,,,,Normalized TMT 10-plex reporter ion values,,,,,,,,,
UniProt ID,UniProt Description,Peptides,PSMs,126,127N,127C,128N,128C,129N,129C,130N,130C,131
Q9JHU4,Cytoplasmic dynein 1 heavy chain 1 GN=Dync1h1 PE=1 SV=2 - [DYHC1_MOUSE],267,594,0.0471,0.0490,0.0380,0.0238,0.0383,0.0609,0.1095,0.2889,0.0706,0.2740
Q9QXS1-3,Isoform PLEC-1 of Plectin GN=Plec - [PLEC_MOUSE]|Isoform PLEC-1A of Plectin GN=Plec - [PLEC_MOUSE],185,299,0.0621,0.1206,0.0937,0.0566,0.0858,0.1074,0.0998,0.1340,0.1169,0.1231
A2ARV4,Low-density lipoprotein receptor-related protein 2 GN=Lrp2 PE=1 SV=1 - [LRP2_MOUSE],144,241,0.0265,0.0888,0.2027,0.1407,0.2292,0.1023,0.0549,0.0728,0.0219,0.0602
Q9ERU9,E3 SUMO-protein ligase RanBP2 GN=Ranbp2 PE=1 SV=2 - [RBP2_MOUSE],139,320,0.0399,0.0270,0.0289,0.0171,0.0385,0.0636,0.1054,0.2358,0.1873,0.2566
Q8BTM8,Filamin-A GN=Flna PE=1 SV=5 - [FLNA_MOUSE],136,453,0.0672,0.1336,0.0853,0.0537,0.0793,0.1031,0.0974,0.1525,0.0833,0.1446
P26039,Talin-1 GN=Tln1 PE=1 SV=2 - [TLN1_MOUSE],128,289,0.1174,0.2304,0.1361,0.0860,0.1184,0.0948,0.0539,0.0701,0.0312,0.0617
Q07113,Cation-independent mannose-6-phosphate receptor GN=Igf2r PE=1 SV=1 - [MPRI_MOUSE],126,341,0.0193,0.0413,0.0920,0.0957,0.3364,0.2191,0.0737,0.0589,0.0209,0.0425
Q80X90,Filamin-B GN=Flnb PE=1 SV=3 - [FLNB_MOUSE],125,311,0.1277,0.1643,0.1036,0.0650,0.0971,0.1102,0.0736,0.0914,0.0827,0.0845
Q91ZU6-4,Isoform 4 of Dystonin GN=Dst - [DYST_MOUSE],113,154,0.0883,0.1085,0.0809,0.0484,0.0764,0.1250,0.1227,0.1332,0.0995,0.1172
Q68FD5,Clathrin heavy chain 1 GN=Cltc PE=1 SV=3 - [CLH1_MOUSE],110,361,0.1283,0.1604,0.1062,0.0690,0.1236,0.1534,0.0885,0.0644,0.0552,0.0511
Q8VDD5,Myosin-9 GN=Myh9 PE=1 SV=4 - [MYH9_MOUSE],106,237,0.1026,0.0923,0.0690,0.0414,0.0643,0.1119,0.1339,0.1736,0.0489,0.1621
Q9QZQ1-2,Isoform 1 of Afadin GN=Mllt4 - [AFAD_MOUSE],106,225,0.0605,0.2634,0.1620,0.1014,0.1295,0.1009,0.0532,0.0513,0.0320,0.0458
P19096,Fatty acid synthase GN=Fasn PE=1 SV=2 - [FAS_MOUSE],98,206,0.3508,0.1447,0.1252,0.0644,0.0851,0.0631,0.0392,0.0494,0.0287,0.0494
Q6PR54,Telomere-associated protein RIF1 GN=Rif1 PE=1 SV=2 - [RIF1_MOUSE],97,250,0.0402,0.0127,0.0158,0.0088,0.0203,0.0427,0.1193,0.2953,0.1709,0.2738
Q71LX4,Talin-2 GN=Tln2 PE=1 SV=3 - [TLN2_MOUSE],97,183,0.0412,0.2481,0.1403,0.0945,0.1178,0.1115,0.0620,0.0772,0.0378,0.0697
Q99PV0,Pre-mRNA-processing-splicing factor 8 GN=Prpf8 PE=1 SV=2 - [PRP8_MOUSE],96,185,0.1778,0.0331,0.0406,0.0201,0.0349,0.0413,0.0563,0.1099,0.2667,0.2193
Q05793,Basement membrane-specific heparan sulfate proteoglycan core protein GN=Hspg2 PE=1 SV=1 - [PGBM_MOUSE],95,167,0.0352,0.0665,0.1119,0.0766,0.1577,0.1696,0.1051,0.1282,0.0384,0.1109
Q6PB66,"Leucine-rich PPR motif-containing protein, mitochondrial GN=Lrpprc PE=1 SV=2 - [LPPRC_MOUSE]",94,295,0.0175,0.0235,0.0241,0.0196,0.0405,0.0993,0.2361,0.2504,0.0543,0.2347
Q61879,Myosin-10 GN=Myh10 PE=1 SV=2 - [MYH10_MOUSE],93,194,0.0679,0.0847,0.0636,0.0398,0.0654,0.1427,0.1591,0.1665,0.0686,0.1417
Q99PL5,Ribosome-binding protein 1 GN=Rrbp1 PE=2 SV=2 - [RRBP1_MOUSE],92,269,0.0281,0.0408,0.0475,0.0344,0.0921,0.2277,0.1737,0.1628,0.0519,0.1411
P11276,Fibronectin GN=Fn1 PE=1 SV=4 - [FINC_MOUSE],90,183,0.0267,0.0627,0.1228,0.0956,0.1870,0.1393,0.0953,0.1156,0.0566,0.0983
Q9WTQ5,A-kinase anchor protein 12 GN=Akap12 PE=1 SV=1 - [AKA12_MOUSE],89,239,0.1530,0.1811,0.1244,0.0738,0.0877,0.0819,0.0966,0.0997,0.0150,0.0869
A2AGT5,Cytoskeleton-associated protein 5 GN=Ckap5 PE=2 SV=1 - [CKAP5_MOUSE],84,182,0.0491,0.0496,0.0388,0.0272,0.0432,0.0656,0.1120,0.2678,0.0991,0.2475
Q5XG71,Small subunit processome component 20 homolog GN=Utp20 PE=2 SV=2 - [UTP20_MOUSE],83,147,0.1290,0.0284,0.0351,0.0168,0.0351,0.0446,0.0720,0.1810,0.2378,0.2201
Q9JKF1,Ras GTPase-activating-like protein IQGAP1 GN=Iqgap1 PE=1 SV=2 - [IQGA1_MOUSE],82,228,0.0850,0.2867,0.1612,0.1071,0.1244,0.0953,0.0439,0.0394,0.0210,0.0358
