"Protein Entry Name"	"Accession No."	"Protein Description"	"Peptides"	"PSMs"	113	114	115	116	117	118	119	121	"markers"	"pd.2013"	"pd.validated"
"1433Z_HUMAN"	"P63104"	"14-3-3 protein zeta/delta"	1	1	0.028677395	0.088549511	0.042474676	0.06100327	0.07831689	0.042604427	0	0.658373831	"unknown"	"unknown"	"unknown"
"2A5E_HUMAN"	"Q16537"	"Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit epsilon isoform"	1	1	0.163844685	0.143437103	0.152013149	0.105010489	0.116502603	0.156342982	0.088706682	0.074142307	"unknown"	"Mitochondrion"	"Mitochondrion"
"2AAA_HUMAN"	"P30153"	"Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform"	1	1	0.180568892	0.163509652	0.055618883	0.098839849	0.122778604	0.045294351	0	0.33338977	"unknown"	"unknown"	"unknown"
"3HIDH_HUMAN"	"P31937"	"3-hydroxyisobutyrate dehydrogenase, mitochondrial"	1	1	0.070916791	0.157541057	0.02314134	0.077933818	0.210768541	0.415079001	0.027380788	0.017238663	"Mitochondrion"	"Mitochondrion"	"Mitochondrion"
"41_HUMAN"	"P11171"	"Protein 4.1 (multiple isoforms)"	1	1	0.351580458	0.231032105	0.047946796	0.13220099	0.193974817	0.043264834	0	0	"unknown"	"PM"	"PM"
"4F2_HUMAN"	"P08195"	"4F2 cell-surface antigen heavy chain (multiple isoforms)"	1	1	0.159833518	0.199256754	0.105984495	0.207767418	0.249538359	0.077619456	0	0	"unknown"	"unknown"	"unknown"
"5HT6R_HUMAN"	"P50406"	"5-hydroxytryptamine receptor 6"	1	1	0.177726554	0.173043766	0.042524108	0.130341032	0.187791916	0.103203305	0.011821122	0.173548197	"PM"	"PM"	"PM"
"A4D1X4_HUMAN"	"A4D1X4"	"LOC392659"	1	1	0.207824782	0.173633582	0	0.180466199	0.145350165	0.14324611	0	0.149479161	"unknown"	"PM"	"PM"
"AAAS_HUMAN"	"Q9NRG9"	"Aladin"	2	2	0.141901925	0.162660468	0.054445198	0.172921117	0.28210989	0.145244162	0.026971753	0.013745488	"unknown"	"ER"	"ER"
"AASS_HUMAN"	"Q9UDR5"	"Alpha-aminoadipic semialdehyde synthase, mitochondrial"	1	1	0.134278529	0.147042686	0.043499858	0.081903871	0.152446729	0.349182863	0.043174859	0.048470605	"Mitochondrion"	"Mitochondrion"	"Mitochondrion"
"AATC_HUMAN"	"P17174"	"Aspartate aminotransferase, cytoplasmic"	2	2	0.120579179	0.112311211	0.037095659	0.066403212	0.054421356	0.013734581	0	0.595454803	"unknown"	"Phenotype 1"	"Cytosol"
