ProteinGroupAc,Replicate1 TMT Set1-126,Replicate1 TMT Set2-126,Replicate2 TMT Set1-126,Replicate2 TMT Set2-126,Replicate1 TMT Set1-127C,Replicate1 TMT Set2-127C,Replicate2 TMT Set1-127C,Replicate2 TMT Set2-127C,Replicate1 TMT Set1-127N,Replicate1 TMT Set2-127N,Replicate2 TMT Set1-127N,Replicate2 TMT Set2-127N,Replicate1 TMT Set1-128C,Replicate1 TMT Set2-128C,Replicate2 TMT Set1-128C,Replicate2 TMT Set2-128C,Replicate1 TMT Set1-128N,Replicate1 TMT Set2-128N,Replicate2 TMT Set1-128N,Replicate2 TMT Set2-128N,Replicate1 TMT Set1-129C,Replicate1 TMT Set2-129C,Replicate2 TMT Set1-129C,Replicate2 TMT Set2-129C,Replicate1 TMT Set1-129N,Replicate1 TMT Set2-129N,Replicate2 TMT Set1-129N,Replicate2 TMT Set2-129N,Replicate1 TMT Set1-130C,Replicate1 TMT Set2-130C,Replicate2 TMT Set1-130C,Replicate2 TMT Set2-130C,Replicate1 TMT Set1-130N,Replicate1 TMT Set2-130N,Replicate2 TMT Set1-130N,Replicate2 TMT Set2-130N,Replicate1 TMT Set1-131,Replicate1 TMT Set2-131,Replicate2 TMT Set1-131,Replicate2 TMT Set2-131,Accession,Description,Coverage,Quantified Proteins,Quantified Unique Peptides,Quantified Peptides,Quantified PSMs,Score - Replicate1 TMT Set1,Coverage -  Replicate1 TMT Set1,Quantified Peptides -  Replicate1 TMT Set1,Quantified PSMs -  Replicate1 TMT Set1,Score - Replicate1 TMT Set2,Coverage -  Replicate1 TMT Set2,Quantified Peptides -  Replicate1 TMT Set2,Quantified PSMs -  Replicate1 TMT Set2,Score - Replicate2 TMT Set1,Coverage -  Replicate2 TMT Set1,Quantified Peptides -  Replicate2 TMT Set1,Quantified PSMs -  Replicate2 TMT Set1,Score - Replicate2 TMT Set2,Coverage -  Replicate2 TMT Set2,Quantified Peptides -  Replicate2 TMT Set2,Quantified PSMs -  Replicate2 TMT Set2,markers,SVM Classification,SVM Score,assignment
P49821,0.01,0.029,0.01,0.029,0.039,0.034,0.082,0.07,0.01,0.072,0.042,0.082,0.11,0.097,0.079,0.098,0.139,0.165,0.132,0.292,0.34,0.238,0.299,0.191,0.227,0.151,0.161,0.068,0.064,0.111,0.08,0.094,0.083,0.069,0.077,0.064,0.01,0.026,0.01,0.01,P49821-2,"Isoform 2 of NADH dehydrogenase [ubiquinone] flavoprotein 1,  mitochondrial OS=Homo sapiens GN=NDUFV1 - [NDUV1_HUMAN]",60.44,2,24,24,63,277.82,28.79,13,18,100.88,13.63,6,7,434.14,50.33,17,19,347.94,47.47,16,19,MITOCHONDRIA,MITOCHONDRIA,1,MITOCHONDRIA
O00217,0.01,0.03,0.01,0.051,0.042,0.041,0.104,0.077,0.01,0.073,0.069,0.077,0.102,0.114,0.087,0.099,0.129,0.152,0.129,0.268,0.323,0.244,0.265,0.188,0.238,0.163,0.163,0.071,0.068,0.121,0.076,0.096,0.074,0.054,0.066,0.06,0.01,0.01,0.013,0.01,O00217,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8,  mitochondrial OS=Homo sapiens GN=NDUFS8 PE=1 SV=1 - [NDUS8_HUMAN]",43.33,1,8,8,41,154.58,20,5,10,71.47,10,2,4,189.92,35.24,6,13,235.13,37.62,6,14,MITOCHONDRIA,MITOCHONDRIA,1,MITOCHONDRIA
O75251,0.01,0.032,0.015,0.06,0.04,0.042,0.093,0.075,0.01,0.067,0.068,0.078,0.117,0.098,0.086,0.102,0.137,0.158,0.121,0.249,0.315,0.251,0.209,0.176,0.217,0.167,0.133,0.068,0.057,0.117,0.135,0.091,0.078,0.063,0.067,0.052,0.011,0.01,0.031,0.01,O75251,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 7,  mitochondrial OS=Homo sapiens GN=NDUFS7 PE=1 SV=3 - [NDUS7_HUMAN]",34.74,2,7,7,27,58.14,15.02,4,5,125.51,31.46,6,7,148.85,15.49,4,6,105.1,18.78,5,9,MITOCHONDRIA,MITOCHONDRIA,1,MITOCHONDRIA
O75380,0.012,0.028,0.018,0.059,0.087,0.038,0.094,0.073,0.017,0.069,0.067,0.071,0.14,0.092,0.086,0.103,0.167,0.178,0.119,0.276,0.267,0.241,0.277,0.159,0.125,0.16,0.147,0.07,0.051,0.122,0.056,0.098,0.054,0.064,0.084,0.058,0.022,0.012,0.01,0.01,O75380,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 6,  mitochondrial OS=Homo sapiens GN=NDUFS6 PE=1 SV=1 - [NDUS6_HUMAN]",49.19,1,6,6,17,125.58,46.77,4,5,91.47,21.77,2,2,85.85,39.52,3,3,186.88,49.19,6,7,MITOCHONDRIA,MITOCHONDRIA,1,MITOCHONDRIA
O43181,0.01,0.03,0.01,0.036,0.034,0.036,0.091,0.07,0.01,0.062,0.042,0.072,0.126,0.098,0.084,0.093,0.146,0.162,0.127,0.285,0.311,0.256,0.3,0.18,0.192,0.171,0.176,0.072,0.073,0.123,0.081,0.092,0.088,0.068,0.082,0.065,0.01,0.01,0.012,0.01,O43181,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 4,  mitochondrial OS=Homo sapiens GN=NDUFS4 PE=1 SV=1 - [NDUS4_HUMAN]",32.57,1,7,7,40,226.75,32.57,7,12,125.98,32.57,6,8,213.86,32,6,10,148.27,32.57,6,10,MITOCHONDRIA,MITOCHONDRIA,1,MITOCHONDRIA
O75489,0.01,0.027,0.01,0.046,0.046,0.045,0.092,0.074,0.012,0.064,0.049,0.079,0.112,0.094,0.097,0.103,0.146,0.145,0.137,0.278,0.307,0.227,0.309,0.189,0.207,0.159,0.173,0.066,0.06,0.113,0.064,0.096,0.066,0.058,0.059,0.052,0.01,0.024,0.01,0.011,O75489,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 3,  mitochondrial OS=Homo sapiens GN=NDUFS3 PE=1 SV=1 - [NDUS3_HUMAN]",62.88,2,21,21,56,256.51,26.14,10,12,145.52,28.03,6,7,391.06,50,15,17,255.74,59.85,16,20,MITOCHONDRIA,MITOCHONDRIA,1,MITOCHONDRIA
O75306,0.01,0.026,0.01,0.03,0.043,0.035,0.07,0.067,0.01,0.065,0.04,0.081,0.115,0.097,0.084,0.098,0.132,0.15,0.131,0.28,0.316,0.251,0.308,0.194,0.232,0.163,0.17,0.077,0.059,0.122,0.076,0.097,0.078,0.06,0.076,0.061,0.01,0.01,0.01,0.01,O75306,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 2,  mitochondrial OS=Homo sapiens GN=NDUFS2 PE=1 SV=2 - [NDUS2_HUMAN]",58.96,2,22,22,69,270.66,38.44,12,15,191.81,28.73,9,11,492.63,38.44,15,23,555.61,48.38,15,20,MITOCHONDRIA,MITOCHONDRIA,1,MITOCHONDRIA
P28331,0.01,0.025,0.01,0.033,0.042,0.035,0.084,0.068,0.01,0.067,0.035,0.077,0.112,0.095,0.083,0.1,0.136,0.163,0.129,0.291,0.325,0.253,0.323,0.195,0.226,0.166,0.175,0.069,0.056,0.115,0.078,0.098,0.066,0.066,0.075,0.06,0.01,0.01,0.01,0.01,P28331-4,"Isoform 4 of NADH-ubiquinone oxidoreductase 75 kDa subunit,  mitochondrial OS=Homo sapiens GN=NDUFS1 - [NDUS1_HUMAN]",71.64,5,45,45,161,648.13,39.85,25,34,525.22,34.93,20,30,984.57,59.4,34,49,1136.86,57.91,31,48,MITOCHONDRIA,MITOCHONDRIA,1,MITOCHONDRIA
O95169,0.01,0.037,0.01,0.06,0.044,0.045,0.119,0.071,0.017,0.074,0.065,0.075,0.124,0.1,0.092,0.097,0.128,0.166,0.124,0.275,0.324,0.229,0.276,0.185,0.227,0.144,0.159,0.069,0.049,0.113,0.052,0.09,0.079,0.082,0.1,0.072,0.01,0.011,0.01,0.01,O95169-3,"Isoform 3 of NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8,  mitochondrial OS=Homo sapiens GN=NDUFB8 - [NDUB8_HUMAN]",49.03,3,7,7,22,78.62,20.65,3,3,107.52,20.65,3,3,189.03,20.65,3,7,208.61,49.03,7,9,MITOCHONDRIA,MITOCHONDRIA,1,MITOCHONDRIA
O43674,0.01,0.022,0.01,0.068,0.033,0.038,0.111,0.074,0.01,0.069,0.072,0.077,0.113,0.106,0.095,0.093,0.138,0.162,0.126,0.3,0.33,0.249,0.284,0.196,0.254,0.177,0.171,0.071,0.071,0.103,0.063,0.095,0.055,0.067,0.076,0.06,0.01,0.01,0.01,0.01,O43674-2,"Isoform 2 of NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5,  mitochondrial OS=Homo sapiens GN=NDUFB5 - [NDUB5_HUMAN]",32.12,2,4,4,18,114.03,16.79,3,5,42.59,16.79,3,3,67.83,32.12,4,4,100.28,32.12,4,6,unknown,MITOCHONDRIA,0.956204879,MITOCHONDRIA
