IPI,UniProt,Name,Log[Intensity],NumPeptides,"Mito (Fr4)","ER (Fr11)","Golgi (Fr13)","ERGDV (Fr14)","EE (Fr16)","RE/TGN (Fr17)","PM (Fr19)","PS (Fr20)","Cyto (Fr30)",Nucleus
IPI00108042,Q9D5J6,"Carbohydrate kinase-like protein ",3.71068397321231,5,,,,,,,,,0.00045125850413,
IPI00108189,P70349,"histidine triad nucleotide binding protein 1 ",4.4838452222837,2,,,,,,,,,2.39727150710578E-05,
IPI00108740,,"Cytochrome c, somatic, similar to",5.140361744,1,0.01780034439146,,,,,,,,,
IPI00109047,Q9D6E9,"glutaredoxin-related protein, similar to",3.723706195,1,0.02408610072864,,,,,,,,,
IPI00109109,P09671,"Superoxide dismutase [Mn], mitochondrial precursor ",4.547909071,3,0.13202830502721,,,,,,,,,
IPI00109142,Q9CWI4,"esterase 10, full insert sequence ",4.72020437528195,5,,,,,,,,,4.65261058825783E-05,
IPI00109169,P70404,"Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial precursor ",3.443402411,3,0.07327341636162,,,,,,,,,
IPI00109199,Q9CWK0,"ribosomal protein L14, cytosolic homolog ",4.58083421422668,5,,,,,,,0.01925836737086,,,
IPI00109212,Q9CWK8,"Sorting nexin 2 ",4.13612691045341,5,,,,0.02482705361864,,,0.00213882586533,,0.0134586534892,
IPI00109221,Q80TQ1,"SAC1 (supressor of actin mutations 1, homolog)-like ",3.782520968,5,0.07755268269513,,,,,,,,,
IPI00109257,Q9EP75,"Cytochrome P450 4F14 ",3.68344360084647,3,,0.01247010393406,,,,,0.03429373214988,,,
IPI00109275,Q9D6M3,"Mitochondrial glutamate carrier 1 ",3.435286326,1,0.00685409469807,,,,,,,,,
IPI00109435,Q9D710,"hypothetical Thioredoxin/Myb DNA binding domain containing protein, full insert sequence ",3.51234427198781,2,,0.016672095229,,,,,,,,
IPI00109442,Q9D6R2,"unclassifiable, full insert sequence ",3.272210088,1,0.042444693957,,,,,,,,,
IPI00109460,Q9D6R8,"CDNA FLJ13008 FIS, CLONE NT2RP3000456, similar to",3.82389696613795,3,,,,0.03012333468154,,,,,,
IPI00109482,Q9CWS0,"dimethylarginine dimethylaminohydrolase 1 ",4.18914881211132,5,,,,,,,,,3.98448808547677E-05,
IPI00109656,Q9D758,"zinc finger protein 289, full insert sequence ",3.38243515514976,2,,,0.04875064682672,,,,,,,
IPI00109764,Q04750,"DNA topoisomerase I ",2.927298472,4,,,,,,,,,,21.9248053736552
IPI00109813,Q9CX86,"Mus musculus 12 days embryo head cDNA, RIKEN full-length enriched library, clone:3010025E17 product:HETEROGENEOUS NUCLEAR RIBONUCLEOPROTEIN A0 (HNRNP A0) homolog ",4.117037638,3,,,,,,,,,,14.8380943874536
IPI00109823,Q8C7E6,"glucan (1,4-alpha-), branching enzyme 1 ",4.27667394410438,5,,,,,,,,,0.00077426264178,
IPI00109966,P01887,"Beta-2-microglobulin precursor ",4.31013158413236,4,,,,,0.02883000851668,0.00634297517176,,,,
IPI00109998,P01899,"H-2 class I histocompatibility antigen, D-B alpha chain precursor ",4.03035676314639,5,,,,,,0.01291673220645,,,,
IPI00110042,P17563,"Selenium-binding protein 1 ",5.87804018305829,5,,,,,,,,,0.0001984436465,
IPI00110224,Q8C7S0,"Alcohol dehydrogenase Pan1b ",3.99107100422949,5,,0.00861939152097,,,0.04520671357301,0.01491543938785,0.00318389020092,,,
IPI00110528,Q9CXN7,"Probable oxidoreductase 3110049J23Rik ",5.09724479055279,5,,,,,,,,,0.00138934036368,
IPI00110556,Q05421,"Cytochrome P450 2E1 ",5.29162588794285,5,,0.01918461071482,,,,0.00325178519393,,,,
IPI00110560,P26039,"Talin 1 ",4.07622108307949,5,,,,,,0.01989617410703,0.00322027830215,,0.00104935847179,
IPI00110588,P26041,"Moesin ",4.02131234422137,5,,,,,,0.00369489213401,,,0.00914771997132,
IPI00110670,P02535,"Keratin, type I cytoskeletal 10 ",3.916302534,2,0.06377526613266,,,,,,,,,2.77810438911378
