Majority protein IDs,Protein names,Gene names,Correlation C2 vs C6,M score,R score,Hit with current cut-offs,Endosomal
P13807;P13807-2,"Glycogen [starch] synthase, muscle",GYS1,0.982,15.426,0.894,1,
Q96BM9,ADP-ribosylation factor-like protein 8A,ARL8A,0.974,7.899,0.902,1,Endosomal
Q96L92;Q96L92-3;Q96L92-2,Sorting nexin-27,SNX27,0.924,6.395,0.793,1,Endosomal
Q9Y5X3,Sorting nexin-5,SNX5,0.855,6.294,0.564,1,Endosomal
Q9P253,Vacuolar protein sorting-associated protein 18 homolog,VPS18,0.971,5.784,0.856,1,Endosomal
Q9H269;Q9H269-2,Vacuolar protein sorting-associated protein 16 homolog,VPS16,0.932,5.376,0.847,1,Endosomal
Q15154;Q15154-2,Pericentriolar material 1 protein,PCM1,0.927,5.361,0.904,1,
Q9UBC2;Q9UBC2-2;Q9UBC2-3;Q9UBC2-4,Epidermal growth factor receptor substrate 15-like 1,EPS15L1,0.970,4.984,0.572,1,
Q96AX1,Vacuolar protein sorting-associated protein 33A,VPS33A,0.759,4.600,0.653,1,Endosomal
P49454,Centromere protein F,CENPF,0.879,3.914,0.774,1,
Q96QD8;Q96QD8-2,Sodium-coupled neutral amino acid transporter 2,SLC38A2,0.919,3.463,0.809,1,Endosomal
P35573;P35573-2;P35573-3,"Glycogen debranching enzyme;4-alpha-glucanotransferase;Amylo-alpha-1,6-glucosidase",AGL,0.907,3.262,0.583,1,
O95359-3;O95359,Transforming acidic coiled-coil-containing protein 2,TACC2,0.946,3.229,0.579,1,
Q9Y315,Deoxyribose-phosphate aldolase,DERA,0.934,3.227,0.803,1,
Q9UBQ0;Q9UBQ0-2,Vacuolar protein sorting-associated protein 29,VPS29,0.921,3.110,0.600,1,Endosomal
P17987,T-complex protein 1 subunit alpha,TCP1,0.895,3.007,0.941,1,
O60493;O60493-4;O60493-2;O60493-3,Sorting nexin-3,SNX3,0.869,2.855,0.596,1,Endosomal
Q96CW1;Q96CW1-2,AP-2 complex subunit mu,AP2M1,0.900,2.801,0.644,1,
O60499;O60499-2,Syntaxin-10,STX10,0.924,2.615,0.630,1,Endosomal
Q13177,Serine/threonine-protein kinase PAK 2;PAK-2p27;PAK-2p34,PAK2,0.896,2.374,0.836,1,
P60604;P60604-2,Ubiquitin-conjugating enzyme E2 G2,UBE2G2,0.951,2.033,0.520,1,
Q96QK1,Vacuolar protein sorting-associated protein 35,VPS35,0.961,2.002,0.602,1,Endosomal
P21283,V-type proton ATPase subunit C 1,ATP6V1C1,0.935,1.978,0.628,1,Endosomal
O60749;O60749-2,Sorting nexin-2,SNX2,0.885,1.824,0.525,1,Endosomal
Q96JC1-2;Q96JC1,Vam6/Vps39-like protein,VPS39,0.869,1.737,0.536,1,Endosomal
P01130;P01130-5;P01130-3;P01130-4;P01130-6;P01130-2,Low-density lipoprotein receptor,LDLR,0.768,1.505,0.742,1,Endosomal
Q9UNI6,Dual specificity protein phosphatase 12,DUSP12,0.930,6.078,0.484,0.000,
Q14257;Q14257-2,Reticulocalbin-2,RCN2,0.931,3.574,0.443,0.000,
Q15904,V-type proton ATPase subunit S1,ATP6AP1,0.799,2.208,0.434,0.000,
P54727,UV excision repair protein RAD23 homolog B,RAD23B,0.804,5.317,0.430,0.000,
Q8IWJ2,GRIP and coiled-coil domain-containing protein 2,GCC2,0.893,7.019,0.383,0.000,
Q9NZD8;Q9NZD8-2,Maspardin,SPG21,0.805,2.625,0.357,0.000,
P25205;P25205-2,DNA replication licensing factor MCM3,MCM3,0.765,4.127,0.313,0.000,
Q16832,Discoidin domain-containing receptor 2,DDR2,0.846,2.669,0.311,0.000,
P60891;P60891-2,Ribose-phosphate pyrophosphokinase 1,PRPS1,0.902,4.245,0.308,0.000,
O75110;O75110-2,Probable phospholipid-transporting ATPase IIA,ATP9A,0.775,3.755,0.298,0.000,
Q9H2H9,Sodium-coupled neutral amino acid transporter 1,SLC38A1,0.831,3.105,0.272,0.000,
P33993;P33993-3;P33993-2,DNA replication licensing factor MCM7,MCM7,0.794,6.830,0.239,0.000,
O94760;O94760-2,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 1",DDAH1,0.994,2.496,0.234,0.000,
Q9NUP9,Protein lin-7 homolog C,LIN7C,0.924,3.798,0.218,0.000,
Q9BYJ9,YTH domain-containing family protein 1,YTHDF1,0.960,2.310,0.212,0.000,
Q9NPA0,ER membrane protein complex subunit 7,EMC7,0.975,2.100,0.176,0.000,
P20908,Collagen alpha-1(V) chain,COL5A1,0.837,1.927,0.175,0.000,
