Protein complex	Protein Names	Gene Names	AC
11S proteasome regulator	"Proteasome activator complex subunit 1;Proteasome activator 28 subunit alpha;Activator of multicatalytic protease subunit 1;11S regulator complex subunit alpha;Interferon gamma up-regulated I-5111 protein;Uncharacterized protein PSME1"	"PSME1;IFI5111"	"Q06323;Q6FHU3;Q6IBM2;A6NJG9;Q86SZ9"
11S proteasome regulator	"Proteasome activator complex subunit 2;Proteasome activator 28 subunit beta;Activator of multicatalytic protease subunit 2;11S regulator complex subunit beta;Full-length cDNA clone CS0DJ015YJ12 of T cells (Jurkat cell line) of Homo sapiens (human) (PSME2 protein)"	PSME2	"Q9UL46;A8MZ76;Q2TNB3;Q6FHK9;Q86SZ7"
14-3-3 complex	"14-3-3 protein sigma;Stratifin;Epithelial cell marker protein 1"	"SFN;HME1"	"P31947-1;P31947;P31947-2"
14-3-3 complex	"14-3-3 protein eta;Protein AS1;cDNA, FLJ93036, highly similar to Homo sapiens tyrosine 3-monooxygenase/tryptophan 5-monooxygenaseactivation protein, eta polypeptide (YWHAH), mRNA;Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, eta polypeptide;Homo sapiens clone CDABP0046 mRNA sequence"	"YWHA1;YWHAH;LL22NC03-44A4.1-004"	"Q04917;B2R6N6;A2IDB2;Q9H4N8"
14-3-3 complex	"14-3-3 protein beta/alpha;Protein kinase C inhibitor protein 1;Protein 1054"	YWHAB	"P31946-1;P31946;A8K9K2;P31946-2"
14-3-3 complex	14-3-3 protein epsilon	"YWHAE;hCG_1988149"	"P62258;B7ZA86;D3DTH5;Q4VJB6;B4DJB0;C9JAV0"
14-3-3 complex	"14-3-3 protein gamma;Protein kinase C inhibitor protein 1"	YWHAG	P61981
14-3-3 complex	"14-3-3 protein eta;Protein AS1;Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, eta polypeptide"	"YWHAH;YWHA1;LL22NC03-44A4.1-004"	"Q04917;B2R6N6;Q9H4N8;A2IDB2"
14-3-3 complex	"14-3-3 protein theta;14-3-3 protein tau;14-3-3 protein T-cell;Protein HS1;Putative uncharacterized protein YWHAQ"	YWHAQ	"P27348;Q53S41;Q53RR5"
14-3-3 complex	"14-3-3 protein zeta/delta;Protein kinase C inhibitor protein 1;cDNA, FLJ79516, highly similar to 14-3-3 protein zeta/delta"	YWHAZ	"P63104;A8K1N0;B0AZS6;Q2F831"
19S proteasome	"26S protease regulatory subunit 4;P26s4;Proteasome 26S subunit ATPase 1"	PSMC1	"P62191;Q53HB3;Q53XL8;Q6NW36"
