Accession,Description,Sum_PEP_Score,Coverage,#Peptides,#PSMs,#Protein_Unique_Peptides,#Unique_Peptides,#Protein_Groups,#AAs,MW_kDa,calc_pI,Checked,Protein_FDR_Confidence,Master,emPAI,Razor_Peptides,Score_Mascot,Coverage_Mascot,#Peptides_Mascot,#PSMs_Mascot,TMT126,127N,127C,128N,128C,129N,129C,130N,130C,131N,131C
Q9UPN3,Microtubule-actin cross-linking factor 1  isoforms 1/2/3/5 OS=Homo sapiens OX=9606 GN=MACF1 PE=1 SV=4,958.9690085,33.40552247,218,324,201,202,1,7388,837.787,5.39,FALSE,High,Master Protein,2.791,11,5939.495674,33.40552247,218,324,7059.5,7127.5,7688.5,10999,9538.9,19870.2,14956.4,11726.1,12236.2,10216.5,5959.5
P35580,Myosin-10 OS=Homo sapiens OX=9606 GN=MYH10 PE=1 SV=3,947.581985,60.98178138,126,385,91,91,1,1976,228.858,5.54,FALSE,High,Master Protein,99,38,8738.403568,60.98178138,126,385,12600.8,17879.1,16487.6,22186.1,17435.8,23819,14806.3,9496.8,8534.8,17684.8,17671.9
Q14789,Golgin subfamily B member 1 OS=Homo sapiens OX=9606 GN=GOLGB1 PE=1 SV=2,913.8769969,57.83982817,168,303,158,160,1,3259,375.79,5,FALSE,High,Master Protein,10.505,5,5765.592022,57.83982817,168,303,4024.8,8931.4,15667.8,21485.2,12443.8,12662.5,8405.5,5493.1,6177.8,4731.8,3889.5
Q09666,Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens OX=9606 GN=AHNAK PE=1 SV=2,817.1371851,54.99151104,162,286,159,159,1,5890,628.699,6.15,FALSE,High,Master Protein,2.612,1,5604.157238,54.99151104,162,286,3100,9262.7,9527.6,13484.8,11751.4,16644.3,9933.3,5085.5,4088.1,2975.6,2940.5
Q9NU22,Midasin OS=Homo sapiens OX=9606 GN=MDN1 PE=1 SV=2,796.2283135,34.57827019,163,264,161,162,1,5596,632.42,5.68,FALSE,High,Master Protein,3.741,1,5400.684185,34.57827019,163,264,3158.9,2547.3,3133.5,4740,4876.7,12522.9,10345,8783.6,12667.4,10706.5,2842.7
Q86UP2,Kinectin OS=Homo sapiens OX=9606 GN=KTN1 PE=1 SV=1,693.9839091,72.36551216,98,280,97,97,1,1357,156.179,5.64,FALSE,High,Master Protein,103.967,0,5343.421671,72.36551216,98,280,5740.8,8455.2,13957.4,27129.6,24665.9,28821.4,13629.6,5229.4,3291.8,2709.7,2281.4
Q00341,Vigilin OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=2,679.644449,64.51104101,81,343,78,80,1,1268,141.368,6.87,FALSE,High,Master Protein,196.832,0,6369.658652,64.51104101,81,343,3490.3,4357.5,6552.2,11401.5,11081.7,23552.1,17913.5,13133,9127.9,4414.5,3071
P16615,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 OS=Homo sapiens OX=9606 GN=ATP2A2 PE=1 SV=1,616.2023016,55.37428023,53,397,31,53,1,1042,114.683,5.34,FALSE,High,Master Protein,598.484,0,11126.1491,55.37428023,53,397,6362.5,6755.5,10253.8,19257.9,19278,26791.1,14477.4,6167.5,4204.7,3108.9,2838.1
P11717,Cation-independent mannose-6-phosphate receptor OS=Homo sapiens OX=9606 GN=IGF2R PE=1 SV=3,615.2220611,48.69530309,95,214,94,95,1,2491,274.199,5.94,FALSE,High,Master Protein,11.893,0,4490.434781,48.69530309,95,214,2425.9,3081.4,4118,7679.4,9617.6,21282.5,15082.4,10041.5,7589.3,3155.6,2179.1
P63261,Actin  cytoplasmic 2 OS=Homo sapiens OX=9606 GN=ACTG1 PE=1 SV=1,586.5552373,79.2,28,1202,3,3,1,375,41.766,5.48,FALSE,High,Master Protein,1105294.141,64,17232.66167,79.2,28,1202,4639.7,12549.4,14243.4,28919.7,31726.2,43325.2,22576.7,12462.6,10451.2,9751.8,45387.1
