Protein.ID,TAIR.annotation,Gene.name,Gene.family,markers,Localization.assigned.by.the.Naive.Bayesian.classifier_start.below.threshold.,Average.Posterior.Probability,Known.Predicted.function,Refered.to.in.discussion.or.figures,Previous.high.confidence.localizations.see.Supplementary.references.,Proteins.with.one.TMD.used.in.the.TMD.analysis,TMD.Span.start,TMD.Span.end,Orientation.of.the.TMD,Number.of.four.plex.labelings.in.which.the.protein.is.observed,LOPIT1A_114,LOPIT1A_115,LOPIT1A_116,LOPIT1A_117,LOPIT1B_114,LOPIT1B_115,LOPIT1B_116,LOPIT1B_117,LOPIT2A_114,LOPIT2A_115,LOPIT2A_116,LOPIT2A_117,LOPIT2B_114,LOPIT2B_115,LOPIT2B_116,LOPIT2B_117,LOPIT3A_114,LOPIT3A_115,LOPIT3A_116,LOPIT3A_117,LOPIT3B_114,LOPIT3B_115,LOPIT3B_116,LOPIT3B_117,LOPIT4A_114,LOPIT4A_115,LOPIT4A_116,LOPIT4A_117,LOPIT4B_114,LOPIT4B_115,LOPIT4B_116,LOPIT4B_117
AT4G32410,"Encodes a cellulose synthase isomer. CESA1 mutants have cellulose defect in the primary cell wall. Multiple lines of evidence suggest that CESA1, along with CESA3 and CESA6 are present in the same plasma membrane complex for cellulose biosynthesis. lasma membrane complex for cellulose biosynthesis. As inferred from the null role of secondary wall-type CesAs, included in a set of five primary wall-type CesAs that may support trichome cell wall thickening.",CESA1,GT2,,Golgi/TGN,0.98,"CAZy GT",,"Golgi LOPIT (Dunkley et al., 2006)",,NA,NA,,8,0.13675,0.29775,0.2915,0.27425,0.1606666667,0.2768333333,0.3031666667,0.2598333333,0.14475,0.32925,0.2945,0.2315,0.1537777778,0.3126666667,0.2813333333,0.2524444444,0.1695,0.256,0.29125,0.2835,0.1801428571,0.2605714286,0.3244285714,0.2348571429,0.2785555556,0.2274444444,0.2592222222,0.2348888889,0.1658333333,0.2406666667,0.3196666667,0.2743333333
AT5G05170,"Cellulose synthase isomer. CESA3 mutants have cellulose defect in the primary cell wall. Multiple lines of evidence suggest that CESA3, along with CESA1 and CESA6 are present in the same plasma membrane complex for cellulose biosynthesis.  As inferred from the null role of secondary wall-type CesAs, included in a set of five primary wall-type CesAs that may support trichome cell wall thickening.",CESA3,GT2,Golgi/TGN,Golgi/TGN,1,"CAZy GT",,"Golgi/TGN GFP (Desprez et al., 2007)",,NA,NA,,7,0.0911428571,0.278,0.3325714286,0.2984285714,0.1068,0.2714,0.3506,0.2716,0.113,0.278,0.332,0.277,0.1182857143,0.2988571429,0.3122857143,0.2702857143,0.1112156955,0.2404653329,0.3161957222,0.3320778583,0.075,0.3485,0.2645,0.3125,0.1785714286,0.2401428571,0.297,0.2845714286,0.2321428571,0.1882857143,0.267,0.3127142857
AT3G28180,"encodes a gene similar to cellulose synthase",CSLC4,GT2,,Golgi/TGN,1,"CAZy GT","novel Golgi protein localised in this study",,,NA,NA,,6,0.119,0.2005,0.3305,0.35,0.116,0.242,0.32,0.322,0.223,0.222,0.331,0.224,0.07,0.274,0.388,0.268,0.222,0.229,0.35,0.199,0.1593333333,0.3276666667,0.274,0.239,0.2337045296,0.2647640166,0.2762831373,0.2252715934,0.2381932065,0.246461824,0.2737948262,0.2415367883
AT3G07330,"Cellulose synthase like protein C6",CSLC6,GT2,,Golgi/TGN,1,"CAZy GT","putative xyloglucan glucan synthase","Golgi LOPIT (Dunkley et al., 2006 and Sadowski et al., 2008)",,NA,NA,,5,0.151,0.212,0.2985,0.3385,0.0996666667,0.2393333333,0.3633333333,0.2983333333,0.05225,0.1875,0.45325,0.30675,0.0591666667,0.22,0.4101666667,0.3105,0.1305523016,0.2401964494,0.3620869152,0.2671435466,0.1088544172,0.3570018619,0.234534982,0.2996222077,0.2271666667,0.2786666667,0.2635,0.231,0.1636482746,0.2617923687,0.2981475351,0.2763620391
AT5G16910,"Cellulose synthase like protein D2. Located in Golgi membranes.",CSLD2,GT2,Golgi/TGN,Golgi/TGN,1,"CAZy GT",,"Golgi YFP (Bernal et al., 2008)",,NA,NA,,6,0.139,0.2633333333,0.295,0.3023333333,0.129,0.269,0.308,0.293,0.0608,0.2902,0.3806,0.268,0.0928571429,0.3274285714,0.3234285714,0.2562857143,0.107,0.289,0.342,0.261,0.1144285714,0.3465714286,0.2848571429,0.2541428571,0.2539569608,0.252934985,0.2584909646,0.2346453812,0.1796435712,0.2522886485,0.2899272659,0.2781345639
AT3G03050,"Cellulose synthase like protein. mutations initiate root  hairs that rupture at their tip soon after initiation. is required for the synthesis of a  noncellulosic wall polysaccharide.",CSLD3,GT2,Golgi/TGN,Golgi/TGN,1,"CAZy GT",,"Golgi YFP (Bernal et al., 2008)",,NA,NA,,4,0.1076666667,0.2783333333,0.3123333333,0.302,0.134,0.32,0.291,0.255,0.063,0.3266666667,0.332,0.2783333333,0.090125,0.31275,0.33,0.267,0.1004460765,0.2682394693,0.3076441057,0.3236279122,0.1197952639,0.3094143512,0.2789329118,0.2918129647,0.2260518271,0.2362815074,0.2601470373,0.2775480767,0.1686148777,0.2319526447,0.289277303,0.3101097237
AT1G75420,"UDP-Glycosyltransferase superfamily protein; FUNCTIONS IN: transferase activity, transferring glycosyl groups; INVOLVED IN: biosynthetic process; LOCATED IN: cellular_component unknown; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Glycosyl transferase, group 1 (InterPro:IPR001296); BEST Arabidopsis thaliana protein match is: UDP-Glycosyltransferase superfamily protein (TAIR:AT1G19710.1); Has 7008 Blast hits to 7002 proteins in 1487 species: Archae - 264; Bacteria - 4740; Metazoa - 98; Fungi - 57; Plants - 126; Viruses - 0; Other Eukaryotes - 1723 (source: NCBI BLink).",,GT4,,Golgi/TGN,1,"CAZy GT","novel Golgi protein localised in this study",,TMD-Golgi,12,34,N-Inside,4,0.125,0.227,0.342,0.306,0.1446666667,0.209,0.3426666667,0.303,0.0695764451,0.2064897027,0.434255057,0.289519801,0.059,0.225,0.425,0.291,0.1482287541,0.2386516619,0.3555958627,0.2574887173,0.0958608373,0.3661492607,0.2232415979,0.3147482076,0.152,0.304,0.307,0.237,0.1333888892,0.2814049164,0.3154600364,0.2696941838
AT5G59070,"UDP-Glycosyltransferase superfamily protein; FUNCTIONS IN: transferase activity, transferring glycosyl groups; INVOLVED IN: biosynthetic process; LOCATED IN: endomembrane system; CONTAINS InterPro DOMAIN/s: Glycosyl transferase, group 1 (InterPro:IPR001296); BEST Arabidopsis thaliana protein match is: UDP-Glycosyltransferase superfamily protein (TAIR:AT4G19460.1); Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink).",,GT4,,Golgi/TGN,0.97,"CAZy GT",,"Golgi LOPIT (Sadowski et al., 2008)",TMD-Golgi,12,34,N-Inside,3,0.09175,0.22025,0.34125,0.347,0.10425,0.22325,0.34275,0.32975,0.0567131003,0.20760622,0.3756798036,0.3599476148,0.0659593911,0.2185139698,0.3770461596,0.3384774325,0.1284936317,0.2271665081,0.3369156221,0.307400763,0.0949146143,0.351320176,0.2200482378,0.3337258412,0.1378,0.2776,0.3344,0.25,0.1155746678,0.2698390749,0.3274682621,0.2870009699
AT1G19710,"UDP-Glycosyltransferase superfamily protein; FUNCTIONS IN: transferase activity, transferring glycosyl groups; INVOLVED IN: biosynthetic process; LOCATED IN: Golgi apparatus; EXPRESSED IN: 21 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Glycosyl transferase, group 1 (InterPro:IPR001296); BEST Arabidopsis thaliana protein match is: UDP-Glycosyltransferase superfamily protein (TAIR:AT1G75420.1); Has 6148 Blast hits to 6144 proteins in 1382 species: Archae - 171; Bacteria - 4108; Metazoa - 97; Fungi - 39; Plants - 107; Viruses - 0; Other Eukaryotes - 1626 (source: NCBI BLink).",,GT4,,Golgi/TGN,1,"CAZy GT",,"Golgi LOPIT (Dunkley et al., 2006)",TMD-Golgi,17,39,N-Inside,2,0.1706572902,0.2160767593,0.3051425661,0.3081493765,0.1754213604,0.1995912508,0.3148479219,0.3101390101,0.1473399689,0.1958054381,0.3488490845,0.307989888,0.161,0.193,0.359,0.288,0.1749578176,0.2238987521,0.321856606,0.2792772182,0.1142804824,0.341417914,0.2274315731,0.3168693987,0.1879907987,0.2585528916,0.2995970729,0.2538896192,0.153,0.261,0.308,0.278
AT3G61130,"Encodes a protein with  putative galacturonosyltransferase activity.",GAUT1,GT8,Golgi/TGN,Golgi/TGN,1,"CAZy GT","homogalacturonan galacturonosyltransferase","Golgi GFP (Atmodjo et al., 2011)",TMD-Golgi,23,45,N-Inside,8,0.1266363636,0.2120909091,0.3611818182,0.3000909091,0.1661818182,0.2325454545,0.3308181818,0.2705454545,0.0666666667,0.2318333333,0.4421666667,0.2593333333,0.1195,0.2572857143,0.3634285714,0.2597857143,0.1293333333,0.2615,0.3476666667,0.2613333333,0.0813,0.3734,0.2216,0.324,0.2311785714,0.2536071429,0.2757142857,0.2394285714,0.139,0.2809,0.3091,0.2709
AT4G38270,"Encodes a protein with  putative galacturonosyltransferase activity.",GAUT3,GT8,,Golgi/TGN,1,"CAZy GT","putative galacturonosyltransferase","Golgi LOPIT (Dunkley et al., 2006)",,NA,NA,,3,0.097,0.179,0.368,0.356,0.27625,0.236,0.25875,0.229,0.1093623409,0.2081188022,0.3604660163,0.321979344,0.1006666667,0.2086666667,0.3553333333,0.3353333333,0.164469947,0.2224913275,0.2963102196,0.3167128965,0.1297944972,0.3146843177,0.2506217235,0.3048934583,0.2212040249,0.2228816831,0.2562255916,0.2997159788,0.230055213,0.2035488875,0.2658160201,0.3005427698
AT2G38650,"Galacturonosyltransferase 7 (GAUT7); CONTAINS InterPro DOMAIN/s: Glycosyl transferase, family 8 (InterPro:IPR002495); BEST Arabidopsis thaliana protein match is: galacturonosyltransferase 4 (TAIR:AT5G47780.1); Has 1759 Blast hits to 1736 proteins in 364 species: Archae - 0; Bacteria - 688; Metazoa - 154; Fungi - 63; Plants - 827; Viruses - 2; Other Eukaryotes - 25 (source: NCBI BLink).",GAUT7,GT8,Golgi/TGN,Golgi/TGN,1,"CAZy GT","homogalacturonan galacturonosyltransferase","Golgi GFP (Atmodjo et al., 2011)",,NA,NA,,8,0.1912,0.2474,0.2808,0.2806,0.176,0.229,0.318,0.27725,0.066,0.1868,0.4498,0.2974,0.088,0.2338125,0.4114375,0.2666875,0.1276,0.2292,0.3209,0.3224,0.068,0.36,0.219,0.353,0.1909090909,0.2705454545,0.2846363636,0.2539090909,0.1816,0.2716,0.2864,0.2602
AT3G25140,"Quasimodo1, GAUT8, encodes a glycosyltransferase, involved in homogalacturonan biosynthesis; mutant shows cell adhesion defect and lower wall uronic acid content.",GAUT8,GT8,,Golgi/TGN,1,"CAZy GT","putative galacturonosyltransferase","Golgi LOPIT (Dunkley et al., 2006 and Sadowski et al., 2008)",TMD-Golgi,21,43,N-Inside,8,0.1077142857,0.1994285714,0.356,0.3367142857,0.0905,0.203875,0.380375,0.32525,0.0412857143,0.1701428571,0.4975714286,0.291,0.051,0.2137777778,0.4473333333,0.288,0.099,0.245,0.39,0.2655,0.0843636364,0.3658181818,0.2501818182,0.2996363636,0.1955333333,0.2814666667,0.29,0.2332,0.126,0.267,0.322,0.285
