Accession,Description,Sum_PEP_Score,Coverage,#Peptides,#PSMs,#Protein_Unique_Peptides,#Unique_Peptides,#Protein_Groups,#AAs,MW_kDa,calc_pI,Checked,Protein_FDR_Confidence,Master,emPAI,Razor_Peptides,Score_Mascot,Coverage_Mascot,#Peptides_Mascot,#PSMs_Mascot,TMT126,127N,127C,128N,128C,129N,129C,130N,130C,131N,131C
Q9UPN3,Microtubule-actin cross-linking factor 1  isoforms 1/2/3/5 OS=Homo sapiens OX=9606 GN=MACF1 PE=1 SV=4,1039.574411,33.608554410000004,222,324,206,206,1,7388,837.787,5.39,FALSE,High,Master Protein,2.791,14,6311.90386,33.608554410000004,222,324,8071.5,9502.6,10450,11965.4,10583.7,18777.1,14485.4,12662,15259.9,11610.7,7004.7
P35580,Myosin-10 OS=Homo sapiens OX=9606 GN=MYH10 PE=1 SV=3,925.643416,56.98380567,115,342,83,83,1,1976,228.858,5.54,FALSE,High,Master Protein,48.308,10,8009.741306,56.98380567,115,342,8490.8,14264,14182.4,15758.4,12128.8,15984.5,9134.9,6921.4,6518.4,16055.6,11587.8
Q09666,Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens OX=9606 GN=AHNAK PE=1 SV=2,903.2502426,57.64006791,181,321,175,176,1,5890,628.699,6.15,FALSE,High,Master Protein,2.817,4,5800.725886,57.64006791,181,321,3917.1,12347.5,13699.2,16838.5,13672.6,19545.5,10737,6617.1,5453.4,4190.4,3278.1
Q14789,Golgin subfamily B member 1 OS=Homo sapiens OX=9606 GN=GOLGB1 PE=1 SV=2,825.82146,56.85793188,169,267,159,160,1,3259,375.79,5,FALSE,High,Master Protein,7.023,5,4958.976371,56.85793188,169,267,3850.3,10775,15849,15974,9091.5,10502.4,6825.2,5787.7,6962.5,5476.4,3426.4
Q9NU22,Midasin OS=Homo sapiens OX=9606 GN=MDN1 PE=1 SV=2,774.0014093,32.39814153,154,247,153,153,1,5596,632.42,5.68,FALSE,High,Master Protein,3.004,1,4730.427304,32.39814153,154,247,3967.7,3610.5,3804.8,4251.3,4538.6,10233.5,9206.2,8958.4,15342.8,11041.1,2620.8
Q86UP2,Kinectin OS=Homo sapiens OX=9606 GN=KTN1 PE=1 SV=1,690.4972723,72.07074429,98,253,97,97,1,1357,156.179,5.64,FALSE,High,Master Protein,56.266,1,4830.339503,72.07074429,98,253,6633.9,9671.9,15073,23791,22991.8,30409.7,12985.1,6144.4,4134.8,3471.7,2917.1
P16615,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 OS=Homo sapiens OX=9606 GN=ATP2A2 PE=1 SV=1,654.1578199,55.47024952,52,353,31,52,1,1042,114.683,5.34,FALSE,High,Master Protein,573.459,0,7678.797735,55.47024952,52,353,6293,8192.3,11272.7,16960.6,18155.1,27109.6,12893,6566.1,4528.8,3005.2,2323.3
P63261,Actin  cytoplasmic 2 OS=Homo sapiens OX=9606 GN=ACTG1 PE=1 SV=1,631.4421147,79.73333333,27,1649,2,2,1,375,41.766,5.48,FALSE,High,Master Protein,406157.599,0,21062.81058,79.73333333,27,1649,383.8,1115.1,1345.2,2171,2279.8,3163.8,1394.4,1040.3,966.6,1140.4,3692.4
P12270,Nucleoprotein TPR OS=Homo sapiens OX=9606 GN=TPR PE=1 SV=3,617.9096531,51.24841303,122,201,116,117,1,2363,267.131,5.02,FALSE,High,Master Protein,14.797,4,3706.620866,51.24841303,122,201,16268,4673.1,4534.9,4530,4669.7,10112.1,9345.2,9354.1,12424.3,9253.9,6398.2
P05023,Sodium/potassium-transporting ATPase subunit alpha-1 OS=Homo sapiens OX=9606 GN=ATP1A1 PE=1 SV=1,614.9582955,53.95894428,57,340,34,35,1,1023,112.824,5.49,FALSE,High,Master Protein,586.802,36,7602.89412,53.95894428,57,340,3680.9,15634.2,19536.1,23637.5,20662.8,23503,11314.7,6141.9,6582.9,3651.3,3219.1
