SeqID	Mono_NLS_Signal26	Transmembrane_signal2	AutoCorrelatuion|d=2|0-100|volume	AutoCorrelatuion|d=3|0-20|hydrophob	AutoCorrelatuion|d=1|-90--1|hydrophob	AutoCorrelatuion|d=6|0-50|charge	AutoCorrelatuion|d=2|0--1|charge	hist_normed|0-20|aminoacid|A	hist_normed|0-20|aminoacid|C	Paacount|d=5|0-100|aminoacid|L	hist|0-110|aminoacid|W	maxPaacount|0-150|aminoacid|K	hist|0-160|aminoacid|D	maxPaacountNormed|-60--1|aminoacid|S	maxPaacount|0--1|aminoacid|I	maxPaacountNormed|0-50|hydrophob|2	Paacount|d=4|0-190|hydrophob|2	Paacount|d=4|0-40|polar|1	hist_normed|0-30|charged|1	hist_normed|0-90|charged|2	maxPaacountNormed|-80--1|charged|2	minPaacount|50--40|charged|2	maxPaacountNormed|0-10|size|0	hist|0-170|aliphatic_helix|2	0005737	0003824	0005783	0003676	0043234	0006096	0002119	n114	n116	n117	n118	n119	n121	GO:0005739	GO:0005783	GO:0005764	
Q8K0C4	22.164	5.835	17803.295102	0.36578	0.26534	34.070782	37.484199	0.025641	0	0.021053	1	0.014493	3	0	0.008163	0.204082	0.129032	0.027778	0.019231	0.086957	0.051282	0.000842	0.111111	47	0	0	1	0	0	0	0	0.15692	0.274052	0.212063	0.189142	0.037732	0	0	0	0	Endoplasmic_reticulum
Q922H2	36.028	2.982	20693.440102	0.295773	0.228742	40.814245	37.398937	0	0	0.031579	1	0.007463	8	0.034483	0.007519	0.102041	0.134409	0.194444	0.02	0.21875	0.025974	0.000514	0	65	0	0	0	0	0	0	0	0.044701	0.131376	0.423967	0.328955	0.046395	0	1	0	0	Mitochondrion
Q9JIK5	95.362	2.902	16229.497755	0.176644	0.129671	37.740555	38.675156	0.03125	0	0	0	0.081633	10	0.008772	0.007177	0.007092	0.016129	0.305556	0.04065	0.132075	0.023333	0.001275	0.222222	77	1	0	0	1	0	0	1	0.095871	0.108369	0.111984	0.257023	0.152431	0.131356	0	0	0	Nucleus_-_Nucleolus
Q61739	45.178	10.024	16986.175204	0.442424	0.313595	36.057048	36.50886	0.064516	0.047619	0.031579	1	0.015038	10	0.008772	0.007435	0.122449	0.075269	0.138889	0.014599	0.066667	0.051282	0.000743	0.111111	59	0	0	0	0	0	0	0	0.252079	0.170925	0.112039	0.085902	0.01897	0.004316	0	0	0	Plasma_membrane
P14115	51.134	2.059	18373.272347	0.156409	0.295385	52.876267	46.664943	0	0	0	1	0.045455	3	0	0.007463	0.010417	0.055172	0.166667	0	0.681818	0.025974	0	0	39	1	0	0	0	0	0	0	0.075886	0.153108	0.163989	0.15674	0.234544	0.108631	0	0	0	60S_Ribosome
P99026	25.776	5.203	15085.798265	0.21266	0.251774	35.801442	36.248256	0.153846	0	0	2	0	8	0.001773	0.008065	0.040816	0.080645	0.027778	0.068966	0.321429	0.008772	0	0.111111	53	1	0	0	0	1	0	0	0.049194	0.036323	0.021308	0	0.041417	0.77484	0	0	0	Proteasome
P99027	34.752	4.071	14276.685306	0.334758	0.231852	35.265423	32.842903	0.190476	0	0	0	0.026786	11	0.005952	0.010417	0.061224	0.080357	0.111111	0.090909	0.615385	0.025641	0	0.111111	43	1	0	0	0	0	0	0	0.062144	0.185678	0.185397	0.185976	0.145561	0.192582	0	0	0	60S_Ribosome
P51410	64.94	2.469	19723.557449	0.21814	0.219644	37.991708	40.329445	0	0	0	2	0.020134	5	0.017544	0.016304	0.081633	0.107527	0.166667	0.142857	0.567568	0.025641	0.000627	0	49	1	0	0	0	0	0	1	0.075212	0.138458	0.135051	0.127992	0.332547	0.086571	0	0	0	60S_Ribosome
P99028	36.912	1.414	18510.412046	0.094724	0.161299	30.323787	33.726397	0	0	0	0	0.034483	7	0.017241	0	0.061224	0.093023	0.25	0.44	0.947368	0.032468	-1	0	38	0	0	0	0	0	0	0	0.025844	0.098009	0.470786	0.268448	0.103288	0	1	0	0	Mitochondrion
Q6PB66	31.708	4.33	16962.580714	0.373293	0.284729	44.59467	36.552893	0.053846	0	0.010526	2	0.007246	5	0.008772	0.005084	0.081633	0.107527	0	0	0.071429	0.013158	0.000983	0.111111	53	0	0	0	0	0	0	0	0.033456	0.123093	0.429097	0.334582	0.03745	0.015819	1	0	0	Mitochondrion
Q9D1Q6	34.004	3.62	18040.150918	0.424149	0.232765	30.522757	35.383584	0.083333	0.125	0.021053	1	0.014286	13	0.034483	0.010283	0.163265	0.107527	0	0.030303	0.101695	0.025641	0.000891	0.0625	65	0	0	0	0	0	0	0	0.102283	0.248876	0.260197	0.148872	0.061382	0.02681	0	0	0	Endoplasmic_reticulum
O35435	40.652	4.219	18026.199694	0.287431	0.285724	35.947655	38.42785	0.108108	0	0.042105	1	0.007299	8	0	0.007614	0.122449	0.075269	0.111111	0.02439	0.25	0.038462	0.000611	0.0625	53	1	1	0	0	0	0	0	0.064935	0.148157	0.374916	0.27625	0.044776	0.015245	1	0	0	Mitochondrion
