Lead gene name,Canonical lead protein ID,Majority protein IDs,Protein names,Marker protein?,Prediction,SVM score,Prediction confidence class,Subcellular distribution,Median copy number,Max copy number,Min copy number,Abundance percentile (copy numbers),Median cellular concentration [nM],Max cellular concentration [nM],Min cellular concentration [nM],ppm of total cell mass,Average Nuclear Fraction,Average Membrane,Average Cytosol Fraction,MSMS count,MW (kD)
Slc20a2,Q80UP8,Q80UP8,Sodium-dependent phosphate transporter 2,,Plasma membrane,2.79,High,Mostly Organellar,792,"1,060",716,20.4%,3.2,3.7,2.7,1.1,0%,100%,0%,63,70.865
Vcam1,P29533,P29533;Q3UPN1,Vascular cell adhesion protein 1,,Plasma membrane,2.75,High,Mostly Organellar,"1,965","3,148","1,504",31.0%,7.8,11.0,5.6,3.1,1%,99%,0%,149,81.317
Sh3bp4,Q921I6,Q921I6,SH3 domain-binding protein 4,,Plasma membrane,2.73,High,Mostly Organellar,"2,285","3,531","1,648",32.7%,9.1,12.3,6.1,4.8,3%,81%,15%,165,107.58
Abcg2,Q7TMS5,Q7TMS5;S4R2E1;A0A0R4J0B6;D3Z150,ATP-binding cassette sub-family G member 2,,Plasma membrane,2.69,High,Mostly Organellar,"3,182","4,841","1,806",37.0%,12.4,16.9,7.0,4.5,16%,84%,0%,136,72.977
Sirpa,Q6P6I8,Q6P6I8;E0CYM8;P97797-2;P97797;A0A0R4J1Z7,Tyrosine-protein phosphatase non-receptor type substrate 1,,Plasma membrane,2.56,High,Mostly Organellar,"5,467","6,262","3,856",44.6%,20.7,21.8,15.8,5.9,8%,87%,6%,161,55.986
Ncam2,O35136,O35136;O35136-2,Neural cell adhesion molecule 2,,Plasma membrane,2.53,High,Mostly Organellar,"2,132","3,895","1,735",32.0%,8.0,15.1,6.5,3.8,0%,100%,0%,138,93.203
Lrrc8a,Q80WG5,Q80WG5,Volume-regulated anion channel subunit LRRC8A,Plasma membrane,Plasma membrane,2.49,High,Mostly Organellar,"3,863","4,506","2,883",39.6%,14.2,16.7,11.8,7.0,11%,89%,0%,212,94.118
Daam1,Q8BPM0,Q8BPM0;Q8BPM0-2;Q8BPM0-3,Disheveled-associated activator of morphogenesis 1,,Plasma membrane,2.43,High,Mostly Organellar,"3,895","5,832","2,971",39.7%,15.5,20.3,11.0,9.3,0%,98%,1%,285,123.37
Rap2b,P61226,P61226;Q6ZWR0,Ras-related protein Rap-2b,,Plasma membrane,2.40,High,Mostly Organellar,"7,305","9,731","5,267",48.9%,26.3,37.7,21.6,2.9,1%,99%,0%,81,20.504
C2cd5,Q7TPS5,Q7TPS5;E9Q026;A0A0N4SW93;Q7TPS5-2;Q7TPS5-3,C2 domain-containing protein 5,,Plasma membrane,2.34,High,Organellar with Cytosolic pool,"3,498","5,774","2,236",38.3%,13.2,22.4,8.3,7.5,3%,54%,43%,153,111.66
Flot1,O08917,O08917;Q540I4;G3UYU4,Flotillin-1,,Plasma membrane,2.34,High,Mostly Organellar,"26,532","39,449","20,730",68.3%,105.6,137.6,76.9,24.4,4%,95%,1%,401,47.513
Cadm3,Q99N28,Q99N28;K4DI58,Cell adhesion molecule 3,,Plasma membrane,2.14,High,Mostly Organellar,"15,009","21,538","13,638",59.6%,56.9,75.1,55.8,12.5,6%,92%,2%,248,42.964
Ptpra,Q91V35,Q91V35;P18052;P18052-2,Receptor-type tyrosine-protein phosphatase;Receptor-type tyrosine-protein phosphatase alpha,,Plasma membrane,2.06,High,Mostly Organellar,"4,677","5,427","4,073",42.3%,17.8,19.5,16.1,8.1,7%,93%,0%,208,89.841
Itfg3,Q8C0Z1,Q8C0Z1,Protein ITFG3,,Plasma membrane,2.05,High,Mostly Organellar,"1,330","1,710","1,257",26.1%,5.2,6.0,4.8,1.6,2%,98%,0%,77,60.575
Arhgap39,H7BX46,H7BX46;G3X932;P59281-2;P59281,Rho GTPase-activating protein 39,,Plasma membrane,2.00,High,,"2,656","5,369",743,34.5%,9.8,19.9,3.0,6.2,,,,129,121.68
Ror2,Q9Z138,Q9Z138;E9PUN5,Tyrosine-protein kinase transmembrane receptor ROR2;Tyrosine-protein kinase transmembrane receptor,Plasma membrane,Plasma membrane,1.97,High,Mostly Organellar,"1,625","1,735","1,480",28.6%,6.1,6.4,5.7,3.3,2%,98%,0%,134,105
Slc44a2,Q8BY89,Q8BY89-2;Q8BY89,Choline transporter-like protein 2,,Plasma membrane,1.96,High,Organellar with Cytosolic pool,"5,743","8,068","5,032",45.3%,21.8,29.9,19.3,8.9,4%,60%,36%,142,79.923
Ephb1,Q8CBF3,Q8CBF3;Q8CBF3-2,Ephrin type-B receptor 1,,Plasma membrane,1.88,High,Mostly Organellar,"1,169","1,690",692,24.8%,4.7,5.9,2.6,2.5,17%,83%,0%,102,109.88
Rap2c,Q8BU31,Q8BU31,Ras-related protein Rap-2c,,Plasma membrane,1.84,High,Mostly Organellar,"10,362","12,023","8,740",54.0%,40.4,41.9,33.9,4.2,9%,90%,1%,74,20.745
Igsf3,Q6ZQA6,Q6ZQA6;A0A0A6YX40,Immunoglobulin superfamily member 3,,Plasma membrane,1.71,High,Mostly Organellar,"13,676","20,077","10,883",58.2%,54.5,70.0,40.4,35.6,4%,93%,4%,625,134.71
Rock1,P70335,P70335;P70335-2,Rho-associated protein kinase 1,,Plasma membrane,1.67,High,Organellar with Cytosolic pool,"10,354","14,354","8,427",54.0%,41.2,50.1,31.3,31.7,3%,42%,55%,511,158.17
Arhgap32,Q811P8,Q811P8;Q811P8-2,Rho GTPase-activating protein 32,,Plasma membrane,1.66,High,,"2,266","2,297","1,310",32.6%,8.2,8.7,5.4,10.1,,,,179,229.72
Gnai1,B2RSH2,B2RSH2,Guanine nucleotide-binding protein G(i) subunit alpha-1,,Plasma membrane,1.65,High,Mostly Organellar,"6,864","9,264","4,865",47.9%,27.3,32.3,18.0,5.4,2%,94%,4%,88,40.361
Erbb2ip,Q80TH2,Q80TH2;Q80TH2-2;B7ZNX6;Q80TH2-1;B2RUJ2,Protein LAP2,,Plasma membrane,1.65,High,Mostly Organellar,"5,061","5,582","3,069",43.4%,18.6,20.7,12.6,15.4,4%,93%,3%,460,157.25
Dag1,Q62165,Q62165;Q544G5,Dystroglycan;Alpha-dystroglycan;Beta-dystroglycan,Plasma membrane,Plasma membrane,1.63,High,Mostly Organellar,"2,707","3,148","1,817",34.9%,10.3,11.0,7.4,5.1,5%,84%,11%,119,96.904
Kiaa1549,Q68FD9,Q68FD9;D3YTS3,UPF0606 protein KIAA1549,,Plasma membrane,1.61,High,Mostly Organellar,"2,170","2,738","1,954",32.2%,8.3,9.5,7.8,8.8,4%,86%,10%,241,209.22
Atp1b2,P14231,P14231;Q3UR55,Sodium/potassium-transporting ATPase subunit beta-2,,Plasma membrane,1.59,High,,"9,767","11,669","7,714",53.1%,35.1,45.2,31.6,6.3,,,,83,33.344
Gnaz,O70443,O70443;Q542R8,Guanine nucleotide-binding protein G(z) subunit alpha,,Plasma membrane,1.57,High,Mostly Organellar,"2,137","3,160","1,289",32.0%,8.5,11.0,4.8,1.7,0%,100%,0%,66,40.849
Tmem237,A0A087WQC2,A0A087WQC2;Q3V0J1-3;Q3V0J1-2;Q3V0J1;A0A087WR42,Transmembrane protein 237,,Plasma membrane,1.56,High,,"7,027","9,597","5,484",48.3%,26.4,35.6,21.5,3.5,,,,86,25.521
Golga7,Q91W53,Q91W53;Q91W53-2,Golgin subfamily A member 7,,Plasma membrane,1.51,High,Mostly Organellar,"9,010","9,648","7,807",52.0%,33.9,34.3,32.0,2.7,6%,94%,0%,69,15.792
Mpp7,G5E8S8,G5E8S8;Q8BVD5;Q8BVD5-2,MAGUK p55 subfamily member 7,,Plasma membrane,1.51,High,,"2,681","5,318","1,041",34.7%,9.9,19.7,4.3,3.4,,,,103,65.54
Slc39a6,Q8C145,Q8C145;D3Z7N4,Zinc transporter ZIP6,Plasma membrane,Plasma membrane,1.51,High,Mostly Organellar,"4,064","4,926","3,207",40.2%,15.8,17.2,12.4,6.8,14%,86%,0%,158,86.379
Nf2,P46662,P46662;P46662-2;F8WJ43,Merlin,,Plasma membrane,1.49,High,Mostly Organellar,"6,922","7,489","4,092",48.0%,24.9,29.0,16.7,9.3,2%,82%,16%,240,69.775
Tgfbr1,Q64729,Q64729-2;Q64729;E9Q418;Q9D5H8,TGF-beta receptor type-1;Receptor protein serine/threonine kinase,,Plasma membrane,1.47,High,,"3,048","9,320","2,488",36.4%,11.9,32.5,9.6,3.3,,,,102,55.79
Arvcf,P98203,P98203;P98203-2;P98203-5;P98203-3;P98203-4,Armadillo repeat protein deleted in velo-cardio-facial syndrome homolog,,Plasma membrane,1.47,High,Mostly Organellar,"21,426","22,848","16,063",65.3%,79.1,84.1,65.7,43.5,10%,89%,1%,621,105.06
Fxyd6,Q9D164,Q9D164-2;Q9D164,FXYD domain-containing ion transport regulator 6,,Plasma membrane,1.46,High,Mostly Organellar,"28,240","52,224","17,244",69.2%,110.1,182.1,66.8,5.6,7%,90%,3%,69,10.303
Epha3,Q8BRB1,Q8BRB1;P29319,Receptor protein-tyrosine kinase;Ephrin type-A receptor 3,,Plasma membrane,1.46,High,Mostly Organellar,"4,143","4,874","3,621",40.6%,15.2,18.9,14.3,8.8,3%,96%,1%,258,110.04
Cltb,Q6IRU5,Q6IRU5-2,Clathrin light chain B,Large Protein Complex,Plasma membrane,1.42,High,Organellar with Cytosolic pool,"112,106","123,385","96,298",84.4%,425.7,453.2,373.0,50.2,2%,12%,86%,137,23.174
Ptprf,A2A8L5,A2A8L5;F6S1X8,Receptor-type tyrosine-protein phosphatase F,,Plasma membrane,1.42,High,Mostly Organellar,"6,027","9,859","4,555",46.0%,23.5,34.4,17.6,24.6,10%,86%,3%,644,211.49
Ano6,Q6P9J9,Q6P9J9,Anoctamin-6,Plasma membrane,Plasma membrane,1.42,High,Mostly Organellar,"1,497","2,222","1,291",27.5%,5.7,7.7,5.3,3.1,13%,87%,0%,106,106.25
Rab33a,P97950,P97950;Q3SXA7,Ras-related protein Rab-33A,,Plasma membrane,1.41,High,,"14,528","17,216","10,128",59.1%,52.3,66.7,41.5,7.5,,,,69,26.54
Got1,P05201,P05201,"Aspartate aminotransferase, cytoplasmic",,Plasma membrane,1.38,High,Mostly Cytosolic,"234,088","247,276","208,942",90.4%,842.0,1012.2,809.3,209.2,1%,3%,96%,223,46.247
Adgrl1,H7BX15,H7BX15;Q80TR1;E9Q3V9;E9Q9Q9;Q80TR1-2,Latrophilin-1,,Plasma membrane,1.38,High,Mostly Organellar,"1,991","2,485","1,781",31.2%,7.7,9.0,6.7,6.2,7%,92%,1%,235,162.28
Fyn,P39688,P39688;D3YZ57,Tyrosine-protein kinase Fyn;Non-specific protein-tyrosine kinase,Plasma membrane,Plasma membrane,1.37,High,Mostly Organellar,"4,302","7,074","3,714",41.0%,17.1,24.7,13.8,5.0,5%,92%,3%,153,60.674
Jam3,Q9D8B7,Q9D8B7;E9Q769,Junctional adhesion molecule C,,Plasma membrane,1.37,High,Mostly Organellar,"16,229","28,145","8,488",60.8%,59.6,104.4,34.7,10.9,9%,86%,5%,159,34.837
Bsg,P18572,P18572;K3W4Q8;P18572-2;J3QP71,Basigin,Plasma membrane,Plasma membrane,1.36,High,Mostly Organellar,"49,153","59,941","42,776",76.2%,195.7,222.4,149.2,40.3,14%,82%,5%,231,42.444
Cadm2,Q8BLQ9,Q8BLQ9;G3UZM4;Q8BLQ9-3;Q8BLQ9-2,Cell adhesion molecule 2,,Plasma membrane,1.35,High,Mostly Organellar,"4,129","6,006","2,985",40.5%,16.3,21.3,11.1,3.8,2%,97%,1%,139,47.558
Celsr1,O35161,O35161,Cadherin EGF LAG seven-pass G-type receptor 1,,Plasma membrane,1.32,High,Mostly Organellar,"2,054","2,627","1,715",31.6%,8.0,9.2,6.6,13.1,4%,92%,4%,427,330.47
Cd99l2,Q8BIF0,Q8BIF0;I7HJQ8;A2AP74;Q8BIF0-2,CD99 antigen-like protein 2,,Plasma membrane,1.31,High,Organellar with Cytosolic pool,"9,190","43,520","6,856",52.2%,34.8,151.8,28.1,4.5,3%,70%,26%,87,25.463
Dlg4,Q62108,Q62108;Q62108-3;Q62108-2,Disks large homolog 4,,Plasma membrane,1.31,High,Organellar with Cytosolic pool,"17,186","17,952","10,950",61.8%,62.1,69.0,44.8,26.7,3%,15%,82%,169,80.471
Ralb,Q9JIW9,Q9JIW9;F6QC68,Ras-related protein Ral-B,,Plasma membrane,1.30,High,Mostly Organellar,"20,937","26,798","13,347",64.8%,75.4,103.5,54.6,9.4,10%,87%,3%,100,23.349
Camkv,Q3UHL1,Q3UHL1;A0A0A6YW88,CaM kinase-like vesicle-associated protein,,Plasma membrane,1.30,High,Organellar with Cytosolic pool,"6,667","10,435","3,936",47.5%,26.5,36.4,14.6,7.1,4%,61%,35%,209,54.819
Rap2a,Q80ZJ1,Q80ZJ1;Q80ZJ1-2,Ras-related protein Rap-2a,,Plasma membrane,1.29,High,Mostly Organellar,"35,942","37,511","33,298",72.3%,133.6,141.8,130.8,14.3,11%,86%,4%,161,20.642
Grtp1,Q9D3N8,Q9D3N8;Q9D3N8-2;Q9D3N8-3;Q9D3N8-4,Growth hormone-regulated TBC protein 1,,Plasma membrane,1.28,High,Organellar with Cytosolic pool,"5,689","9,242","1,293",45.1%,22.7,32.2,4.8,4.5,0%,47%,53%,59,40.628
Vldlr,P98156,P98156;F8WGI9;Q91YY0;F8WIN7;F6RKS4,Very low-density lipoprotein receptor,,Plasma membrane,1.28,High,Mostly Organellar,843,"1,040",663,21.2%,3.2,4.0,2.5,1.6,0%,91%,9%,75,96.372
Aplp2,Q60709,Q60709;Q06335;Q06335-2,Amyloid-like protein 2,,Plasma membrane,1.27,High,Mostly Organellar,593,661,423,17.7%,2.2,2.5,1.6,1.0,2%,98%,0%,54,85.247
Ddr1,Q03146,Q03146;Q03146-2;G3UXE5,Epithelial discoidin domain-containing receptor 1,Plasma membrane,Plasma membrane,1.26,High,Mostly Organellar,"1,417","2,315","1,111",26.9%,5.3,8.6,4.4,2.8,8%,92%,0%,94,101.16
