IPI,UniProt,Name,Log[Intensity],NumPeptides,Mito,ER,Golgi,ERGDV,EE,RE/TGN,PM,PS,Cyto,Notes
IPI00108042,Q9D5J6,"Carbohydrate kinase-like protein ",3.71068397321231,5,,,,,,,,,Yes,
IPI00108189,P70349,"histidine triad nucleotide binding protein 1 ",4.4838452222837,2,,,,,,,,,Yes,
IPI00108740,,"Cytochrome c, somatic, similar to",5.140361744,1,Yes,,,,,,,,,
IPI00109047,Q9D6E9,"glutaredoxin-related protein, similar to",3.723706195,1,Yes,,,,,,,,,
IPI00109109,P09671,"Superoxide dismutase [Mn], mitochondrial precursor ",4.547909071,3,Yes,,,,,,,,,
IPI00109142,Q9CWI4,"esterase 10, full insert sequence ",4.72020437528195,5,,,,,,,,,Yes,
IPI00109169,P70404,"Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial precursor ",3.443402411,3,Yes,,,,,,,,,
IPI00109199,Q9CWK0,"ribosomal protein L14, cytosolic homolog ",4.58083421422668,5,,,,,,,Co-migrating,,,
IPI00109212,Q9CWK8,"Sorting nexin 2 ",4.13612691045341,5,,,,Yes,,,Yes,,Yes,"Intracellular trafficking"
IPI00109221,Q80TQ1,"SAC1 (supressor of actin mutations 1, homolog)-like ",3.782520968,5,Probably,,,,,,,,,"Membrane protein"
IPI00109257,Q9EP75,"Cytochrome P450 4F14 ",3.68344360084647,3,,Yes,,,,,No,,,
IPI00109275,Q9D6M3,"Mitochondrial glutamate carrier 1 ",3.435286326,1,Yes,,,,,,,,,
IPI00109435,Q9D710,"hypothetical Thioredoxin/Myb DNA binding domain containing protein, full insert sequence ",3.51234427198781,2,,Probably,,,,,,,,"Membrane protein"
IPI00109442,Q9D6R2,"unclassifiable, full insert sequence ",3.272210088,1,Yes,,,,,,,,,
IPI00109460,Q9D6R8,"CDNA FLJ13008 FIS, CLONE NT2RP3000456, similar to",3.82389696613795,3,,,,No,,,,,,
IPI00109482,Q9CWS0,"dimethylarginine dimethylaminohydrolase 1 ",4.18914881211132,5,,,,,,,,,Probably,"No annotated localization"
IPI00109656,Q9D758,"zinc finger protein 289, full insert sequence ",3.38243515514976,2,,,Probably,,,,,,,"No annotated location"
IPI00109823,Q8C7E6,"glucan (1,4-alpha-), branching enzyme 1 ",4.27667394410438,5,,,,,,,,,Probably,"No annotated function"
IPI00109966,P01887,"Beta-2-microglobulin precursor ",4.31013158413236,4,,,,,Yes,Yes,,,,"Secretory pathway? Endocytic pathway?"
IPI00109998,P01899,"H-2 class I histocompatibility antigen, D-B alpha chain precursor ",4.03035676314639,5,,,,,,Yes,,,,Endocytosed?
IPI00110042,P17563,"Selenium-binding protein 1 ",5.87804018305829,5,,,,,,,,,Yes,
IPI00110224,Q8C7S0,"Alcohol dehydrogenase Pan1b ",3.99107100422949,5,,Yes,,,Probably,Probably,Yes,,,"Secretory pathway. Endocytosed?"
IPI00110528,Q9CXN7,"Probable oxidoreductase 3110049J23Rik ",5.09724479055279,5,,,,,,,,,Probably,"No annotated location"
IPI00110556,Q05421,"Cytochrome P450 2E1 ",5.29162588794285,5,,Yes,,,,No,,,,
IPI00110560,P26039,"Talin 1 ",4.07622108307949,5,,,,,,Probably,Probably,,Yes,Cytoskeleton
IPI00110588,P26041,"Moesin ",4.02131234422137,5,,,,,,Probably,,,Yes,
IPI00110670,P02535,"Keratin, type I cytoskeletal 10 ",3.916302534,2,Probably,,,,,,,,,Cytoskeleton
IPI00110673,Q9D816,"RIKEN cDNA 2010318C06 gene coding for a Cytochrome P450 -like protein ",3.66191912534798,2,,,,,,Probably,Probably,,,"Bulk endocytosis? Membrane-associated?"
IPI00110684,Q8BTY3,"INORGANIC PYROPHOSPHATASE ",5.07596115683711,5,,,,,,,,,Yes,
IPI00110806,P01901,"H-2 class I histocompatibility antigen, K-B alpha chain precursor ",4.25435545200332,5,,,,Yes,Yes,,Yes,,,"Endocytosed? Antigen processing?"
IPI00110850,P60710,"Actin, cytoplasmic 1 ",5.80618828773784,5,,,,,,,,,Yes,
IPI00110986,P62204,"Calmodulin ",4.61935580643086,4,,,,,,,,,Yes,
IPI00111181,Q9EQH3,"Vacuolar protein sorting 35 ",4.6893376910253,5,,,,,,Yes,Yes,,,
IPI00111218,P47738,"Aldehyde dehydrogenase, mitochondrial precursor ",5.39066824813723,5,Yes,,,,,,,,Probably,
IPI00111265,P47754,"capping protein (actin filament) muscle Z-line, alpha 2 ",4.13589861671949,3,,Probably,,Probably,,Probably,Probably,,Yes,
IPI00111271,P47758,"Signal recognition particle receptor beta subunit ",3.281825733,2,No,,,,,,,,,
IPI00111315,P09813,"Apolipoprotein A-II precursor ",4.1785108330436,4,,,,Yes,,,,Probably,Probably,
IPI00111320,Q7TQL6,"RIKEN cDNA 5730552M22 ",3.56070130516117,1,,,,Probably,Probably,,,,,"Membrane protein"
IPI00111359,P47791,"Glutathione reductase, mitochondrial precursor ",3.61366268540655,2,,,,,,,,,Yes,
IPI00111412,Q9D8E6,"60S ribosomal protein L4 ",4.79409035879267,5,No,,,,,Co-migrating,,,,
IPI00111416,Q9ER00,"Syntaxin 12 ",3.76977475599356,4,,,,,Yes,Yes,,,,
IPI00111634,Q9EQW4,"Cytochrome P450, CYP3A ",4.57703932440361,5,,,,,Probably,,,,,"No annotated localization"
IPI00111770,Q06185,"ATP synthase, H+ transporting, mitochondrial F1F0 complex, subunit e ",4.258738131,2,Yes,,,,,,,,,
IPI00111831,P70670,"Alpha-NAC, muscle-specific form gp220 ",4.98235811265484,5,,,,,,No,,,,
IPI00111855,P26150,"hydroxysteroid dehydrogenase-3, delta<5>-3-beta ",4.17676628689824,5,,Yes,,,No,,No,,,
IPI00111876,Q8VCR7,"CCG1-interacting factor B ",4.52018013774965,5,,,,,,,,Probably,Yes,
IPI00111885,Q9CZ13,"Ubiquinol-cytochrome-c reductase complex core protein I, mitochondrial precursor ",4.311458831,5,Yes,,,,,,,,,
IPI00111908,Q8C196,"Carbamoyl-phosphate synthase, similar to",5.6640831209473,5,Probably,,,,,Probably,Probably,,Yes,"Associated with membranes?"
IPI00111950,P70694,"Estradiol 17 beta-dehydrogenase 5 ",5.65945522589905,5,,,,,,,Probably,,Probably,Membrane-associated?
IPI00111981,Q9CZ30,"Putative GTP-binding protein PTD004 homolog ",4.03937586469,5,,,,,,Probably,Probably,,Probably,"No annotated location"
IPI00112053,Q9D8U8,"Sorting nexin 5 ",4.07665980278674,5,,,,,,,Yes,,,
IPI00112093,Q9CYV6,"RIKEN cDNA 2810439F02 ",3.8168143639434,5,,,,,,,Probably,,Probably,"No annotated location"
IPI00112097,Q9D8V8,"HYPOTHETICAL 21.9 kDa PROTEIN homolog ",3.73292634436284,2,,,,Probably,Probably,,,,,"No annotated location"
IPI00112251,Q9ERD7,"Tubulin beta-3 ",5.55967792202277,5,,,,,,,,,Yes,
IPI00112322,P17717,"UDP-glucuronosyltransferase 2B5 precursor, microsomal ",5.29746403160806,5,,Yes,,,,,,,,
IPI00112448,P09900,"40S ribosomal protein S10 ",4.359138321766,5,,,,Yes,,Co-migrating,Co-migrating,,,
IPI00112549,P41216,"Long-chain-fatty-acid--CoA ligase 2 ",5.1777038695429,5,Yes,Yes,,,,,Yes,,,
IPI00112555,Q9CZD3,"Glycyl-tRNA synthetase ",4.23566427844214,2,,,,,,,,,Yes,
IPI00112630,Q9D9F5,"hypothetical Glyoxalase/Bleomycin resistance protein/Dihydroxybiphenyl dioxygenase structure containin ",4.15257508897529,2,,,,,,,,,Probably,"No annotated location"
IPI00112641,Q9ERR7,"15 kDa selenoprotein precursor ",3.84568722192994,2,,Probably,,,,,,,,
IPI00112719,P10518,"Delta-aminolevulinic acid dehydratase ",4.94766135840679,5,,,,,,,,,Yes,
IPI00112816,P17742,"peptidylprolyl isomerase A, full insert sequence ",5.67305471225712,5,,,,,,,,,Yes,
IPI00112923,Q78IK4,"Ensembl_locations(Chr-bp):X-102084724 RIKEN cDNA 9430083G14 ",3.643009856,1,Yes,,,,,,,,,
IPI00112935,Q9CZN7,"SERINE HYDROXYMETHYLTRANSFERASE ",4.32169749259674,5,Yes,,,,,,,,Probably,
IPI00112947,P19001,"Keratin, type I cytoskeletal 19 ",4.30918857284041,3,Probably,,,,,,Probably,,,Cytoskeleton
IPI00112963,P26231,"Alpha-1 catenin ",3.9451450575807,5,,,,,Probably,Probably,,,,
IPI00113073,Q9CZS1,"aldehyde dehydrogenase 1 family, member B1, full insert sequence ",5.06434737004615,1,,,,,,,,,Yes,
IPI00113127,P56371,"Ras-related protein Rab-4A ",4.20879614082197,2,,No,,,,Yes,Yes,,,
IPI00113141,Q9CZU6,"citrate synthase, full insert sequence ",4.173407198,5,Yes,,,,,,,,,
IPI00113214,P56399,"Ubiquitin carboxyl-terminal hydrolase 5 ",3.92351009539781,4,,,,,,,,,Yes,
IPI00113241,Q9CZX8,"40S ribosomal protein S19 ",5.00500333089077,5,,,,,,Co-migrating,,,,
IPI00113257,Q9CZY3,"ubiquitin-conjugating enzyme E2 variant 1, full insert sequence ",4.02389861860839,3,,,,,,,Probably,,Probably,"No annotated location"
IPI00113262,Q9CZY6,"26S proteasome-associated pad1 homolog, full insert sequence ",4.09772551978973,5,,,,,,,,Yes,,
IPI00113287,Q9CR00,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 9, full insert sequence ",3.56211011368082,2,,,Probably,Probably,,,,,Yes,
IPI00113318,XP_136032,"ubiquitin-conjugating enzyme E2N, similar to",3.87976283083739,3,Probably,,,,,,,,Probably,"No annotated location"
IPI00113325,Q8VI15,"Aldehyde oxidase homolog-1 ",5.60159677327221,5,,,,,,,,,Yes,
IPI00113536,Q9EST5,"Proliferation related acidic leucine rich protein PAL31 ",3.81607622881351,1,,,,,,,,,Probably,"Nucleoplasm/cytoplasm partitioning"
IPI00113655,P10660,"40S ribosomal protein S6 ",4.6324833236033,5,,,,Yes,No,,,,,
IPI00113801,P56480,"ATP synthase beta chain, mitochondrial precursor ",5.26050887,5,Yes,,,,,,,,,
IPI00113845,O09061,"Proteasome subunit beta type 1 ",4.31389605280286,5,,,,,,,,Yes,,
IPI00113895,P61164,"Alpha-centractin ",3.78993146669847,4,,,,Probably,,Probably,,,,"Cytoskeletal - associated with organelles?"
IPI00113992,Q8BTZ7,"GDP-MANNOSE PYROPHOSPHORYLASE B homolog ",4.07406651890678,2,,,,,,Probably,Probably,,Probably,
IPI00113996,Q923D2,"biliverdin reductase B (flavin reductase (NADPH)) ",4.07402636072279,5,,,,,,,,,Yes,
IPI00114017,Q07076,"Annexin A7 ",3.34390028888559,5,,,,,,,,,Yes,
IPI00114044,P27046,"Alpha-mannosidase II ",4.28687245097219,5,,,Yes,Yes,,,,,,
IPI00114065,P04186,"Complement factor B precursor ",2.8461478485052,4,,,,Yes,,Yes,,,,
IPI00114099,P33622,"Apolipoprotein C-III precursor ",4.2042617985055,3,,,,Yes,,Yes,,,,
