Accession,Description,Sum_PEP_Score,Coverage,#Peptides,#PSMs,#Protein_Unique_Peptides,#Unique_Peptides,#Protein_Groups,#AAs,MW_kDa,calc_pI,Checked,Protein_FDR_Confidence,Master,emPAI,Razor_Peptides,Score_Mascot,Coverage_Mascot,#Peptides_Mascot,#PSMs_Mascot,TMT126,127N,127C,128N,128C,129N,129C,130N,130C,131N,131C
Q9UPN3,Microtubule-actin cross-linking factor 1  isoforms 1/2/3/5 OS=Homo sapiens OX=9606 GN=MACF1 PE=1 SV=4,1102.382588,36.7893882,243,370,227,229,1,7388,837.787,5.39,FALSE,High,Master Protein,3.775,12,5580.653125,36.7893882,243,370,4749.2,6929.5,9795.9,12628.2,10865.9,12219.5,13581.7,13350,14963.1,11037.4,3464.4
P35580,Myosin-10 OS=Homo sapiens OX=9606 GN=MYH10 PE=1 SV=3,911.2617093,58.451417,123,368,92,92,1,1976,228.858,5.54,FALSE,High,Master Protein,106.522,32,6594.481673,58.451417,123,368,3585.9,9688,14251.4,17725,15244.6,11719.9,9440.2,7189.3,5833,23971.5,7970
Q09666,Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens OX=9606 GN=AHNAK PE=1 SV=2,897.5945764,62.1901528,198,338,196,197,1,5890,628.699,6.15,FALSE,High,Master Protein,3.711,0,4641.621612,62.1901528,198,338,2585.6,6548.4,11119.3,15495.5,13906,11065.4,8492.3,4723.9,3422.3,3411.3,1716.7
Q9NU22,Midasin OS=Homo sapiens OX=9606 GN=MDN1 PE=1 SV=2,817.9072216,36.72265904,174,272,172,173,1,5596,632.42,5.68,FALSE,High,Master Protein,4.458,2,4136.74373,36.72265904,174,272,10705.6,3441.9,3618.2,3749.6,3666.7,6086.9,7614.9,9829.1,16297.7,10390,1378.5
Q14789,Golgin subfamily B member 1 OS=Homo sapiens OX=9606 GN=GOLGB1 PE=1 SV=2,708.9650099,56.27493096,169,251,160,161,1,3259,375.79,5,FALSE,High,Master Protein,7.268,9,3043.484458,56.27493096,169,251,2686.4,7855.1,13811.6,14734.9,6019.7,5502.4,5276.8,4429.5,5073.7,3959.3,2311.5
Q5T4S7,E3 ubiquitin-protein ligase UBR4 OS=Homo sapiens OX=9606 GN=UBR4 PE=1 SV=1,667.780223,30.29133706,132,218,131,131,1,5183,573.476,6.04,FALSE,High,Master Protein,3.797,1,3463.102405,30.29133706,132,218,1581.4,1980.2,2525,3087.8,2921.1,3401.6,3640.1,4655.2,6515.6,27196.6,3193
Q92805,Golgin subfamily A member 1 OS=Homo sapiens OX=9606 GN=GOLGA1 PE=1 SV=3,663.8059367,72.09908735,56,568,54,54,1,767,88.13,5.27,FALSE,High,Master Protein,1815.6,2,8802.642762,72.09908735,56,568,6493.3,40492.2,43401.6,22014.7,6401.9,5191.5,4356.6,3574.5,4115.2,4224.2,2103.3
Q03001,Dystonin OS=Homo sapiens OX=9606 GN=DST PE=1 SV=4,609.3781762,24.75561427,171,236,157,157,1,7570,860.127,5.25,FALSE,High,Master Protein,1.606,4,2234.092293,24.75561427,171,236,2914.8,3637,4804.7,6196.8,5961.9,6345.1,6130.6,5693.2,6493.2,5710.7,2196
Q00341,Vigilin OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=2,577.7252111,62.69716088,75,263,72,72,1,1268,141.368,6.87,FALSE,High,Master Protein,104.85,3,3900.892545,62.69716088,75,263,1985.1,3122,4673.4,6845.2,8279.6,10850.7,11885.7,11819.1,8176.3,3395.6,1088.4
P16615,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 OS=Homo sapiens OX=9606 GN=ATP2A2 PE=1 SV=1,576.783648,53.07101727,49,315,29,29,1,1042,114.683,5.34,FALSE,High,Master Protein,390.375,32,5848.787611,53.07101727,49,315,2802.1,5501.1,7287.5,11878,16326.2,17299.3,14782.4,6484.7,3488.7,2531.3,1593.9
