IPI accession no.,Protein name, MascotScore.1 , NbPeptides.1,NbQuantAC.1,NbQuantBD.1,AC114.1,AC115.1,AC116.1,AC117.1,BD114.1,BD115.1,BD116.1,BD117.1, MascotScore.2 , NbPeptides.2,NbQuantAC.2,NbQuantBD.2,AC114.2,AC115.2,AC116.2,AC117.2,BD114.2,BD115.2,BD116.2,BD117.2
IPI00570640.1,Similar to Phosphatidylinositol 4-kinase type II isoform 2,575.48,11,20,45,0.153,0.299,0.268,0.280,0.217,0.353,0.227,0.203,366.01,8,20,2,0.282,0.337,0.230,0.152,0.126,0.187,0.427,0.261
IPI00570686.3,Similar to ATP synthase subunit B,537.46,9,40,34,0.035,0.055,0.081,0.829,0.116,0.133,0.223,0.529,477.64,9,38,17,0.109,0.140,0.062,0.689,0.090,0.103,0.383,0.424
IPI00570717.2,61 kDa protein,425.69,7,15,37,0.110,0.190,0.370,0.330,0.142,0.204,0.273,0.380,230.65,5,26,28,0.219,0.271,0.327,0.183,0.093,0.152,0.430,0.324
IPI00570752.1,Farnesyl-diphosphate farnesyltransferase 1,285.77,7,5,17,0.175,0.185,0.281,0.359,0.199,0.171,0.249,0.381,314.98,7,15,7,0.259,0.271,0.165,0.306,0.173,0.121,0.323,0.383
IPI00570770.5,Endoplasmin precursor,1912.24,35,135,414,0.146,0.181,0.325,0.347,0.127,0.163,0.274,0.435,2095.09,38,224,246,0.233,0.281,0.181,0.305,0.122,0.117,0.353,0.407
IPI00570774.2,Coiled-coil domain containing 72,92.16,2,4,3,0.315,0.191,0.257,0.237,0.375,0.178,0.159,0.288,92.88,2,11,6,0.348,0.308,0.116,0.227,0.250,0.162,0.265,0.323
IPI00570775.1,Engulfment and cell motility 1,512.86,11,21,53,0.360,0.270,0.210,0.160,0.367,0.196,0.211,0.227,309.27,6,19,8,0.304,0.213,0.157,0.325,0.257,0.154,0.318,0.271
IPI00570811.1,Nuclear autoantigenic sperm protein (histone-binding),397.19,8,1,1,0.079,0.202,0.427,0.292,0.061,0.298,0.312,0.329,294.91,6,1,3,0.076,0.287,0.442,0.195,0.060,0.308,0.344,0.288
IPI00570849.3,Similar to KIAA0209,1577.15,31,81,96,0.323,0.251,0.184,0.243,0.394,0.197,0.187,0.221,735.09,17,52,11,0.473,0.262,0.088,0.177,0.264,0.143,0.301,0.292
IPI00570894.3,Similar to neuroblastoma-amplified protein,431.58,9,18,43,0.094,0.184,0.256,0.467,0.156,0.203,0.237,0.404,326.75,7,9,10,0.241,0.278,0.257,0.224,0.135,0.121,0.414,0.330
IPI00570959.1,"Glia maturation factor, beta ",314.14,5,11,18,0.202,0.287,0.365,0.146,0.214,0.373,0.225,0.188,203.3,4,9,13,0.324,0.335,0.200,0.140,0.196,0.249,0.295,0.260
IPI00570964.1,Phosphogluconate dehydrogenase ,564.05,9,14,31,0.151,0.133,0.476,0.241,0.163,0.344,0.256,0.237,501.85,9,31,49,0.190,0.237,0.302,0.270,0.111,0.206,0.359,0.324
