Majority protein IDs,Protein names,Gene names,Organellar Markers,Ratio H/L R1_C2_03,Ratio H/L R1_C2_06,Ratio H/L R1_C2_12,Ratio H/L R1_C2_24,Ratio H/L R1_C2_80,Ratio H/L R1_C6_03,Ratio H/L R1_C6_06,Ratio H/L R1_C6_12,Ratio H/L R1_C6_24,Ratio H/L R1_C6_80,Ratio H/L R1_Con_03,Ratio H/L R1_Con_06,Ratio H/L R1_Con_12,Ratio H/L R1_Con_24,Ratio H/L R1_Con_80,Ratio H/L R2_C2_03,Ratio H/L R2_C2_06,Ratio H/L R2_C2_12,Ratio H/L R2_C2_24,Ratio H/L R2_C2_80,Ratio H/L R2_C6_03,Ratio H/L R2_C6_06,Ratio H/L R2_C6_12,Ratio H/L R2_C6_24,Ratio H/L R2_C6_80,Ratio H/L R2_Con_03,Ratio H/L R2_Con_06,Ratio H/L R2_Con_12,Ratio H/L R2_Con_24,Ratio H/L R2_Con_80,Ratio H/L R3_C2_03,Ratio H/L R3_C2_06,Ratio H/L R3_C2_12,Ratio H/L R3_C2_24,Ratio H/L R3_C2_80,Ratio H/L R3_C6_03,Ratio H/L R3_C6_06,Ratio H/L R3_C6_12,Ratio H/L R3_C6_24,Ratio H/L R3_C6_80,Ratio H/L R3_Con_03,Ratio H/L R3_Con_06,Ratio H/L R3_Con_12,Ratio H/L R3_Con_24,Ratio H/L R3_Con_80
Q92887,Canalicular multispecific organic anion transporter 1,ABCC2,Plasma membrane,0.79584,0.65886,0.73729,1.148,2.3685,0.97047,0.70514,0.76045,1.3973,2.3512,0.7219,0.86014,0.78108,1.3719,2.7944,0.94962,0.65373,0.71633,1.0676,2.3797,0.80113,0.62195,0.59835,1.109,2.1861,0.94023,0.66821,0.56435,0.97552,2.0176,0.78847,0.64696,0.59726,1.0701,2.3544,0.73694,0.58243,0.50443,1.3562,2.4429,0.78329,0.64471,0.56997,1.1344,2.4086
Q13443;Q13443-2,Disintegrin and metalloproteinase domain-containing protein 9,ADAM9,Plasma membrane,0.95078,0.71119,0.80688,1.1061,1.6482,0.96333,0.65405,0.68399,1.0099,1.4082,0.87727,0.84064,0.71897,1.0573,1.7232,0.9656,0.6393,0.65334,0.98165,1.7391,0.98411,0.57694,0.5967,0.89586,1.3423,1.0281,0.67298,0.58295,0.83838,1.5103,0.83425,0.5586,0.51242,0.82475,1.4754,0.82796,0.55242,0.51265,1.0225,1.4309,0.85364,0.60433,0.52825,0.79309,1.6571
Q9H6X2;Q9H6X2-5;Q9H6X2-4;Q9H6X2-6;Q9H6X2-2;Q9H6X2-3,Anthrax toxin receptor 1,ANTXR1,Plasma membrane,1.0026,0.65122,0.83255,1.3024,2.334,0.94834,0.56305,0.6701,1.1304,2.1194,0.89242,0.7036,0.77179,1.3226,2.5133,0.85727,0.59149,0.66514,1.1322,1.9778,0.9891,0.46188,0.52221,1.5013,1.7839,0.81854,0.59043,0.59187,1.0565,1.7014,0.74903,0.52044,0.57133,1.1961,1.9802,0.73349,0.50508,0.51075,1.5577,1.8784,0.79063,0.49189,0.47339,1.0636,2.1677
O95782;O95782-2,AP-2 complex subunit alpha-1,AP2A1,Plasma membrane,0.54937,0.78676,1.0943,1.8055,2.6315,0.52905,0.83988,1.0729,1.9873,2.7459,0.44911,1.1504,1.4316,2.083,2.4564,0.60887,0.70575,0.90539,1.4494,2.3602,0.60395,0.7262,0.88526,1.5177,2.5509,0.59863,0.75197,0.98232,1.4032,2.1111,0.43783,0.58964,0.75839,1.2799,2.1171,0.46704,0.56488,0.59478,1.3071,1.7939,0.48235,0.70093,0.81102,1.2225,2.1028
O94973;O94973-2;O94973-3,AP-2 complex subunit alpha-2,AP2A2,Plasma membrane,0.56846,0.80288,1.0289,1.8548,2.5672,0.49887,0.82508,1.0569,2.0124,2.6285,0.46249,1.1175,1.4161,2.0146,2.211,0.63369,0.72307,0.87707,1.4781,2.1054,0.60452,0.7853,0.87222,1.6324,2.3509,0.61728,0.74016,0.99942,1.4576,1.9708,0.47453,0.65622,0.73675,1.1256,2.0287,0.49896,0.59334,0.57299,1.2804,1.7021,0.51713,0.71067,0.83203,1.2294,1.92
Q96CW1;Q96CW1-2,AP-2 complex subunit mu,AP2M1,Plasma membrane,0.54416,0.78962,1.0885,1.877,2.5094,0.54225,0.81231,1.0342,1.8077,2.5926,0.46111,1.0618,1.3865,1.8816,2.3234,0.58542,0.69227,0.83433,1.3631,2.2379,0.59866,0.70974,0.7976,1.4008,2.3131,0.59866,0.7219,0.96639,1.3705,1.9946,0.44966,0.5638,0.70083,1.122,1.9107,0.48592,0.52732,0.57933,1.2304,1.7348,0.49729,0.71902,0.77363,1.2565,1.989
P05023;P05023-4;P05023-3;P05023-2,Sodium/potassium-transporting ATPase subunit alpha-1,ATP1A1,Plasma membrane,0.6156,0.65716,1.032,2.493,6.1546,0.61312,0.56707,0.85471,2.1695,5.7361,0.55292,0.74982,0.99129,2.2079,6.1944,0.63281,0.61951,1.053,2.4008,6.2855,0.62055,0.62009,0.9845,2.6999,6.515,0.67443,0.60801,0.89349,2.0531,5.5053,0.47557,0.48663,0.74831,2.3181,6.241,0.44157,0.44816,0.64349,2.5727,5.8533,0.4591,0.4803,0.66406,1.8256,6.3208
P05026;P05026-2,Sodium/potassium-transporting ATPase subunit beta-1,ATP1B1,Plasma membrane,0.70745,0.66751,1.0125,2.6114,6.7356,0.69109,0.54847,0.80885,2.5075,5.5071,0.69228,0.74722,0.97676,2.3305,6.1402,0.67803,0.55613,0.9189,2.3374,6.5528,0.63565,0.57563,0.88454,2.6432,6.1821,0.68397,0.60367,0.82634,2.1056,5.2378,0.49476,0.48599,0.66773,2.4313,6.6472,0.485,0.44961,0.6182,2.586,6.0498,0.46342,0.47148,0.64782,1.9378,5.4433
P54709,Sodium/potassium-transporting ATPase subunit beta-3,ATP1B3,Plasma membrane,0.64223,0.6571,1.0265,2.5774,6.0906,0.61448,0.55354,0.92671,2.4267,5.6446,0.64822,0.73584,0.99314,2.3486,6.0081,0.65409,0.6207,1.0405,2.701,6.4749,0.63742,0.60766,0.99248,2.8635,6.0222,0.66136,0.60533,0.89994,2.2108,4.8552,0.48384,0.51783,0.77172,2.5106,6.749,0.4647,0.45168,0.68184,2.5553,6.2955,0.46824,0.49612,0.67488,1.8811,5.5039
P20020;P20020-6;P20020-3;P20020-4;P20020-5;P20020-2,Plasma membrane calcium-transporting ATPase 1,ATP2B1,Plasma membrane,0.54844,0.70051,1.2294,2.6974,7.1664,0.56888,0.63185,0.98225,2.3171,6.5699,0.5339,0.79962,1.1008,2.538,6.7255,0.58559,0.66772,1.2568,2.6935,6.6671,0.61543,0.6635,1.2726,3.1283,7.7217,0.6561,0.63385,1.0608,2.2601,6.6909,0.43762,0.49596,0.85857,2.3631,6.6623,0.3903,0.42667,0.67177,2.337,6.7058,0.43999,0.47845,0.71907,1.9215,6.6714
