UniProt Accession for Protein Group,UniProt Protein Description,Peptides,PSMs,Protein Coverage (%),Normalized TMT 10-plex reporter ion distribution,,,,,,,,,
,,,,,126,127N,127C,128N,128C,129N,129C,130N,130C,131
Q9JHU4,Cytoplasmic dynein 1 heavy chain 1 GN=Dync1h1 PE=1 SV=2 - [DYHC1_MOUSE],166,273,45.2,0.037,0.064,0.058,0.059,0.067,0.078,0.140,0.208,0.141,0.147
Q9QXS1-3,Isoform PLEC-1 of Plectin GN=Plec - [PLEC_MOUSE]|Isoform PLEC-1A of Plectin GN=Plec - [PLEC_MOUSE],150,198,37.9,0.033,0.073,0.074,0.062,0.081,0.142,0.190,0.069,0.151,0.125
A2ARV4,Low-density lipoprotein receptor-related protein 2 GN=Lrp2 PE=1 SV=1 - [LRP2_MOUSE],97,150,28.5,0.003,0.054,0.147,0.257,0.291,0.143,0.064,0.028,0.005,0.008
P26039,Talin-1 GN=Tln1 PE=1 SV=2 - [TLN1_MOUSE],94,146,51.4,0.111,0.181,0.141,0.144,0.152,0.119,0.075,0.028,0.017,0.033
Q9ERU9,E3 SUMO-protein ligase RanBP2 GN=Ranbp2 PE=1 SV=2 - [RBP2_MOUSE],90,129,35.2,0.026,0.017,0.023,0.029,0.039,0.071,0.105,0.171,0.304,0.215
Q91ZU6-4,Isoform 4 of Dystonin GN=Dst - [DYST_MOUSE],90,108,16.2,0.053,0.060,0.071,0.070,0.082,0.232,0.199,0.084,0.095,0.054
Q8BTM8,Filamin-A GN=Flna PE=1 SV=5 - [FLNA_MOUSE],88,201,46.4,0.062,0.108,0.091,0.086,0.099,0.111,0.117,0.095,0.144,0.087
Q80X90,Filamin-B GN=Flnb PE=1 SV=3 - [FLNB_MOUSE],80,148,44.4,0.130,0.139,0.111,0.109,0.118,0.120,0.089,0.038,0.105,0.040
Q99PL5,Ribosome-binding protein 1 GN=Rrbp1 PE=2 SV=2 - [RRBP1_MOUSE],75,185,61.2,0.010,0.033,0.057,0.070,0.118,0.270,0.223,0.118,0.056,0.046
Q07113,Cation-independent mannose-6-phosphate receptor GN=Igf2r PE=1 SV=1 - [MPRI_MOUSE],75,142,43.9,0.002,0.026,0.056,0.140,0.312,0.311,0.098,0.038,0.009,0.008
Q99PV0,Pre-mRNA-processing-splicing factor 8 GN=Prpf8 PE=1 SV=2 - [PRP8_MOUSE],73,108,39.2,0.134,0.016,0.023,0.018,0.024,0.028,0.034,0.032,0.264,0.426
Q71LX4,Talin-2 GN=Tln2 PE=1 SV=3 - [TLN2_MOUSE],72,112,43.5,0.016,0.198,0.151,0.161,0.157,0.158,0.081,0.037,0.019,0.021
Q68FD5,Clathrin heavy chain 1 GN=Cltc PE=1 SV=3 - [CLH1_MOUSE],68,157,58.1,0.117,0.110,0.109,0.100,0.130,0.185,0.133,0.041,0.044,0.032
Q8VDD5,Myosin-9 GN=Myh9 PE=1 SV=4 - [MYH9_MOUSE],67,134,41.8,0.114,0.074,0.072,0.070,0.083,0.188,0.203,0.120,0.039,0.038
Q9QZQ1-2,Isoform 1 of Afadin GN=Mllt4 - [AFAD_MOUSE],65,104,43.9,0.035,0.220,0.141,0.151,0.165,0.132,0.082,0.024,0.021,0.029
Q6PR54,Telomere-associated protein RIF1 GN=Rif1 PE=1 SV=2 - [RIF1_MOUSE],63,102,31.0,0.029,0.005,0.008,0.010,0.019,0.048,0.127,0.244,0.404,0.106
P19096,Fatty acid synthase GN=Fasn PE=1 SV=2 - [FAS_MOUSE],63,93,39.0,0.363,0.124,0.123,0.108,0.118,0.069,0.040,0.015,0.014,0.026
Q61879,Myosin-10 GN=Myh10 PE=1 SV=2 - [MYH10_MOUSE],62,104,36.9,0.065,0.058,0.062,0.062,0.080,0.235,0.241,0.105,0.059,0.031
Q6PB66,"Leucine-rich PPR motif-containing protein, mitochondrial GN=Lrpprc PE=1 SV=2 - [LPPRC_MOUSE]",61,128,52.4,0.001,0.011,0.015,0.020,0.029,0.096,0.353,0.294,0.048,0.133
Q9JKF1,Ras GTPase-activating-like protein IQGAP1 GN=Iqgap1 PE=1 SV=2 - [IQGA1_MOUSE],61,124,49.6,0.078,0.208,0.160,0.160,0.167,0.120,0.059,0.019,0.009,0.021
A2AN08-3,Isoform 3 of E3 ubiquitin-protein ligase UBR4 GN=Ubr4 - [UBR4_MOUSE],60,68,17.1,0.344,0.106,0.113,0.099,0.093,0.078,0.038,0.024,0.018,0.087
Q9WTQ5,A-kinase anchor protein 12 GN=Akap12 PE=1 SV=1 - [AKA12_MOUSE],58,134,50.4,0.132,0.130,0.129,0.111,0.112,0.106,0.139,0.099,0.006,0.037
Q6NS46,Protein RRP5 homolog GN=Pdcd11 PE=2 SV=2 - [RRP5_MOUSE],58,92,36.6,0.095,0.012,0.021,0.023,0.030,0.034,0.046,0.049,0.374,0.315
Q8BI84,Melanoma inhibitory activity protein 3 GN=Mia3 PE=1 SV=2 - [MIA3_MOUSE],57,86,34.6,0.002,0.035,0.071,0.122,0.192,0.293,0.161,0.091,0.010,0.022
Q7TPV4,Myb-binding protein 1A GN=Mybbp1a PE=1 SV=2 - [MBB1A_MOUSE],55,100,51.9,0.120,0.009,0.022,0.022,0.026,0.033,0.044,0.050,0.391,0.282
Q5XG71,Small subunit processome component 20 homolog GN=Utp20 PE=2 SV=2 - [UTP20_MOUSE],55,73,26.3,0.089,0.011,0.021,0.024,0.030,0.040,0.051,0.062,0.327,0.345
P09405,Nucleolin GN=Ncl PE=1 SV=2 - [NUCL_MOUSE],54,166,54.5,0.373,0.019,0.045,0.023,0.027,0.044,0.054,0.041,0.256,0.117
Q8BX70-3,Isoform 3 of Vacuolar protein sorting-associated protein 13C GN=Vps13c - [VP13C_MOUSE],54,69,19.6,0.024,0.096,0.143,0.195,0.197,0.159,0.063,0.053,0.019,0.052
Q01320,DNA topoisomerase 2-alpha GN=Top2a PE=1 SV=2 - [TOP2A_MOUSE],53,113,42.7,0.020,0.005,0.007,0.008,0.014,0.044,0.121,0.221,0.471,0.090
Q6P5E4,UDP-glucose:glycoprotein glucosyltransferase 1 GN=Uggt1 PE=1 SV=4 - [UGGG1_MOUSE],53,90,52.2,0.027,0.049,0.090,0.126,0.190,0.264,0.151,0.078,0.007,0.019
A2AGT5,Cytoskeleton-associated protein 5 GN=Ckap5 PE=2 SV=1 - [CKAP5_MOUSE],53,79,27.5,0.044,0.072,0.074,0.071,0.067,0.093,0.110,0.209,0.172,0.088
Q8CGC7,Bifunctional glutamate/proline--tRNA ligase GN=Eprs PE=1 SV=4 - [SYEP_MOUSE],53,77,40.3,0.423,0.071,0.094,0.074,0.083,0.076,0.052,0.023,0.030,0.075
P11276,Fibronectin GN=Fn1 PE=1 SV=4 - [FINC_MOUSE],52,80,32.7,0.004,0.046,0.094,0.158,0.235,0.181,0.140,0.066,0.053,0.022
Q60767,Lymphocyte antigen 75 GN=Ly75 PE=1 SV=2 - [LY75_MOUSE],51,83,39.9,0.003,0.102,0.107,0.159,0.265,0.217,0.101,0.033,0.007,0.007
P70227,"Inositol 1,4,5-trisphosphate receptor type 3 GN=Itpr3 PE=1 SV=3 - [ITPR3_MOUSE]",51,66,26.4,0.004,0.054,0.083,0.133,0.196,0.252,0.154,0.074,0.031,0.019
G5E870,E3 ubiquitin-protein ligase TRIP12 GN=Trip12 PE=1 SV=1 - [TRIPC_MOUSE],50,71,35.0,0.145,0.079,0.071,0.067,0.074,0.065,0.075,0.072,0.248,0.104
