"Table S5.Protein localizations predicted by PLS-DA ",,,,,
"IPI accession no.","Protein name","PLS-DA prediction","Membrane","Soluble/ peripheral","Complete"
"IPI00570770.5","Endoplasmin precursor","Predicted ER","","X","X"
"IPI00571542.2","Similar to LOC495074 protein","Predicted ER","","X","X"
"IPI00571756.2","Similar to MMS19","Predicted ER","","","X"
"IPI00572973.2","Similar to UBX domain containing 8","Predicted ER","X","",""
"IPI00574033.2","Similar to KIAA1830 protein","Predicted ER","X","","X"
"IPI00574295.1","Nicalin precursor","Predicted ER","X","",""
"IPI00574581.3","Similar to CDK5 regulatory subunit associated protein 1-like 1","Predicted ER","X","",""
"IPI00574971.1","Thioredoxin domain containing 5","Predicted ER","","X",""
"IPI00575271.1","58kDa glucose regulated protein precursor","Predicted ER","","X","X"
"IPI00577245.1","Ras-related protein Rab-18","Predicted ER","X","",""
"IPI00577664.1","Implantation-associated protein homolog precursor","Predicted ER","X","","X"
"IPI00577730.3","Hypothetical protein","Predicted ER","X","X","X"
"IPI00578058.3","Similar to AND-1 protein","Predicted ER","","","X"
"IPI00578963.3","Similar to Transmembrane protein 48","Predicted ER","X","",""
"IPI00579218.1","Similar to Oligosaccharyl transferase STT3 subunit homolog (B5) (Integral membrane protein 1)","Predicted ER","X","",""
"IPI00579797.4","Similar to Chromosome 20 open reading frame 116","Predicted ER","X","",""
"IPI00581160.3","Similar to embryonic 1 beta-globin ","Predicted ER","","","X"
"IPI00581279.1","Similar to Signal recognition particle 54","Predicted ER","","","X"
"IPI00581565.3","Coiled-coil domain containing 134 ","Predicted ER","","","X"
"IPI00581679.2","Similar to KIAA0851 protein","Predicted ER","X","","X"
"IPI00581742.1","SPFH domain family, member 1","Predicted ER","X","","X"
"IPI00581966.1","SPFH domain family, member 2","Predicted ER","X","","X"
"IPI00584755.2","Hypothetical protein","Predicted ER","X","","X"
"IPI00585349.3","Similar to CGI-86 protein","Predicted ER","","","X"
"IPI00585388.2","BASH/BLNK N-terminal associated protein 1","Predicted ER","","","X"
"IPI00585507.3","Similar to Soat1-prov protein","Predicted ER","","","X"
"IPI00586147.2","Similar to phosphatidyl inositol glycan class T","Predicted ER","X","","X"
"IPI00586516.1","Similar to human P5 isoform 2","Predicted ER","","X",""
"IPI00586591.2","Similar to NADPH-cytochrome P450 oxidoreductase","Predicted ER","X","","X"
"IPI00586858.2","60S ribosomal protein L13","Predicted ER","X","",""
"IPI00587289.2","Similar to NODAL modulator 2","Predicted ER","X","","X"
"IPI00587377.1","Ribosomal protein L36","Predicted ER","X","",""
"IPI00588434.2","Importin7 ","Predicted ER","","","X"
"IPI00588600.2","Similar to LOC495188 protein","Predicted ER","","","X"
"IPI00589393.1","Serine palmitoyltransferase, long chain base subunit 2 ","Predicted ER","","","X"
"IPI00589958.1","Protein disulfide isomerase family A, member 4","Predicted ER","","X","X"
"IPI00589987.3","Similar to aspartyl(asparaginyl)beta-hydroxylase; HAAH","Predicted ER","","","X"
"IPI00591166.2","Similar to Acyl-CoA synthetase long-chain family member 3","Predicted ER","X","","X"
"IPI00591430.3","Similar to Enhancer of mRNA decapping 4","Predicted ER","","","X"
"IPI00591433.1","Hypothetical protein","Predicted ER","","X","X"
"IPI00592181.2","Uncharacterized protein KIAA0776 homolog","Predicted ER","X","","X"
"IPI00592465.1","CDK5 regulatory subunit associated protein 3","Predicted ER","","X",""
"IPI00592986.2","Hypothetical protein","Predicted ER","","","X"
"IPI00594242.2","Similar to DPY-19-like protein 1","Predicted ER","X","",""
"IPI00594529.2","Similar to acyltransferase like 2","Predicted ER","X","",""
"IPI00595025.2","Cell division cycle and apoptosis regulator 1","Predicted ER","","","X"
"IPI00595219.1","Similar to KIAA0103","Predicted ER","","","X"
"IPI00595561.3","Protein","Predicted ER","X","","X"
"IPI00595714.1","Similar to Zinc finger, CDGSH-type domain 2","Predicted ER","","","X"
"IPI00596673.1","Protein disulfide-isomerase precursor","Predicted ER","","X","X"
"IPI00597792.1","Transmembrane protein 33 ","Predicted ER","X","",""
"IPI00597793.2","Hypothetical protein","Predicted ER","X","","X"
"IPI00597946.2","32 kDa protein","Predicted ER","X","",""
"IPI00598102.1","Flap structure-specific endonuclease 1","Predicted ER","X","",""
"IPI00598160.3","Nucleolar and coiled-body phosphoprotein 1","Predicted ER","","","X"
"IPI00598428.2","Similar to KIAA1715 protein","Predicted ER","","","X"
"IPI00598430.2","Similar to beta prime cop","Predicted ER","","","X"
"IPI00598667.2","Similar to KIAA1825 protein","Predicted ER","","","X"
"IPI00598743.2","Uncharacterized protein KIAA0090 homolog precursor","Predicted ER","X","",""
"IPI00598836.3","Similar to Protein tyrosine phosphatase, non-receptor type 2","Predicted ER","X","","X"
"IPI00599118.1","Similar to Protein KIAA0152","Predicted ER","X","","X"
"IPI00599151.3","Hypothetical protein","Predicted ER","X","","X"
"IPI00600942.1","Hypothetical protein","Predicted ER","X","",""
"IPI00601831.3","Similar to C219-reactive peptide","Predicted ER","X","","X"
"IPI00602204.2","Long-chain fatty acid transport protein 4 (Fatty acid transport protein 4) (FATP-4) (Solute carrier family 27 member 4).","Predicted ER","X","","X"
"IPI00602683.3","Similar to arginine-rich, mutated in early stage tumors","Predicted ER","","X",""
"IPI00603449.1","VAMP (vesicle-associated membrane protein)-associated protein B and C","Predicted ER","","","X"
"IPI00604324.1","Lanosterol synthase (2,3-oxidosqualene-lanosterol cyclase)","Predicted ER","X","X","X"
"IPI00679695.2","30 kDa protein","Predicted ER","X","","X"
"IPI00680996.1","Aldehyde dehydrogenase 3 family, member A2","Predicted ER","","","X"
"IPI00682850.2","Similar to dolichol-phosphate-mannose synthase","Predicted ER","","","X"
"IPI00684598.2","Similar to LOC496236 protein","Predicted ER","X","",""
"IPI00786798.1","Lanosterol 14alpha-demethylase","Predicted ER","X","","X"
"IPI00813092.2","56 kDa protein","Predicted ER","X","","X"
"IPI00813637.1","Similar to receptor expression enhancing protein 5","Predicted ER","X","","X"
"IPI00819130.1","Hypoxia up-regulated 1","Predicted ER","","X","X"
"IPI00819496.1","Programmed cell death 6 interacting protein","Predicted ER","","","X"
"IPI00821506.1","Uncharacterized protein C10orf119 homolog","Predicted ER","","","X"
"IPI00822876.1","Fatty acid synthase ","Predicted ER","","","X"
"IPI00570640.1","Similar to Phosphatidylinositol 4-kinase type II isoform 2","Predicted Golgi","","","X"
"IPI00571857.2","Similar to solute carrier family 35, member E1 ","Predicted Golgi","X","",""
"IPI00572019.2","Similar to mannosidase, alpha, class 2A, member 1","Predicted Golgi","","","X"
"IPI00572560.3","Similar to vesicle soluble NSF attachment protein receptor VTI2","Predicted Golgi","X","","X"
"IPI00574122.1","Similar to Tubulin-specific chaperone A","Predicted Golgi","","","X"
"IPI00574552.2","Similar to nonselective sodium potassium/proton exchanger","Predicted Golgi","X","",""
"IPI00575515.1","Transferrin receptor","Predicted Golgi","X","","X"
"IPI00575807.1","Similar to interferon, gamma-inducible protein 30","Predicted Golgi","","X",""
"IPI00576026.1","Microtubule-associated protein 4 (Fragment)","Predicted Golgi","","X",""
"IPI00576078.1","Protein-tyrosine sulfotransferase 2","Predicted Golgi","X","",""
"IPI00578377.3","Sorting nexin 2","Predicted Golgi","","","X"
"IPI00579310.1","Sorting nexin 6","Predicted Golgi","","","X"
"IPI00579980.2","Vacuolar protein sorting 45 ","Predicted Golgi","X","","X"
"IPI00580381.1","Transmembrane 9 superfamily protein member 2 precursor","Predicted Golgi","X","",""
"IPI00581055.3","Similar to cis Golgi-localized calcium-binding protein ","Predicted Golgi","X","",""
"IPI00582043.1","Vacuolar protein sorting factor 4B","Predicted Golgi","","X",""
"IPI00586566.1","Proteasome (prosome, macropain) 26S subunit, non-ATPase, 9","Predicted Golgi","","X",""
"IPI00587053.2","Similar to secretory pathway Ca2+/Mn2+ transport ATPase SPCA1b protein","Predicted Golgi","X","",""
"IPI00588200.2","Hypothetical protein","Predicted Golgi","X","",""
"IPI00588997.1","Similar to D4-GDP-dissociation inhibitor","Predicted Golgi","","","X"
"IPI00589269.2","Stromal cell derived factor 4","Predicted Golgi","","","X"
"IPI00589508.2","Chromatin modifying protein 5 ","Predicted Golgi","","X",""
